layer,head,query_token,ctx_0,ctx_1,ctx_2,ctx_3,START,QCUR,S1,A2,R,QNXT,S3,A0,S3,A1,S3,A2,S3,A3,SEL,A2,UPD
1,0,SELECT,0.0368235819041729,0.015000400133430958,0.03346090018749237,0.017343491315841675,0.018040122464299202,0.010609311051666737,0.5857470035552979,0.021748030558228493,0.03238564357161522,0.008695353753864765,0.046500690281391144,0.004671808797866106,0.04285828396677971,0.014147695153951645,0.04053026810288429,0.008006548509001732,0.04422952979803085,0.01569386012852192,0.003507358254864812,0.0,0.0
1,0,UPDATE,0.016365325078368187,0.054423943161964417,0.041454341262578964,0.0067998566664755344,0.008944741450250149,0.004600374959409237,0.0014220139710232615,0.002603909932076931,0.029051192104816437,0.008331450633704662,0.007640456315129995,0.005772980861365795,0.008149418979883194,0.01633838377892971,0.015554588288068771,0.008703658357262611,0.011200163513422012,0.026278331875801086,0.020600508898496628,0.666924238204956,0.038840197026729584
1,1,SELECT,0.03693678230047226,0.08311005681753159,0.047693587839603424,0.10304451733827591,0.016530316323041916,0.027545368298888206,0.1783284693956375,0.06398472934961319,0.0005332222208380699,0.014697454869747162,0.06593203544616699,0.017003564164042473,0.10602473467588425,0.017694596201181412,0.0878530889749527,0.008796610869467258,0.08865910768508911,0.018785448744893074,0.016846243292093277,0.0,0.0
1,1,UPDATE,0.018089819699525833,0.01146890688687563,0.029390973970294,0.036227867007255554,0.056617371737957,0.07117800414562225,0.042885955423116684,0.4995487928390503,2.947153461718699e-06,0.05773904174566269,0.02890285663306713,0.019018642604351044,0.032211609184741974,0.008102447725832462,0.013035532087087631,0.018336646258831024,0.010712474584579468,0.010662160813808441,0.03133966401219368,0.002718105912208557,0.0018102191388607025
1,2,SELECT,2.5034464670170564e-06,2.5727673346409574e-05,8.356298167200293e-06,6.420820227504009e-06,9.604501428839285e-06,4.579458163789241e-06,0.0022444960195571184,8.50876767799491e-06,8.688974958204199e-06,4.285770501155639e-06,0.21585725247859955,6.150868102849927e-06,0.2650773227214813,1.5374349459307268e-05,0.2736796438694,3.6782912502530962e-06,0.2428712397813797,3.899790499417577e-06,0.00016231696645263582,0.0,0.0
1,2,UPDATE,0.22782699763774872,0.0619027204811573,0.050866954028606415,0.018933087587356567,0.004660496022552252,0.00581378722563386,0.0014592134393751621,0.002910623326897621,0.017514636740088463,0.004762545228004456,0.0011752026621252298,0.004588839132338762,0.0014703328488394618,0.007653205655515194,0.0012657134793698788,0.004969171714037657,0.001198283745907247,0.05010299012064934,0.014907356351613998,0.4985170364379883,0.017500748857855797
1,3,SELECT,0.002025370253250003,0.0010537266498431563,0.007663160562515259,0.0014954530633985996,0.0005067336023785174,0.000232708640396595,0.0001305952318944037,0.003024729434400797,0.004415804520249367,0.0012252427404746413,0.22823302447795868,0.0009493913967162371,0.26172059774398804,0.002043164102360606,0.22683699429035187,0.0011382689699530602,0.25471165776252747,0.0012749258894473314,0.0013183867558836937,0.0,0.0
1,3,UPDATE,0.02751241996884346,0.07195960730314255,0.03434102237224579,0.04372156783938408,0.01821707747876644,0.024209577590227127,0.02341361530125141,0.1491410881280899,0.04991723969578743,0.02903616614639759,0.02198074199259281,0.019231079146265984,0.02091386914253235,0.031300123780965805,0.032229598611593246,0.019555218517780304,0.02512948215007782,0.04948381334543228,0.09788813441991806,0.17649003863334656,0.03432855010032654
1,4,SELECT,0.003910277504473925,0.005418625194579363,0.003380195703357458,0.003690386423841119,0.00406844075769186,0.004031054675579071,0.10740199685096741,0.013949512504041195,0.0007914045709185302,0.0013105265097692609,0.21666988730430603,0.0029356488958001137,0.2070380598306656,0.0017595551908016205,0.20422451198101044,0.0030351500026881695,0.2135455161333084,0.0019061841303482652,0.0009331617038697004,0.0,0.0
1,4,UPDATE,0.04513361304998398,0.012631477788090706,0.11444234102964401,0.06058776006102562,0.00961889885365963,0.006937357131391764,0.0035943847615271807,0.14752601087093353,0.05290864035487175,0.008006478659808636,0.004444911610335112,0.0046584829688072205,0.0036910339258611202,0.008372361771762371,0.004270123317837715,0.008769979700446129,0.004691850859671831,0.013117849826812744,0.009285060688853264,0.45439302921295166,0.022918378934264183
