checkpoint,data,alpha,group,rule,n,follow_teacher,follow_teacher_sem,follow_rule,follow_rule_sem,chance,clean_n,clean_follow_teacher,clean_follow_rule,acc_teacher,acc_q_g0.9,acc_q_g0.5,acc_q_g0
coconut_transformer_coconut-v4-mixed-20260502-1646.pt,coconut_dataset.pt:val,0.1,ALL,q_g0.5,989,0.5692618806875632,0.015745793791581895,0.4064711830131446,0.015618439504999334,0.3547354229861813,579,0.41796200345423146,0.5578583765112263,0.9639552652986748,0.9639552652986748,0.962731219256297,0.9518045724452013
coconut_transformer_coconut-v4-mixed-20260502-1646.pt,coconut_dataset.pt:val,0.1,ALL,q_g0,3424,0.7222546728971962,0.007654233076417972,0.2552570093457944,0.007451182018396278,0.3576713395638629,1544,0.5181347150259067,0.452720207253886,0.9639552652986748,0.9639552652986748,0.962731219256297,0.9518045724452013
coconut_transformer_coconut-v4-mixed-20260502-1646.pt,coconut_dataset.pt:val,0.1,ALL,most_tried,7207,0.8272512834743999,0.0044529608664256645,0.15221312612737617,0.004231478473093553,0.35744183895286985,2246,0.6202137132680321,0.35218165627782727,0.9639552652986748,0.9639552652986748,0.962731219256297,0.9518045724452013
coconut_transformer_coconut-v4-mixed-20260502-1646.pt,coconut_dataset.pt:val,0.1,ALL,last_astar,19441,0.8643073915950825,0.002456138817641941,0.13080602849647652,0.0024183153503122075,0.3447353531196955,0,nan,nan,0.9639552652986748,0.9639552652986748,0.962731219256297,0.9518045724452013
coconut_transformer_coconut-v4-mixed-20260502-1646.pt,coconut_dataset.pt:val,0.1,task=orig,q_g0.5,989,0.5692618806875632,0.015745793791581895,0.4064711830131446,0.015618439504999334,0.3547354229861813,579,0.41796200345423146,0.5578583765112263,0.9639552652986748,0.9639552652986748,0.962731219256297,0.9518045724452013
coconut_transformer_coconut-v4-mixed-20260502-1646.pt,coconut_dataset.pt:val,0.1,task=orig,q_g0,3424,0.7222546728971962,0.007654233076417972,0.2552570093457944,0.007451182018396278,0.3576713395638629,1544,0.5181347150259067,0.452720207253886,0.9639552652986748,0.9639552652986748,0.962731219256297,0.9518045724452013
coconut_transformer_coconut-v4-mixed-20260502-1646.pt,coconut_dataset.pt:val,0.1,task=orig,most_tried,7207,0.8272512834743999,0.0044529608664256645,0.15221312612737617,0.004231478473093553,0.35744183895286985,2246,0.6202137132680321,0.35218165627782727,0.9639552652986748,0.9639552652986748,0.962731219256297,0.9518045724452013
coconut_transformer_coconut-v4-mixed-20260502-1646.pt,coconut_dataset.pt:val,0.1,task=orig,last_astar,19441,0.8643073915950825,0.002456138817641941,0.13080602849647652,0.0024183153503122075,0.3447353531196955,0,nan,nan,0.9639552652986748,0.9639552652986748,0.962731219256297,0.9518045724452013
coconut_transformer_coconut-v4-mixed-20260502-1646.pt,eval_mix_alpha01.pt:train,0.1,ALL,q_g0.5,2528,0.7068829113924051,0.009053276318221342,0.21360759493670886,0.008151536274841501,0.3683082805907173,1032,0.4060077519379845,0.4583333333333333,0.829916476841306,0.829916476841306,0.8196086753533381,0.8021340673285731
coconut_transformer_coconut-v4-mixed-20260502-1646.pt,eval_mix_alpha01.pt:train,0.1,ALL,q_g0,6887,0.8020908958908087,0.0048009771435935265,0.14810512559895456,0.004280189581121054,0.3817942016359324,1916,0.4331941544885177,0.4514613778705637,0.829916476841306,0.829916476841306,0.8196086753533381,0.8021340673285731
