checkpoint,target,r2,alpha,n_rows
coconut_transformer_coconut-v4-mixed-20260502-1646.pt,q_g0.9,0.5995116188908156,0.1,36650
coconut_transformer_coconut-v4-mixed-20260502-1646.pt,q_g0,0.6134528107133418,0.1,36650
coconut_transformer_coconut-v4-mixed-20260502-1646.pt,counts,0.565062965820432,0.1,36650
coconut_transformer_coconut-v4-mixed-20260502-1646.pt,bootstrap_term,0.26230330667349067,0.1,36650
coconut_transformer_discrete-v1-20260723-2146.pt,q_g0.9,0.007687500346339027,0.1,36650
coconut_transformer_discrete-v1-20260723-2146.pt,q_g0,0.008292534622794445,0.1,36650
coconut_transformer_discrete-v1-20260723-2146.pt,counts,0.01256432528198359,0.1,36650
coconut_transformer_discrete-v1-20260723-2146.pt,bootstrap_term,0.000469120791568689,0.1,36650
