block,condition,agent,seed,return,opt_frac,gap_regret,model
nonstationary,action_permute,tf_legacy,9999,77.67317199707031,0.16,29.292494773864746,overwrite
nonstationary,action_permute,tf_legacy,10000,92.58355712890625,0.48,30.017807483673096,overwrite
nonstationary,action_permute,tf_legacy,10001,73.41860961914062,0.21333333333333335,37.502625942230225,overwrite
nonstationary,action_permute,tf_legacy,10002,87.43035888671875,0.32666666666666666,27.197685718536377,overwrite
nonstationary,action_permute,tf_legacy,10003,74.57646179199219,0.12666666666666668,44.74871826171875,overwrite
nonstationary,action_permute,tf_legacy,10004,84.125732421875,0.58,25.920774459838867,overwrite
nonstationary,action_permute,tf_legacy,10005,66.03865051269531,0.4066666666666667,51.030715465545654,overwrite
nonstationary,action_permute,tf_legacy,10006,63.98310089111328,0.16666666666666666,46.74817609786987,overwrite
nonstationary,action_permute,tf_legacy,10007,76.72189331054688,0.16666666666666666,39.00708293914795,overwrite
nonstationary,action_permute,tf_legacy,10008,75.72714233398438,0.16,45.54585790634155,overwrite
nonstationary,action_permute,tf_legacy,10009,81.72843933105469,0.2866666666666667,33.740540981292725,overwrite
nonstationary,action_permute,tf_legacy,10010,64.16954803466797,0.12666666666666668,45.716737270355225,overwrite
nonstationary,action_permute,tf_legacy,10011,88.1126708984375,0.48,26.854148387908936,overwrite
nonstationary,action_permute,tf_legacy,10012,79.16329956054688,0.36,46.92833375930786,overwrite
nonstationary,action_permute,tf_legacy,10013,93.73979187011719,0.19333333333333333,26.184271335601807,overwrite
nonstationary,action_permute,tf_legacy,10014,76.22077941894531,0.30666666666666664,40.22692537307739,overwrite
nonstationary,action_permute,tf_legacy,10015,69.53160095214844,0.17333333333333334,42.7371129989624,overwrite
nonstationary,action_permute,tf_legacy,10016,80.25245666503906,0.26666666666666666,25.33451509475708,overwrite
nonstationary,action_permute,tf_legacy,10017,81.46319580078125,0.26,28.107506275177002,overwrite
nonstationary,action_permute,tf_legacy,10018,80.82119750976562,0.2733333333333333,30.058419227600098,overwrite
nonstationary,action_permute,tf_legacy,10019,95.90945434570312,0.44,18.098814964294434,overwrite
nonstationary,action_permute,tf_legacy,10020,72.8141098022461,0.22666666666666666,31.82554006576538,overwrite
nonstationary,action_permute,tf_legacy,10021,59.24998092651367,0.26,51.22436285018921,overwrite
nonstationary,action_permute,tf_legacy,10022,80.49431610107422,0.18666666666666668,31.892165660858154,overwrite
nonstationary,action_permute,tf_legacy,10023,68.96855926513672,0.35333333333333333,37.16900968551636,overwrite
nonstationary,action_permute,tf_legacy,10024,82.05835723876953,0.32666666666666666,26.60297727584839,overwrite
nonstationary,action_permute,tf_legacy,10025,74.47279357910156,0.3,30.97656011581421,overwrite
nonstationary,action_permute,tf_legacy,10026,82.07742309570312,0.4266666666666667,20.19204044342041,overwrite
nonstationary,action_permute,tf_legacy,10027,67.54026794433594,0.13333333333333333,39.81826400756836,overwrite
nonstationary,action_permute,tf_legacy,10028,60.0179443359375,0.16,51.89635610580444,overwrite
nonstationary,action_permute,tf_legacy,10029,88.33335876464844,0.58,14.173253536224365,overwrite
nonstationary,action_permute,tf_legacy,10030,72.24180603027344,0.14666666666666667,37.37124967575073,overwrite
nonstationary,action_permute,tf_legacy,10031,76.9163818359375,0.22,32.63029909133911,overwrite
nonstationary,action_permute,tf_legacy,10032,69.97334289550781,0.32,21.213454723358154,overwrite
nonstationary,action_permute,tf_legacy,10033,74.71330261230469,0.2866666666666667,44.83688163757324,overwrite
nonstationary,action_permute,tf_legacy,10034,75.07374572753906,0.10666666666666667,35.38717555999756,overwrite
nonstationary,action_permute,tf_legacy,10035,82.65589141845703,0.18666666666666668,42.42951059341431,overwrite
nonstationary,action_permute,tf_legacy,10036,74.9621810913086,0.26666666666666666,38.77306127548218,overwrite
nonstationary,action_permute,tf_legacy,10037,83.76966857910156,0.4,18.55140447616577,overwrite
nonstationary,action_permute,tf_legacy,10038,78.32528686523438,0.26666666666666666,25.493805408477783,overwrite
nonstationary,action_permute,tf_legacy,10039,93.06797790527344,0.23333333333333334,20.70952272415161,overwrite
nonstationary,action_permute,tf_legacy,10040,74.229736328125,0.34,39.06312608718872,overwrite
nonstationary,action_permute,tf_legacy,10041,63.13908386230469,0.24,40.4469575881958,overwrite
nonstationary,action_permute,tf_legacy,10042,85.83262634277344,0.21333333333333335,29.044556140899658,overwrite
nonstationary,action_permute,tf_legacy,10043,81.7941665649414,0.29333333333333333,32.55540227890015,overwrite
nonstationary,action_permute,tf_legacy,10044,85.78043365478516,0.4533333333333333,23.414362907409668,overwrite
nonstationary,action_permute,tf_legacy,10045,70.23776245117188,0.25333333333333335,39.24135875701904,overwrite
nonstationary,action_permute,tf_legacy,10046,75.97909545898438,0.18666666666666668,38.485557556152344,overwrite
nonstationary,action_permute,tf_legacy,10047,85.17110443115234,0.42,36.740310192108154,overwrite
nonstationary,action_permute,tf_legacy,10048,92.99778747558594,0.41333333333333333,25.592537879943848,overwrite
nonstationary,action_permute,tf_self,9999,84.76519775390625,0.41333333333333333,26.091058254241943,overwrite
nonstationary,action_permute,tf_self,10000,80.11744689941406,0.2,41.32858085632324,overwrite
nonstationary,action_permute,tf_self,10001,73.71976470947266,0.19333333333333333,34.41880655288696,overwrite
nonstationary,action_permute,tf_self,10002,87.81954956054688,0.2866666666666667,28.2467098236084,overwrite
nonstationary,action_permute,tf_self,10003,78.27786254882812,0.31333333333333335,40.60283803939819,overwrite
nonstationary,action_permute,tf_self,10004,67.95687866210938,0.16666666666666666,41.69271278381348,overwrite
nonstationary,action_permute,tf_self,10005,76.51187133789062,0.43333333333333335,40.77833271026611,overwrite
nonstationary,action_permute,tf_self,10006,93.98749542236328,0.5533333333333333,17.77343225479126,overwrite
nonstationary,action_permute,tf_self,10007,95.67301940917969,0.47333333333333333,19.92776918411255,overwrite
nonstationary,action_permute,tf_self,10008,61.75347137451172,0.16666666666666666,57.03082895278931,overwrite
nonstationary,action_permute,tf_self,10009,71.87577819824219,0.28,41.34494066238403,overwrite
nonstationary,action_permute,tf_self,10010,78.19686126708984,0.3933333333333333,30.745262145996094,overwrite
nonstationary,action_permute,tf_self,10011,84.73640441894531,0.21333333333333335,32.86694622039795,overwrite
nonstationary,action_permute,tf_self,10012,84.24617004394531,0.22666666666666666,43.145721435546875,overwrite
nonstationary,action_permute,tf_self,10013,74.07504272460938,0.06666666666666667,44.65950012207031,overwrite
nonstationary,action_permute,tf_self,10014,57.687156677246094,0.22666666666666666,59.186163902282715,overwrite
nonstationary,action_permute,tf_self,10015,91.62824249267578,0.43333333333333335,19.90468740463257,overwrite
nonstationary,action_permute,tf_self,10016,62.095436096191406,0.34,42.415390968322754,overwrite
nonstationary,action_permute,tf_self,10017,68.9447021484375,0.20666666666666667,40.5272855758667,overwrite
nonstationary,action_permute,tf_self,10018,85.76628112792969,0.3933333333333333,23.774028778076172,overwrite
nonstationary,action_permute,tf_self,10019,77.44306945800781,0.28,34.64597129821777,overwrite
nonstationary,action_permute,tf_self,10020,85.15342712402344,0.36,20.119410037994385,overwrite
nonstationary,action_permute,tf_self,10021,62.94150924682617,0.24666666666666667,48.70623159408569,overwrite
nonstationary,action_permute,tf_self,10022,86.32144927978516,0.34,27.95767068862915,overwrite
nonstationary,action_permute,tf_self,10023,66.68648529052734,0.16666666666666666,42.205260276794434,overwrite
nonstationary,action_permute,tf_self,10024,78.79666137695312,0.4266666666666667,30.936556816101074,overwrite
nonstationary,action_permute,tf_self,10025,75.93869018554688,0.32,29.438055992126465,overwrite
nonstationary,action_permute,tf_self,10026,51.763004302978516,0.12666666666666668,49.47596979141235,overwrite
nonstationary,action_permute,tf_self,10027,73.61874389648438,0.12666666666666668,32.49100208282471,overwrite
nonstationary,action_permute,tf_self,10028,68.64501953125,0.22666666666666666,47.602477073669434,overwrite
nonstationary,action_permute,tf_self,10029,87.57586669921875,0.26,22.605173110961914,overwrite
nonstationary,action_permute,tf_self,10030,72.94683074951172,0.16666666666666666,38.21037817001343,overwrite
nonstationary,action_permute,tf_self,10031,76.39736938476562,0.28,33.759751319885254,overwrite
nonstationary,action_permute,tf_self,10032,79.9708251953125,0.3466666666666667,12.307706356048584,overwrite
nonstationary,action_permute,tf_self,10033,76.54290771484375,0.16666666666666666,44.100749015808105,overwrite
nonstationary,action_permute,tf_self,10034,89.18870544433594,0.3933333333333333,22.72208833694458,overwrite
nonstationary,action_permute,tf_self,10035,79.17329406738281,0.25333333333333335,45.800036907196045,overwrite
nonstationary,action_permute,tf_self,10036,86.53099060058594,0.13333333333333333,31.187792778015137,overwrite
