block,condition,agent,seed,return,opt_frac,gap_regret,model,agreement,tf_pred_true_opt,teacher_true_opt
size_sweep,2x2,tf_self,10016,198.10000610351562,0.99,1.8999996185302734,overwrite,,,
size_sweep,2x2,tf_self,10017,200.0,1.0,0.0,overwrite,,,
size_sweep,2x2,tf_self,10018,108.80000305175781,0.52,91.19998168945312,overwrite,,,
size_sweep,2x2,tf_self,10019,114.50000762939453,0.55,85.4999828338623,overwrite,,,
size_sweep,2x2,tf_self,10020,200.0,1.0,0.0,overwrite,,,
size_sweep,2x2,tf_self,10021,98.35000610351562,0.465,101.65008163452148,overwrite,,,
size_sweep,2x2,tf_self,10022,178.15000915527344,0.885,21.849995613098145,overwrite,,,
size_sweep,2x2,tf_self,10023,89.80000305175781,0.42,110.19997787475586,overwrite,,,
size_sweep,2x2,tf_self,10024,200.0,1.0,0.0,overwrite,,,
size_sweep,2x2,tf_self,10025,62.25,0.275,137.74997234344482,overwrite,,,
size_sweep,2x2,tf_self,10026,92.65000915527344,0.435,107.34997844696045,overwrite,,,
size_sweep,2x2,tf_self,10027,97.40000915527344,0.46,102.59997940063477,overwrite,,,
size_sweep,2x2,tf_self,10028,48.94999694824219,0.205,151.05012130737305,overwrite,,,
size_sweep,2x2,tf_self,10029,52.749996185302734,0.225,147.2499704360962,overwrite,,,
size_sweep,2x2,tf_self,10030,117.3499984741211,0.565,82.6499834060669,overwrite,,,
size_sweep,2x2,tf_self,10031,171.5,0.85,28.4999942779541,overwrite,,,
size_sweep,2x2,tf_self,10032,10.000001907348633,0.0,190.00015258789062,overwrite,,,
size_sweep,2x2,tf_self,10033,114.50000762939453,0.55,85.50006866455078,overwrite,,,
size_sweep,2x2,tf_self,10034,10.000001907348633,0.0,189.99996185302734,overwrite,,,
size_sweep,2x2,tf_self,10035,25.199996948242188,0.08,174.80014038085938,overwrite,,,
size_sweep,2x2,tf_self,10036,96.45000457763672,0.455,103.5499792098999,overwrite,,,
size_sweep,2x2,tf_self,10037,159.14999389648438,0.785,40.84995079040527,overwrite,,,
size_sweep,2x2,tf_self,10038,200.0,1.0,0.0,overwrite,,,
size_sweep,2x2,tf_self,10039,10.000001907348633,0.0,190.00005912780762,overwrite,,,
size_sweep,2x2,tf_self,10040,24.25,0.075,175.74996376037598,overwrite,,,
size_sweep,2x2,tf_self,10041,128.75,0.625,71.25005722045898,overwrite,,,
size_sweep,2x2,tf_self,10042,115.45001220703125,0.555,84.54998302459717,overwrite,,,
size_sweep,2x2,tf_self,10043,99.30000305175781,0.47,100.69997978210449,overwrite,,,
size_sweep,2x2,tf_self,10044,132.5500030517578,0.645,67.4499864578247,overwrite,,,
size_sweep,2x2,tf_self,10045,200.0,1.0,0.0,overwrite,,,
size_sweep,2x2,tf_self,10046,10.000001907348633,0.0,189.99996185302734,overwrite,,,
size_sweep,2x2,tf_self,10047,79.35000610351562,0.365,120.64997577667236,overwrite,,,
size_sweep,2x2,tf_self,10048,10.000001907348633,0.0,189.99996185302734,overwrite,,,
