block,condition,agent,seed,return,opt_frac,gap_regret,model,agreement,tf_pred_true_opt,teacher_true_opt
size_sweep,2x2,tf_self,10019,200.0,1.0,0.0,discrete,,,
size_sweep,2x2,tf_self,10020,200.0,1.0,0.0,discrete,,,
size_sweep,2x2,tf_self,10021,98.35000610351562,0.465,101.65008163452148,discrete,,,
size_sweep,2x2,tf_self,10022,196.1999969482422,0.98,3.799999237060547,discrete,,,
size_sweep,2x2,tf_self,10023,200.0,1.0,0.0,discrete,,,
size_sweep,2x2,tf_self,10024,112.60000610351562,0.54,87.40007019042969,discrete,,,
size_sweep,2x2,tf_self,10025,85.05000305175781,0.395,114.94997692108154,discrete,,,
size_sweep,2x2,tf_self,10026,200.0,1.0,0.0,discrete,,,
size_sweep,2x2,tf_self,10027,200.0,1.0,0.0,discrete,,,
size_sweep,2x2,tf_self,10028,200.0,1.0,0.0,discrete,,,
size_sweep,2x2,tf_self,10029,10.000001907348633,0.0,189.99996185302734,discrete,,,
size_sweep,2x2,tf_self,10030,200.0,1.0,0.0,discrete,,,
size_sweep,2x2,tf_self,10031,81.25,0.375,118.74997615814209,discrete,,,
size_sweep,2x2,tf_self,10032,10.000001907348633,0.0,190.00015258789062,discrete,,,
size_sweep,2x2,tf_self,10033,57.5,0.25,142.50003242492676,discrete,,,
size_sweep,2x2,tf_self,10034,192.39999389648438,0.96,7.599998474121094,discrete,,,
size_sweep,2x2,tf_self,10035,200.0,1.0,0.0,discrete,,,
size_sweep,2x2,tf_self,10036,200.0,1.0,0.0,discrete,,,
size_sweep,2x2,tf_self,10037,200.0,1.0,0.0,discrete,,,
size_sweep,2x2,tf_self,10038,136.35000610351562,0.665,63.65005111694336,discrete,,,
size_sweep,2x2,tf_self,10039,111.65000915527344,0.535,88.35006809234619,discrete,,,
size_sweep,2x2,tf_self,10040,10.000001907348633,0.0,189.99995231628418,discrete,,,
size_sweep,2x2,tf_self,10041,44.19999694824219,0.18,155.8001251220703,discrete,,,
size_sweep,2x2,tf_self,10042,200.0,1.0,0.0,discrete,,,
size_sweep,2x2,tf_self,10043,28.050006866455078,0.095,171.94996547698975,discrete,,,
size_sweep,2x2,tf_self,10044,198.10000610351562,0.99,1.8999996185302734,discrete,,,
size_sweep,2x2,tf_self,10045,141.10000610351562,0.69,58.89998817443848,discrete,,,
size_sweep,2x2,tf_self,10046,199.0500030517578,0.995,0.9499998092651367,discrete,,,
size_sweep,2x2,tf_self,10047,79.35000610351562,0.365,120.64997577667236,discrete,,,
size_sweep,2x2,tf_self,10048,10.000001907348633,0.0,189.99996185302734,discrete,,,
size_sweep,2x2,optimal,9999,200.0,1.0,0.0,discrete,,,
size_sweep,2x2,optimal,10000,200.0,1.0,0.0,discrete,,,
size_sweep,2x2,optimal,10001,200.0,1.0,0.0,discrete,,,
size_sweep,2x2,optimal,10002,200.0,1.0,0.0,discrete,,,
size_sweep,2x2,optimal,10003,200.0,1.0,0.0,discrete,,,
size_sweep,2x2,optimal,10004,200.0,1.0,0.0,discrete,,,
size_sweep,2x2,optimal,10005,200.0,1.0,0.0,discrete,,,
size_sweep,2x2,optimal,10006,200.0,1.0,0.0,discrete,,,
size_sweep,2x2,optimal,10007,200.0,1.0,0.0,discrete,,,
size_sweep,2x2,optimal,10008,200.0,1.0,0.0,discrete,,,
size_sweep,2x2,optimal,10009,200.0,1.0,0.0,discrete,,,
size_sweep,2x2,optimal,10010,200.0,1.0,0.0,discrete,,,
size_sweep,2x2,optimal,10011,200.0,1.0,0.0,discrete,,,
size_sweep,2x2,optimal,10012,200.0,1.0,0.0,discrete,,,
size_sweep,2x2,optimal,10013,200.0,1.0,0.0,discrete,,,
size_sweep,2x2,optimal,10014,200.0,1.0,0.0,discrete,,,
size_sweep,2x2,optimal,10015,200.0,1.0,0.0,discrete,,,
size_sweep,2x2,optimal,10016,200.0,1.0,0.0,discrete,,,
size_sweep,2x2,optimal,10017,200.0,1.0,0.0,discrete,,,
size_sweep,2x2,optimal,10018,200.0,1.0,0.0,discrete,,,
size_sweep,2x2,optimal,10019,200.0,1.0,0.0,discrete,,,
size_sweep,2x2,optimal,10020,200.0,1.0,0.0,discrete,,,
size_sweep,2x2,optimal,10021,200.0,1.0,0.0,discrete,,,
size_sweep,2x2,optimal,10022,200.0,1.0,0.0,discrete,,,
size_sweep,2x2,optimal,10023,200.0,1.0,0.0,discrete,,,
size_sweep,2x2,optimal,10024,200.0,1.0,0.0,discrete,,,
size_sweep,2x2,optimal,10025,200.0,1.0,0.0,discrete,,,
size_sweep,2x2,optimal,10026,200.0,1.0,0.0,discrete,,,
size_sweep,2x2,optimal,10027,200.0,1.0,0.0,discrete,,,
size_sweep,2x2,optimal,10028,200.0,1.0,0.0,discrete,,,
size_sweep,2x2,optimal,10029,200.0,1.0,0.0,discrete,,,
size_sweep,2x2,optimal,10030,200.0,1.0,0.0,discrete,,,
size_sweep,2x2,optimal,10031,200.0,1.0,0.0,discrete,,,
size_sweep,2x2,optimal,10032,200.0,1.0,0.0,discrete,,,
size_sweep,2x2,optimal,10033,200.0,1.0,0.0,discrete,,,
size_sweep,2x2,optimal,10034,200.0,1.0,0.0,discrete,,,
size_sweep,2x2,optimal,10035,200.0,1.0,0.0,discrete,,,
size_sweep,2x2,optimal,10036,200.0,1.0,0.0,discrete,,,
size_sweep,2x2,optimal,10037,200.0,1.0,0.0,discrete,,,
size_sweep,2x2,optimal,10038,200.0,1.0,0.0,discrete,,,
size_sweep,2x2,optimal,10039,200.0,1.0,0.0,discrete,,,
size_sweep,2x2,optimal,10040,200.0,1.0,0.0,discrete,,,
size_sweep,2x2,optimal,10041,200.0,1.0,0.0,discrete,,,
size_sweep,2x2,optimal,10042,200.0,1.0,0.0,discrete,,,
size_sweep,2x2,optimal,10043,200.0,1.0,0.0,discrete,,,
size_sweep,2x2,optimal,10044,200.0,1.0,0.0,discrete,,,
size_sweep,2x2,optimal,10045,200.0,1.0,0.0,discrete,,,
size_sweep,2x2,optimal,10046,200.0,1.0,0.0,discrete,,,
size_sweep,2x2,optimal,10047,200.0,1.0,0.0,discrete,,,
size_sweep,2x2,optimal,10048,200.0,1.0,0.0,discrete,,,
size_sweep,2x2,random,9999,110.70001220703125,0.53,89.29998207092285,discrete,,,
size_sweep,2x2,random,10000,95.50000762939453,0.45,104.49997901916504,discrete,,,
size_sweep,2x2,random,10001,100.25,0.475,99.75001811981201,discrete,,,
size_sweep,2x2,random,10002,105.95000457763672,0.505,94.04998111724854,discrete,,,
size_sweep,2x2,random,10003,102.15000915527344,0.485,97.85007858276367,discrete,,,
size_sweep,2x2,random,10004,106.90000915527344,0.51,93.10001373291016,discrete,,,
size_sweep,2x2,random,10005,108.80000305175781,0.52,91.2000732421875,discrete,,,
size_sweep,2x2,random,10006,94.55000305175781,0.445,105.44997882843018,discrete,,,
size_sweep,2x2,random,10007,107.85000610351562,0.515,92.14998149871826,discrete,,,
size_sweep,2x2,random,10008,99.30001068115234,0.47,100.70001697540283,discrete,,,
size_sweep,2x2,random,10009,105.95001220703125,0.505,94.05004215240479,discrete,,,
size_sweep,2x2,random,10010,99.30000305175781,0.47,100.69997978210449,discrete,,,
size_sweep,2x2,random,10011,92.65000915527344,0.435,107.34997844696045,discrete,,,
size_sweep,2x2,random,10012,94.55000305175781,0.445,105.45002174377441,discrete,,,
size_sweep,2x2,random,10013,98.35000610351562,0.465,101.6500186920166,discrete,,,
size_sweep,2x2,random,10014,105.00000762939453,0.5,94.99998092651367,discrete,,,
size_sweep,2x2,random,10015,106.9000015258789,0.51,93.0999813079834,discrete,,,
size_sweep,2x2,random,10016,97.4000015258789,0.46,102.59997940063477,discrete,,,
size_sweep,2x2,random,10017,101.20000457763672,0.48,98.79998016357422,discrete,,,
size_sweep,2x2,random,10018,96.45000457763672,0.455,103.5499792098999,discrete,,,
size_sweep,2x2,random,10019,110.69999694824219,0.53,89.29998207092285,discrete,,,
size_sweep,2x2,random,10020,114.50000762939453,0.55,85.50000381469727,discrete,,,
size_sweep,2x2,random,10021,100.25001525878906,0.475,99.75002098083496,discrete,,,
size_sweep,2x2,random,10022,96.45000457763672,0.455,103.5499792098999,discrete,,,
size_sweep,2x2,random,10023,93.60000610351562,0.44,106.39997863769531,discrete,,,
size_sweep,2x2,random,10024,107.85000610351562,0.515,92.15002727508545,discrete,,,
size_sweep,2x2,random,10025,104.05000305175781,0.495,95.94998073577881,discrete,,,
size_sweep,2x2,random,10026,105.0,0.5,94.99998092651367,discrete,,,
size_sweep,2x2,random,10027,105.95000457763672,0.505,94.05001831054688,discrete,,,
size_sweep,2x2,random,10028,112.60000610351562,0.54,87.4000654220581,discrete,,,
size_sweep,2x2,random,10029,98.35000610351562,0.465,101.64997959136963,discrete,,,
size_sweep,2x2,random,10030,109.75000762939453,0.525,90.24998188018799,discrete,,,
size_sweep,2x2,random,10031,103.10000610351562,0.49,96.89998054504395,discrete,,,
size_sweep,2x2,random,10032,101.20000457763672,0.48,98.80007934570312,discrete,,,
size_sweep,2x2,random,10033,100.25,0.475,99.75003337860107,discrete,,,
size_sweep,2x2,random,10034,113.55000305175781,0.545,86.44998264312744,discrete,,,
size_sweep,2x2,random,10035,106.9000015258789,0.51,93.1000747680664,discrete,,,
size_sweep,2x2,random,10036,117.35000610351562,0.565,82.6499834060669,discrete,,,
size_sweep,2x2,random,10037,116.40000915527344,0.56,83.59997081756592,discrete,,,
size_sweep,2x2,random,10038,105.95000457763672,0.505,94.05007553100586,discrete,,,
size_sweep,2x2,random,10039,104.05000305175781,0.495,95.95003604888916,discrete,,,
size_sweep,2x2,random,10040,106.90000915527344,0.51,93.09995651245117,discrete,,,
size_sweep,2x2,random,10041,109.75000762939453,0.525,90.25007247924805,discrete,,,
size_sweep,2x2,random,10042,98.35000610351562,0.465,101.64997959136963,discrete,,,
size_sweep,2x2,random,10043,105.95000457763672,0.505,94.04998111724854,discrete,,,
size_sweep,2x2,random,10044,106.9000015258789,0.51,93.0999813079834,discrete,,,
size_sweep,2x2,random,10045,114.50000762939453,0.55,85.4999828338623,discrete,,,
size_sweep,2x2,random,10046,112.5999984741211,0.54,87.39998245239258,discrete,,,
size_sweep,2x2,random,10047,84.10000610351562,0.39,115.89997673034668,discrete,,,
size_sweep,2x2,random,10048,102.15000915527344,0.485,97.84998035430908,discrete,,,
size_sweep_teacher_forced,2x2,tf,9999,,,,discrete,0.8,0.74,0.66
size_sweep_teacher_forced,2x2,tf,10000,,,,discrete,0.96,0.06,0.02
size_sweep_teacher_forced,2x2,tf,10001,,,,discrete,0.92,0.4,0.32
size_sweep_teacher_forced,2x2,tf,10002,,,,discrete,0.98,0.02,0.0
size_sweep_teacher_forced,2x2,tf,10003,,,,discrete,0.86,0.54,0.44
size_sweep_teacher_forced,2x2,tf,10004,,,,discrete,0.86,0.26,0.28
size_sweep_teacher_forced,2x2,tf,10005,,,,discrete,0.94,0.94,1.0
size_sweep_teacher_forced,2x2,tf,10006,,,,discrete,0.98,0.02,0.0
size_sweep_teacher_forced,2x2,tf,10007,,,,discrete,1.0,0.32,0.32
size_sweep_teacher_forced,2x2,tf,10008,,,,discrete,0.92,0.18,0.14
size_sweep_teacher_forced,2x2,tf,10009,,,,discrete,0.98,0.0,0.02
size_sweep_teacher_forced,2x2,tf,10010,,,,discrete,0.88,0.9,0.82
size_sweep_teacher_forced,2x2,tf,10011,,,,discrete,0.78,0.28,0.06
size_sweep_teacher_forced,2x2,tf,10012,,,,discrete,0.82,0.36,0.38
size_sweep_teacher_forced,2x2,tf,10013,,,,discrete,0.9,0.68,0.62
size_sweep_teacher_forced,2x2,tf,10014,,,,discrete,0.98,0.24,0.26
size_sweep_teacher_forced,2x2,tf,10015,,,,discrete,0.92,0.08,0.0
size_sweep_teacher_forced,2x2,tf,10016,,,,discrete,0.92,0.18,0.14
size_sweep_teacher_forced,2x2,tf,10017,,,,discrete,0.96,0.98,0.98
size_sweep_teacher_forced,2x2,tf,10018,,,,discrete,0.82,0.12,0.26
size_sweep_teacher_forced,2x2,tf,10019,,,,discrete,0.86,0.82,0.96
size_sweep_teacher_forced,2x2,tf,10020,,,,discrete,0.96,0.66,0.66
size_sweep_teacher_forced,2x2,tf,10021,,,,discrete,0.98,1.0,0.98
size_sweep_teacher_forced,2x2,tf,10022,,,,discrete,0.96,0.18,0.14
size_sweep_teacher_forced,2x2,tf,10023,,,,discrete,0.84,0.62,0.74
size_sweep_teacher_forced,2x2,tf,10024,,,,discrete,0.9,0.84,0.94
size_sweep_teacher_forced,2x2,tf,10025,,,,discrete,0.94,0.34,0.28
size_sweep_teacher_forced,2x2,tf,10026,,,,discrete,0.82,0.76,0.86
size_sweep_teacher_forced,2x2,tf,10027,,,,discrete,0.98,0.04,0.06
size_sweep_teacher_forced,2x2,tf,10028,,,,discrete,1.0,0.0,0.0
size_sweep_teacher_forced,2x2,tf,10029,,,,discrete,0.92,0.18,0.14
size_sweep_teacher_forced,2x2,tf,10030,,,,discrete,0.72,0.46,0.5
size_sweep_teacher_forced,2x2,tf,10031,,,,discrete,0.84,0.08,0.16
size_sweep_teacher_forced,2x2,tf,10032,,,,discrete,0.86,0.26,0.24
size_sweep_teacher_forced,2x2,tf,10033,,,,discrete,0.96,0.48,0.48
size_sweep_teacher_forced,2x2,tf,10034,,,,discrete,0.78,0.82,0.68
size_sweep_teacher_forced,2x2,tf,10035,,,,discrete,0.92,0.08,0.0
size_sweep_teacher_forced,2x2,tf,10036,,,,discrete,0.84,0.54,0.46
size_sweep_teacher_forced,2x2,tf,10037,,,,discrete,1.0,0.68,0.68
size_sweep_teacher_forced,2x2,tf,10038,,,,discrete,0.98,0.34,0.36
size_sweep_teacher_forced,2x2,tf,10039,,,,discrete,0.98,0.5,0.48
size_sweep_teacher_forced,2x2,tf,10040,,,,discrete,0.96,0.02,0.02
size_sweep_teacher_forced,2x2,tf,10041,,,,discrete,1.0,1.0,1.0
size_sweep_teacher_forced,2x2,tf,10042,,,,discrete,0.86,0.26,0.2
size_sweep_teacher_forced,2x2,tf,10043,,,,discrete,0.9,0.4,0.5
size_sweep_teacher_forced,2x2,tf,10044,,,,discrete,0.88,0.4,0.52
size_sweep_teacher_forced,2x2,tf,10045,,,,discrete,0.98,0.18,0.16
size_sweep_teacher_forced,2x2,tf,10046,,,,discrete,0.84,0.84,1.0
size_sweep_teacher_forced,2x2,tf,10047,,,,discrete,0.98,0.58,0.6
size_sweep_teacher_forced,2x2,tf,10048,,,,discrete,0.84,0.86,0.98
size_sweep,2x3,tf_legacy,9999,164.85000610351562,0.815,35.14999294281006,discrete,,,
size_sweep,2x3,tf_legacy,10000,199.0500030517578,0.995,0.9500007629394531,discrete,,,
size_sweep,2x3,tf_legacy,10001,10.000001907348633,0.0,190.00014686584473,discrete,,,
size_sweep,2x3,tf_legacy,10002,198.10000610351562,0.99,1.8999996185302734,discrete,,,
size_sweep,2x3,tf_legacy,10003,10.000001907348633,0.0,190.00015258789062,discrete,,,
size_sweep,2x3,tf_legacy,10004,118.30000305175781,0.57,81.69998359680176,discrete,,,
size_sweep,2x3,tf_legacy,10005,28.049997329711914,0.095,171.94996547698975,discrete,,,
size_sweep,2x3,tf_legacy,10006,60.349998474121094,0.265,139.6499719619751,discrete,,,
size_sweep,2x3,tf_legacy,10007,110.69999694824219,0.53,89.29998207092285,discrete,,,
size_sweep,2x3,tf_legacy,10008,92.65001678466797,0.435,107.3500862121582,discrete,,,
size_sweep,2x3,tf_legacy,10009,196.1999969482422,0.98,3.799999237060547,discrete,,,
size_sweep,2x3,tf_legacy,10010,59.40000915527344,0.26,140.59997177124023,discrete,,,
size_sweep,2x3,tf_legacy,10011,181.9499969482422,0.905,18.050010681152344,discrete,,,
size_sweep,2x3,tf_legacy,10012,118.30000305175781,0.57,81.69998359680176,discrete,,,
size_sweep,2x3,tf_legacy,10013,10.000001907348633,0.0,189.99999046325684,discrete,,,
size_sweep,2x3,tf_legacy,10014,145.85000610351562,0.715,54.14998912811279,discrete,,,
size_sweep,2x3,tf_legacy,10015,116.40000915527344,0.56,83.59998321533203,discrete,,,
size_sweep,2x3,tf_legacy,10016,198.10000610351562,0.99,1.8999996185302734,discrete,,,
size_sweep,2x3,tf_legacy,10017,10.000001907348633,0.0,190.0000295639038,discrete,,,
size_sweep,2x3,tf_legacy,10018,10.000001907348633,0.0,190.00006103515625,discrete,,,
size_sweep,2x3,tf_legacy,10019,73.65000915527344,0.335,126.3498477935791,discrete,,,
size_sweep,2x3,tf_legacy,10020,135.40000915527344,0.66,64.5999870300293,discrete,,,
size_sweep,2x3,tf_legacy,10021,99.30000305175781,0.47,100.69997978210449,discrete,,,
size_sweep,2x3,tf_legacy,10022,138.25,0.675,61.75004863739014,discrete,,,
size_sweep,2x3,tf_legacy,10023,69.85000610351562,0.315,130.14997386932373,discrete,,,
size_sweep,2x3,tf_legacy,10024,57.499996185302734,0.25,142.50011444091797,discrete,,,
size_sweep,2x3,tf_legacy,10025,128.75,0.625,71.24998569488525,discrete,,,
size_sweep,2x3,tf_legacy,10026,10.000001907348633,0.0,189.99996185302734,discrete,,,
size_sweep,2x3,tf_legacy,10027,136.35000610351562,0.665,63.65005111694336,discrete,,,
size_sweep,2x3,tf_legacy,10028,10.000001907348633,0.0,190.00000095367432,discrete,,,
size_sweep,2x3,tf_legacy,10029,87.90000915527344,0.41,112.09997749328613,discrete,,,
size_sweep,2x3,tf_legacy,10030,110.70001220703125,0.53,89.3000717163086,discrete,,,
size_sweep,2x3,tf_legacy,10031,172.45001220703125,0.855,27.550048828125,discrete,,,
size_sweep,2x3,tf_legacy,10032,179.10000610351562,0.89,20.899995803833008,discrete,,,
size_sweep,2x3,tf_legacy,10033,12.850000381469727,0.015,187.14996242523193,discrete,,,
size_sweep,2x3,tf_legacy,10034,82.19999694824219,0.38,117.7999792098999,discrete,,,
size_sweep,2x3,tf_legacy,10035,10.000001907348633,0.0,189.9999294281006,discrete,,,
size_sweep,2x3,tf_legacy,10036,110.70000457763672,0.53,89.3000717163086,discrete,,,
size_sweep,2x3,tf_legacy,10037,108.80000305175781,0.52,91.19998168945312,discrete,,,
size_sweep,2x3,tf_legacy,10038,10.000001907348633,0.0,189.999906539917,discrete,,,
size_sweep,2x3,tf_legacy,10039,200.0,1.0,0.0,discrete,,,
size_sweep,2x3,tf_legacy,10040,21.39999771118164,0.06,178.5999641418457,discrete,,,
size_sweep,2x3,tf_legacy,10041,10.000001907348633,0.0,189.99992656707764,discrete,,,
size_sweep,2x3,tf_legacy,10042,95.5,0.45,104.50008392333984,discrete,,,
size_sweep,2x3,tf_legacy,10043,164.85000610351562,0.815,35.150028228759766,discrete,,,
size_sweep,2x3,tf_legacy,10044,10.000001907348633,0.0,190.00003051757812,discrete,,,
size_sweep,2x3,tf_legacy,10045,10.000001907348633,0.0,189.99999904632568,discrete,,,
size_sweep,2x3,tf_legacy,10046,79.35000610351562,0.365,120.65009689331055,discrete,,,
size_sweep,2x3,tf_legacy,10047,126.85000610351562,0.615,73.15005588531494,discrete,,,
size_sweep,2x3,tf_legacy,10048,44.19999694824219,0.18,155.79996871948242,discrete,,,
size_sweep,2x3,tf_self,9999,164.85000610351562,0.815,35.14999294281006,discrete,,,
size_sweep,2x3,tf_self,10000,199.0500030517578,0.995,0.9500007629394531,discrete,,,
size_sweep,2x3,tf_self,10001,10.000001907348633,0.0,190.00014686584473,discrete,,,
size_sweep,2x3,tf_self,10002,10.950000762939453,0.005,189.05011558532715,discrete,,,
size_sweep,2x3,tf_self,10003,10.000001907348633,0.0,190.00015258789062,discrete,,,
size_sweep,2x3,tf_self,10004,118.30000305175781,0.57,81.69998359680176,discrete,,,
size_sweep,2x3,tf_self,10005,189.5500030517578,0.945,10.449997901916504,discrete,,,
size_sweep,2x3,tf_self,10006,12.850000381469727,0.015,187.15004062652588,discrete,,,
