block,condition,agent,n_mdps,return_mean,return_sd,return_sem,pct_opt_mean,pct_opt_sd,pct_opt_sem,opt_frac_mean,opt_frac_sd,opt_frac_sem,gap_regret_mean,gap_regret_sd,gap_regret_sem,return_regret_mean,return_regret_sd,return_regret_sem,n_states,n_actions,agreement_mean,agreement_sd,agreement_sem,tf_pred_true_opt_mean,tf_pred_true_opt_sd,tf_pred_true_opt_sem,teacher_true_opt_mean,teacher_true_opt_sd,teacher_true_opt_sem,model
size_sweep,2x2,tf_legacy,50,109.40800170898437,75.35938461515934,10.657426377484871,54.704000597000125,37.67969234625702,5.328713194212238,0.5232,0.3966283409141693,0.056091717894235775,90.59200588226318,75.35939027612173,10.657427178065848,90.59199951171875,75.35938613854249,10.65742659292378,2,2,0.9092,0.07059051216816085,0.009983005968307607,0.4304,0.31470724977544523,0.04450632608095718,0.43000000000000005,0.3375844565529083,0.04774165169034738,discrete
size_sweep,2x2,tf_self,50,124.85500179290771,74.70458123190505,10.56482319495627,62.42750082015991,37.35229063565376,5.28241160026431,0.6045,0.3931820085364216,0.05560433289533014,75.1450119972229,74.70459088173745,10.564824559648654,75.14499893188477,74.70458224424165,10.564823338122284,2,2,0.9092,0.07059051216816085,0.009983005968307607,0.4304,0.31470724977544523,0.04450632608095718,0.43000000000000005,0.3375844565529083,0.04774165169034738,discrete
size_sweep,2x2,optimal,50,200.0,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0.9092,0.07059051216816085,0.009983005968307607,0.4304,0.31470724977544523,0.04450632608095718,0.43000000000000005,0.3375844565529083,0.04774165169034738,discrete
size_sweep,2x2,random,50,103.9740054321289,6.866230866214633,0.9710316813385498,51.98700218200683,3.4331155347891755,0.4855158550492613,0.4946,0.03613805727586182,0.005110693071733949,96.026003074646,6.866226949092314,0.9710311273737989,96.0259945678711,6.866230866214633,0.9710316813385498,2,2,0.9092,0.07059051216816085,0.009983005968307607,0.4304,0.31470724977544523,0.04450632608095718,0.43000000000000005,0.3375844565529083,0.04774165169034738,discrete
size_sweep,2x3,tf_legacy,50,90.88300331115722,64.94804600018719,9.185040750309637,45.44150157928467,32.474022976339654,4.592520371795504,0.4256999999999999,0.34183181507273186,0.04834231889264692,109.11700660705566,64.94804155796184,9.185040122084104,109.11699676513672,64.9480462986944,9.18504079252493,2,3,0.8716000000000002,0.07560261306357616,0.010691824074535472,0.3604,0.3227557362869364,0.04564455395906995,0.37160000000000004,0.3440239668917245,0.04865233597596694,discrete
size_sweep,2x3,tf_self,50,91.05400302886963,62.456724089224274,8.832714626837536,45.527001514434815,31.228362044612137,4.416357313418768,0.4266,0.32871959392249717,0.046487970794297194,108.94601171493531,62.45672697484695,8.832715034926208,108.94599716186524,62.456724554360214,8.83271469261769,2,3,0.8716000000000002,0.07560261306357616,0.010691824074535472,0.3604,0.3227557362869364,0.04564455395906995,0.37160000000000004,0.3440239668917245,0.04865233597596694,discrete
size_sweep,2x3,optimal,50,200.0,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,0.8716000000000002,0.07560261306357616,0.010691824074535472,0.3604,0.3227557362869364,0.04564455395906995,0.37160000000000004,0.3440239668917245,0.04865233597596694,discrete
size_sweep,2x3,random,50,72.07300025939941,6.413445173596932,0.9069981146037049,36.036500129699704,3.206722586798466,0.45349905730185247,0.32669999999999993,0.03375496939983316,0.004773673552273287,127.92700706481934,6.413440813469668,0.906997497988594,127.9270004272461,6.413445877727903,0.9069982141828619,2,3,0.8716000000000002,0.07560261306357616,0.010691824074535472,0.3604,0.3227557362869364,0.04564455395906995,0.37160000000000004,0.3440239668917245,0.04865233597596694,discrete
size_sweep,2x4,tf_legacy,50,60.274002647399904,72.2229163763091,10.213862785351424,30.137001237869264,36.111458140317,5.10693138591046,0.2646,0.3801206038474996,0.053757171329858446,139.725989818573,72.22291246878012,10.213862232743375,139.72599822998046,72.22291712546883,10.213862891298607,2,4,0.7831999999999999,0.15651093721969642,0.02213398900758187,0.2624,0.2997588146139751,0.04239229810679659,0.2676,0.35888466682436104,0.05075395631507609,discrete
size_sweep,2x4,tf_self,50,35.25100212097168,54.28574596422912,7.677163818615333,17.625500993728636,27.142872869897815,3.838581893437822,0.1329,0.2857144464285262,0.040406124510514285,164.74898948669434,54.28574685246127,7.677163944230329,164.74899887084962,54.28574645440384,7.677163887936507,2,4,0.7831999999999999,0.15651093721969642,0.02213398900758187,0.2624,0.2997588146139751,0.04239229810679659,0.2676,0.35888466682436104,0.05075395631507609,discrete
size_sweep,2x4,optimal,50,200.0,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,0.7831999999999999,0.15651093721969642,0.02213398900758187,0.2624,0.2997588146139751,0.04239229810679659,0.2676,0.35888466682436104,0.05075395631507609,discrete
size_sweep,2x4,random,50,58.18399772644043,5.881425939577376,0.8317592329843249,29.09199893951416,2.940712916722575,0.4158796089874808,0.25360000000000005,0.030954871694656612,0.0043776799372102415,141.81599851608277,5.881429052495905,0.8317596732174851,141.81600189208984,5.88142555478781,0.8317591785668624,2,4,0.7831999999999999,0.15651093721969642,0.02213398900758187,0.2624,0.2997588146139751,0.04239229810679659,0.2676,0.35888466682436104,0.05075395631507609,discrete
size_sweep,3x2,tf_legacy,50,96.67800214767456,67.58205302515655,9.557545596119406,48.33900081634521,33.79102650402593,4.778772796850218,0.4562,0.35569500808348464,0.05030287045000716,103.3219963645935,67.5820442009537,9.55754434818867,103.3219985961914,67.58205409443502,9.557545747338217,3,2,0.7944,0.12668714478218074,0.01791626783292839,0.5384,0.23532313866646587,0.03327971742423205,0.5832,0.30203013770422427,0.04271351169867274,discrete
size_sweep,3x2,tf_self,50,107.71700225830078,67.13455682926721,9.494260077185698,53.85850091934204,33.56727844422928,4.747130042778309,0.5143,0.35333976537593154,0.04996978883203697,92.28299739837647,67.1345485186143,9.49425890188189,92.28299880981446,67.13455814137,9.494260262745053,3,2,0.7944,0.12668714478218074,0.01791626783292839,0.5384,0.23532313866646587,0.03327971742423205,0.5832,0.30203013770422427,0.04271351169867274,discrete
size_sweep,3x2,optimal,50,200.0,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,0.7944,0.12668714478218074,0.01791626783292839,0.5384,0.23532313866646587,0.03327971742423205,0.5832,0.30203013770422427,0.04271351169867274,discrete
size_sweep,3x2,random,50,105.13300521850586,7.064994589898393,0.9991411167126849,52.56650230407715,3.5324973531532766,0.49957056658764243,0.5007,0.03718418030972477,0.005258637209973937,94.86699535369873,7.064994896667754,0.9991411600964241,94.86699478149414,7.064994589898393,0.9991411167126849,3,2,0.7944,0.12668714478218074,0.01791626783292839,0.5384,0.23532313866646587,0.03327971742423205,0.5832,0.30203013770422427,0.04271351169867274,discrete
size_sweep,3x3,tf_legacy,50,72.16799999237061,56.61780084803076,8.006966183102403,36.083999996185305,28.30890042401538,4.003483091551201,0.3272,0.29798842601822023,0.04214192735051787,127.83200071334839,56.61779560377334,8.006965441452405,127.8320002746582,56.617801147220085,8.006966225414162,3,3,0.7223999999999999,0.10846912473329987,0.01533985072965716,0.42840000000000006,0.2404448258659651,0.0340040333742085,0.44799999999999995,0.334615222216168,0.047321738543459176,discrete
size_sweep,3x3,tf_self,50,68.0449998664856,54.70960818581843,7.737106988850252,34.0225,27.354804167648847,3.8685535049949062,0.3055,0.28794530730678697,0.04072161588149468,131.95500232696534,54.709606905821104,7.737106807831294,131.9550003051758,54.70960862513146,7.737107050978496,3,3,0.7223999999999999,0.10846912473329987,0.01533985072965716,0.42840000000000006,0.2404448258659651,0.0340040333742085,0.44799999999999995,0.334615222216168,0.047321738543459176,discrete
size_sweep,3x3,optimal,50,200.0,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,0.7223999999999999,0.10846912473329987,0.01533985072965716,0.42840000000000006,0.2404448258659651,0.0340040333742085,0.44799999999999995,0.334615222216168,0.047321738543459176,discrete
size_sweep,3x3,random,50,73.32700096130371,7.134004599302777,1.0089006058366026,36.66350040435791,3.567002202823359,0.50445028922475,0.3333,0.03754738502810788,0.005310002113839466,126.67300271987915,7.134003641416212,1.0089004703709852,126.67299880981446,7.134003790882363,1.008900491508691,3,3,0.7223999999999999,0.10846912473329987,0.01533985072965716,0.42840000000000006,0.2404448258659651,0.0340040333742085,0.44799999999999995,0.334615222216168,0.047321738543459176,discrete
size_sweep,3x4,tf_legacy,50,70.80000116348266,57.02616900613666,8.064718161865871,35.400000457763674,28.513084208991568,4.0323590393442,0.32,0.3001377234891084,0.04244588391380829,129.1999991607666,57.02617283532128,8.064718703394353,129.19999893188478,57.02616915982181,8.064718183600233,3,4,0.6708,0.1265691712149559,0.017899583851051296,0.2268,0.17150522095938225,0.024254500949855276,0.2244,0.2488599310980425,0.03519410896900856,discrete
size_sweep,3x4,tf_self,50,68.55800096511841,65.8181445609264,9.308091268829507,34.27900030136109,32.90907204268727,4.654045600788159,0.30820000000000003,0.3464112808645297,0.048989953155765334,131.44199645996093,65.81814017764292,9.308090648939611,131.44199966430665,65.81814497335006,9.30809132715502,3,4,0.6708,0.1265691712149559,0.017899583851051296,0.2268,0.17150522095938225,0.024254500949855276,0.2244,0.2488599310980425,0.03519410896900856,discrete
size_sweep,3x4,optimal,50,200.0,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,4,0.6708,0.1265691712149559,0.017899583851051296,0.2268,0.17150522095938225,0.024254500949855276,0.2244,0.2488599310980425,0.03519410896900856,discrete
size_sweep,3x4,random,50,56.34099792480469,5.635951926240781,0.7970439650972482,28.170499153137207,2.8179759375313465,0.39852197892978675,0.2439,0.02966290200068161,0.004194967830870795,143.65899879455566,5.635947775811551,0.7970433781379175,143.65900299072266,5.6359517078827945,0.7970439342167656,3,4,0.6708,0.1265691712149559,0.017899583851051296,0.2268,0.17150522095938225,0.024254500949855276,0.2244,0.2488599310980425,0.03519410896900856,discrete
size_sweep,4x2,tf_legacy,50,84.68900144577026,48.042435090630775,6.7942263274599135,42.344500646591186,24.02121753414676,3.3971131621504744,0.39309999999999995,0.2528549031377804,0.03575908333299843,115.31099092483521,48.04243509487862,6.794226328060649,115.31099868774415,48.042435236238774,6.7942263480519935,4,2,0.7095999999999999,0.11851048347668466,0.016759913301612004,0.5256000000000001,0.18083886163529958,0.025574477072875225,0.5696,0.2773707457758386,0.03922614704817308,discrete
size_sweep,4x2,tf_self,50,99.68000213623047,51.89079882608935,7.338467146222944,49.840000820159915,25.945399288048474,3.6692335554343396,0.472,0.2731094570134913,0.03862350981208312,100.31999555587768,51.89080404815515,7.338467884734571,100.31999786376953,51.89079889806555,7.338467156401915,4,2,0.7095999999999999,0.11851048347668466,0.016759913301612004,0.5256000000000001,0.18083886163529958,0.025574477072875225,0.5696,0.2773707457758386,0.03922614704817308,discrete
size_sweep,4x2,optimal,50,200.0,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2,0.7095999999999999,0.11851048347668466,0.016759913301612004,0.5256000000000001,0.18083886163529958,0.025574477072875225,0.5696,0.2773707457758386,0.03922614704817308,discrete
size_sweep,4x2,random,50,103.38500595092773,6.486660873376218,0.9173523781643553,51.69250282287598,3.243330603151819,0.4586762126237013,0.4915,0.03414031670166222,0.00482816989032034,96.61499221801758,6.486659511494306,0.9173521855651683,96.61499404907227,6.486660873376218,0.9173523781643553,4,2,0.7095999999999999,0.11851048347668466,0.016759913301612004,0.5256000000000001,0.18083886163529958,0.025574477072875225,0.5696,0.2773707457758386,0.03922614704817308,discrete
