construction,sweep,seed,max_cos,beta,beta_max,sigma,dim,rho,T,max_err,final_err,greedy_agree,select_agree,max_pred_err,w_linf,w_l1,max_w_linf,decision_agree,regret_diff
q,beta_route,11,0.0,1.0,,,,,100,0.7963838235063512,0.7946270818674789,0.5706521739130435,0.5052631578947369,,,,,,
q,beta_route,11,0.0,1.0,,,,,500,2.414699265650366,2.414699265650366,0.5345528455284553,0.4606060606060606,,,,,,
q,beta_route,12,0.0,1.0,,,,,100,0.8875315833744211,0.8875315833744211,0.5185185185185185,0.6236559139784946,,,,,,
q,beta_route,12,0.0,1.0,,,,,500,2.7056420326483708,2.7056420326483708,0.4479271991911021,0.5963488843813387,,,,,,
q,beta_route,13,0.0,1.0,,,,,100,1.314810607110115,1.314810607110115,0.5938037865748709,0.8210526315789474,,,,,,
q,beta_route,13,0.0,1.0,,,,,500,3.917292604051759,3.917292604051759,0.4391143911439114,0.8080808080808081,,,,,,
q,beta_route,14,0.0,1.0,,,,,100,0.939086325413868,0.939086325413868,0.6287215411558669,0.4838709677419355,,,,,,
q,beta_route,14,0.0,1.0,,,,,500,3.3433491148089085,3.3433491148089085,0.6038370918882531,0.4158215010141988,,,,,,
q,beta_route,15,0.0,1.0,,,,,100,1.017161780265626,1.017161780265626,0.5157894736842106,0.5052631578947369,,,,,,
q,beta_route,15,0.0,1.0,,,,,500,2.743141344929472,2.743141344929472,0.4343434343434343,0.5595959595959596,,,,,,
q,beta_route,12,0.0,2.0,,,,,100,0.7464424171531607,0.7464424171531607,0.6843033509700176,0.8064516129032258,,,,,,
q,beta_route,12,0.0,2.0,,,,,500,2.507510073307428,2.478208621470974,0.5308392315470172,0.7464503042596349,,,,,,
q,beta_route,13,0.0,2.0,,,,,100,1.1888528002214804,1.1888528002214804,0.6919104991394148,0.936842105263158,,,,,,
q,beta_route,13,0.0,2.0,,,,,500,3.499478604481235,3.4896087408207257,0.4958067762495807,0.9333333333333332,,,,,,
q,beta_route,14,0.0,2.0,,,,,100,0.7569365231700179,0.7569365231700179,0.723292469352014,0.6236559139784946,,,,,,
q,beta_route,14,0.0,2.0,,,,,500,2.9681710822161143,2.963730519022636,0.6469202288791652,0.356997971602434,,,,,,
q,beta_route,15,0.0,2.0,,,,,100,0.9120210434631062,0.9120210434631062,0.6456140350877193,0.7894736842105263,,,,,,
q,beta_route,15,0.0,2.0,,,,,500,2.3791031971438623,2.3791031971438623,0.501010101010101,0.7373737373737373,,,,,,
q,beta_route,8,0.0,2.0,,,,,100,0.6205964274078746,0.6205964274078746,0.7127659574468085,0.782608695652174,,,,,,
q,beta_route,8,0.0,2.0,,,,,500,1.7748873902175162,1.7748873902175162,0.548582995951417,0.7215447154471545,,,,,,
q,beta_route,9,0.0,2.0,,,,,100,0.5446461001986261,0.5446461001986261,0.6077057793345009,0.7717391304347826,,,,,,
q,beta_route,9,0.0,2.0,,,,,500,1.7468783583436485,1.7458630795024288,0.568832043083137,0.7154471544715447,,,,,,
q,beta_route,10,0.0,2.0,,,,,100,1.3977967724519458,1.3977967724519458,0.5381882770870338,0.8210526315789474,,,,,,
q,beta_route,10,0.0,2.0,,,,,500,3.3245477418744143,3.3245477418744143,0.4380695241309483,0.7898989898989899,,,,,,
q,beta_route,11,0.0,2.0,,,,,100,0.7030281005045108,0.7030281005045108,0.6884057971014492,0.7052631578947368,,,,,,
q,beta_route,11,0.0,2.0,,,,,500,2.2490979244679195,2.2490979244679195,0.5826558265582655,0.6404040404040404,,,,,,
q,beta_route,4,0.0,1.0,,,,,100,1.200202265560408,1.200202265560408,0.553415061295972,0.5161290322580645,,,,,,
q,beta_route,4,0.0,1.0,,,,,500,3.362785294877374,3.067148401943829,0.4294850218781555,0.4219066937119675,,,,,,
q,beta_route,5,0.0,1.0,,,,,100,1.013376986030482,1.013376986030482,0.4921465968586387,0.431578947368421,,,,,,
q,beta_route,5,0.0,1.0,,,,,500,3.262464079040718,3.262464079040718,0.5142953245879582,0.5131313131313131,,,,,,
q,beta_route,6,0.0,1.0,,,,,100,1.412626223933391,1.4059500156198523,0.3541666666666667,0.8191489361702128,,,,,,
q,beta_route,6,0.0,1.0,,,,,500,3.454965889944116,3.454965889944116,0.2993951612903225,0.8502024291497976,,,,,,
q,beta_route,7,0.0,1.0,,,,,100,1.1153795610269717,1.1153795610269717,0.4749568221070812,0.4946236559139785,,,,,,
q,beta_route,7,0.0,1.0,,,,,500,3.414053016983261,3.414053016983261,0.4343739509902652,0.6085192697768763,,,,,,
q,beta_route,0,0.0,5.0,,,,,100,0.5174253342980335,0.5174253342980335,0.980968858131488,0.9893617021276596,,,,,,
q,beta_route,0,0.0,5.0,,,,,500,1.586509669647122,1.5502887186278715,0.8710543989254533,0.9008097165991904,,,,,,
q,beta_route,1,0.0,5.0,,,,,100,0.5227961012616005,0.5227961012616005,0.9384328358208956,0.967741935483871,,,,,,
q,beta_route,1,0.0,5.0,,,,,500,1.8860978524971808,1.8860978524971808,0.976158038147139,0.9797160243407708,,,,,,
q,beta_route,2,0.0,5.0,,,,,100,0.5363772350374424,0.5363772350374424,0.9893048128342246,1.0,,,,,,
q,beta_route,2,0.0,5.0,,,,,500,1.4542860715225596,1.395798113213134,0.983451536643026,0.9797160243407708,,,,,,
q,beta_route,3,0.0,5.0,,,,,100,0.259053512850886,0.259053512850886,0.9346289752650176,0.9680851063829788,,,,,,
q,beta_route,3,0.0,5.0,,,,,500,1.299085033620217,1.299085033620217,0.9369521240728254,0.9493927125506072,,,,,,
q,beta_route,16,0.0,1.0,,,,,100,1.0340531698255249,1.0339041172231112,0.2987697715289982,0.8404255319148937,,,,,,
q,beta_route,16,0.0,1.0,,,,,500,2.981505185817752,2.981505185817752,0.2657460424385315,0.854251012145749,,,,,,
q,beta_route,17,0.0,1.0,,,,,100,0.9187159804325904,0.9187159804325904,0.4663120567375886,0.6702127659574468,,,,,,
q,beta_route,17,0.0,1.0,,,,,500,3.33044087842203,3.33044087842203,0.5387989203778677,0.6639676113360324,,,,,,
q,beta_route,18,0.0,1.0,,,,,100,1.1444807973542932,1.1444807973542932,0.5954465849387041,0.5053763440860215,,,,,,
q,beta_route,18,0.0,1.0,,,,,500,3.795805102007892,3.795805102007892,0.6065297879501851,0.5740365111561866,,,,,,
q,beta_route,19,0.0,1.0,,,,,100,1.1013721242417542,1.1013721242417542,0.3345008756567426,0.7872340425531915,,,,,,
q,beta_route,19,0.0,1.0,,,,,500,2.991747585536816,2.927782417139128,0.2665769101312689,0.8380566801619433,,,,,,
q,beta_route,0,0.0,2.0,,,,,100,0.9027875562969732,0.9027875562969732,0.6868512110726643,0.4787234042553192,,,,,,
q,beta_route,0,0.0,2.0,,,,,500,2.8901311515870587,2.8901311515870587,0.6104768300873069,0.3866396761133603,,,,,,
q,beta_route,1,0.0,2.0,,,,,100,0.9231603362633544,0.9205510198446164,0.5522388059701493,0.7311827956989247,,,,,,
q,beta_route,1,0.0,2.0,,,,,500,3.1524482534620004,3.120294529214476,0.5051089918256131,0.7018255578093306,,,,,,
q,beta_route,2,0.0,2.0,,,,,100,0.9280919231330256,0.9280919231330256,0.6916221033868093,0.6881720430107527,,,,,,
q,beta_route,2,0.0,2.0,,,,,500,3.287541625681634,3.287541625681634,0.563323201621074,0.5253549695740365,,,,,,
q,beta_route,3,0.0,2.0,,,,,100,0.4355878911969226,0.4066087008731933,0.5653710247349824,0.776595744680851,,,,,,
q,beta_route,3,0.0,2.0,,,,,500,1.8573037364177407,1.8573037364177407,0.5546190155091032,0.757085020242915,,,,,,
q,beta_route,16,0.0,2.0,,,,,100,0.9111792011489654,0.9109879126576405,0.4007029876977153,0.8617021276595744,,,,,,
q,beta_route,16,0.0,2.0,,,,,500,2.6630728645544908,2.6630728645544908,0.3374873694846749,0.9331983805668016,,,,,,
q,beta_route,17,0.0,2.0,,,,,100,0.8484521232433322,0.8484521232433322,0.5602836879432624,0.8191489361702128,,,,,,
q,beta_route,17,0.0,2.0,,,,,500,3.002995253919689,3.002995253919689,0.6008771929824561,0.8036437246963563,,,,,,
q,beta_route,18,0.0,2.0,,,,,100,1.0171192816553094,1.0171192816553094,0.6777583187390543,0.6236559139784946,,,,,,
q,beta_route,18,0.0,2.0,,,,,500,3.522090739952319,3.522090739952319,0.6529787950185123,0.6024340770791075,,,,,,
q,beta_route,19,0.0,2.0,,,,,100,1.0331261800075284,1.0331261800075284,0.4483362521891418,0.7446808510638298,,,,,,
q,beta_route,19,0.0,2.0,,,,,500,2.7712863539482355,2.681616795331001,0.3416358128576237,0.902834008097166,,,,,,
q,beta_route,4,0.0,2.0,,,,,100,1.055025094894539,1.055025094894539,0.6532399299474606,0.6129032258064516,,,,,,
q,beta_route,4,0.0,2.0,,,,,500,2.8190052272938484,2.813513479596952,0.4964658364187142,0.537525354969574,,,,,,
q,beta_route,5,0.0,2.0,,,,,100,0.8414824018370866,0.8414824018370866,0.581151832460733,0.7578947368421053,,,,,,
q,beta_route,5,0.0,2.0,,,,,500,2.9432895648939743,2.9205191505198504,0.5536495122771611,0.692929292929293,,,,,,
q,beta_route,6,0.0,2.0,,,,,100,1.2768732953510982,1.265422494141372,0.4809027777777778,0.8297872340425532,,,,,,
q,beta_route,6,0.0,2.0,,,,,500,3.091393948302572,3.091393948302572,0.3729838709677419,0.9412955465587044,,,,,,
q,beta_route,7,0.0,2.0,,,,,100,0.9147679644280282,0.9147679644280282,0.5751295336787565,0.6236559139784946,,,,,,
q,beta_route,7,0.0,2.0,,,,,500,3.046984638230946,3.046984638230946,0.4937898623699228,0.6896551724137931,,,,,,
q,beta_route,12,0.0,5.0,,,,,100,0.4461834293692286,0.4461834293692286,0.9947089947089948,0.989247311827957,,,,,,
q,beta_route,12,0.0,5.0,,,,,500,1.4040994666929605,1.3524600941748268,0.9831479609032692,0.9837728194726166,,,,,,
q,beta_route,13,0.0,5.0,,,,,100,0.8348531660083467,0.8348531660083467,0.9604130808950088,0.9894736842105264,,,,,,
q,beta_route,13,0.0,5.0,,,,,500,2.182401129525996,2.179561062315034,0.9849043944984904,0.993939393939394,,,,,,
q,beta_route,14,0.0,5.0,,,,,100,0.3866897244357369,0.3866897244357369,0.9719789842381786,0.956989247311828,,,,,,
q,beta_route,14,0.0,5.0,,,,,500,1.8205279744468832,1.6309436034399534,0.9303264893975092,0.95131845841785,,,,,,
q,beta_route,15,0.0,5.0,,,,,100,0.5077981094420793,0.5077981094420793,0.9649122807017544,0.9578947368421052,,,,,,
q,beta_route,15,0.0,5.0,,,,,500,1.1065596856395743,0.9699642632401688,0.9138047138047138,0.9131313131313132,,,,,,
q,beta_route,4,0.0,5.0,,,,,100,0.6180283800512876,0.6180283800512876,0.9982486865148862,1.0,,,,,,
q,beta_route,4,0.0,5.0,,,,,500,1.5053587401284276,1.448992401036129,0.9508582968697408,0.9594320486815416,,,,,,
q,beta_route,5,0.0,5.0,,,,,100,0.415861359997086,0.415861359997086,0.9546247818499128,0.9894736842105264,,,,,,
