construction,sweep,seed,max_cos,beta,sigma,dim,rho,T,max_pred_err,w_linf,w_l1,max_w_linf,decision_agree,regret_diff,beta_max,max_err,final_err,greedy_agree,select_agree
mwu,beta_route,7,0.0,1.0,,,,500,0.823007349292128,0.732425311930529,1.4648506238610577,0.7396037121118146,0.78,32.0,,,,,
mwu,beta_route,8,0.0,1.0,,,,100,0.687983494662931,0.5351768382275381,1.0703536764550765,0.5351768382275381,0.8367346938775511,15.0,,,,,
mwu,beta_route,8,0.0,1.0,,,,500,0.8460101547728887,0.7465509921619238,1.493101984323847,0.7468768801027146,0.8072289156626506,63.0,,,,,
mwu,beta_route,9,0.0,1.0,,,,100,0.5898395111524876,0.3801292904321445,0.7740109202331085,0.4186666038575116,0.92,-2.0,,,,,
mwu,beta_route,9,0.0,1.0,,,,500,0.8448155067437465,0.735459010797509,1.470918021595018,0.737684685613782,0.898,1.0,,,,,
mwu,beta_route,10,0.0,1.0,,,,100,0.6881170617592689,0.4258878697507928,0.9586066574359324,0.4452222619368455,0.9183673469387756,-1.0,,,,,
mwu,beta_route,10,0.0,1.0,,,,500,0.8317763894209451,0.7286333161875547,1.4572666323751091,0.728713386460625,0.8855421686746988,16.0,,,,,
mwu,beta_route,11,0.0,1.0,,,,100,0.6358037470756275,0.3772329029714138,0.875945462979521,0.3772329029714138,0.7777777777777778,12.0,,,,,
mwu,beta_route,11,0.0,1.0,,,,500,0.8038153328441694,0.7023996989702599,1.4047993979405198,0.7072436466206183,0.6773547094188377,69.0,,,,,
mwu,beta_route,12,0.0,1.0,,,,100,0.7591703214783294,0.6666827845376191,1.333365569075238,0.6666827845376191,0.72,16.0,,,,,
mwu,beta_route,12,0.0,1.0,,,,500,0.8559626560374858,0.7490150149689752,1.4980300299379503,0.7504801965724082,0.678,125.0,,,,,
mwu,beta_route,13,0.0,1.0,,,,100,0.5435278637476006,0.2380735339917467,0.514294325761531,0.2605631681796261,0.95,-1.0,,,,,
mwu,beta_route,13,0.0,1.0,,,,500,0.6728378117986864,0.4490366702518627,0.9126868376048318,0.5085605939569755,0.86,-6.0,,,,,
mwu,beta_route,14,0.0,1.0,,,,100,0.5142364266229447,0.2554709571330795,0.5684488062283264,0.2554709571330795,0.9387755102040816,5.0,,,,,
mwu,beta_route,14,0.0,1.0,,,,500,0.7094366261402922,0.2975320995326754,0.9960656437290564,0.4633432687620922,0.8795180722891566,-3.0,,,,,
mwu,beta_route,15,0.0,1.0,,,,100,0.6744288451928379,0.4751748739257247,0.9503497478514497,0.4932684712680825,0.8571428571428571,6.0,,,,,
mwu,beta_route,15,0.0,1.0,,,,500,0.7648090404414564,0.6665582400548314,1.3331164801096629,0.6737625670088545,0.7670682730923695,32.0,,,,,
mwu,beta_route,16,0.0,1.0,,,,100,0.5591450017013131,0.2321120655607263,0.7499225754214659,0.2500109345327285,0.9191919191919192,6.0,,,,,
mwu,beta_route,16,0.0,1.0,,,,500,0.8466184803069655,0.7361239896425862,1.4722479792851724,0.7397066484568463,0.8276553106212425,34.0,,,,,
mwu,beta_route,17,0.0,1.0,,,,100,0.6659001880139911,0.5025248947591765,1.005049789518353,0.517205601314723,0.8686868686868687,3.0,,,,,
mwu,beta_route,17,0.0,1.0,,,,500,0.8551680107849882,0.7491317279580086,1.4982634559160173,0.749295508154499,0.8717434869739479,34.0,,,,,
mwu,beta_route,18,0.0,1.0,,,,100,0.6441178593256764,0.6385793816272152,1.2771587632544306,0.6385793816272152,0.7,16.0,,,,,
mwu,beta_route,18,0.0,1.0,,,,500,0.8559204795450472,0.749202819671982,1.4984056393439638,0.7505913529648068,0.7,90.0,,,,,
mwu,beta_route,19,0.0,1.0,,,,100,0.764681897163614,0.6744925197134025,1.348985039426805,0.6744925197134025,0.8080808080808081,15.0,,,,,
mwu,beta_route,19,0.0,1.0,,,,500,0.8559672828524909,0.7498863505818769,1.4997727011637538,0.750671810337423,0.7294589178356713,111.0,,,,,
mwu,beta_route,0,0.0,2.0,,,,100,0.6966476185673423,0.6654657951155969,1.3309315902311938,0.6692216811080152,0.81,15.0,,,,,
mwu,beta_route,0,0.0,2.0,,,,500,0.8032084511783278,0.7456666424307092,1.4913332848614185,0.751416869654632,0.766,85.0,,,,,
mwu,beta_route,1,0.0,2.0,,,,100,0.5016056945866693,0.2493705809670305,0.8078170319880442,0.2943388981435625,0.8585858585858586,6.0,,,,,
mwu,beta_route,1,0.0,2.0,,,,500,0.6065068644223236,0.4403026591455972,0.9945091361447652,0.5466753819608141,0.811623246492986,30.0,,,,,
mwu,beta_route,2,0.0,2.0,,,,100,0.6858054179835535,0.657914423491639,1.315828846983278,0.6597699598646252,0.7474747474747475,15.0,,,,,
