construction,sweep,beta,beta_max,sigma,dim,rho,T,max_pred_err_mean,w_linf_mean,w_l1_mean,max_w_linf_mean,decision_agree_mean,regret_diff_mean,max_cos_mean,diverged_mean,max_pred_err_sem,w_linf_sem,w_l1_sem,max_w_linf_sem,decision_agree_sem,regret_diff_sem,n
mwu,beta_x_dim,10.0,,,2048.0,,500,0.8157340188158966,0.5526148104141625,1.1052296208283252,0.8268227430044958,0.7714413868843761,53.4,0.05580562464231035,0.0,0.04678005858016559,0.10593476784635472,0.2118695356927095,0.0400895944818592,0.04808547306165966,14.099533400267653,20
mwu,beta_x_dim,10.0,,,4096.0,,100,0.7870030995086593,0.6804391867184272,1.3608783734368544,0.8093676079612979,0.7660624241574168,10.9,0.04043502467319143,0.0,0.03785870343534668,0.06681175469341522,0.1336235093868304,0.03436397024367072,0.031973744103293476,2.488817093784874,20
mwu,beta_x_dim,10.0,,,4096.0,,500,0.8527160758801242,0.6640997895952981,1.3281995791905963,0.8640465425264015,0.7244506648149596,65.55,0.04043502467319143,0.0,0.04283286889093001,0.09664736391195361,0.19329472782390725,0.03752509737699626,0.04547051913742502,16.594303873698095,20
mwu,beta_x_dim,10.0,,,8192.0,,100,0.6493924080978195,0.5171946323146366,1.0343892646292734,0.6792433146064275,0.8507865388579674,5.9,0.027572015708936963,0.0,0.047228633691932205,0.07013971814441869,0.14027943628883738,0.042030257844487155,0.03018583166811387,1.938393257585424,20
mwu,beta_x_dim,10.0,,,8192.0,,500,0.7232314080254236,0.463582614983991,0.927165229967982,0.7467867830122701,0.8151154751269608,41.4,0.027572015708936963,0.0,0.05705494404019694,0.10211943976191674,0.2042388795238335,0.05021995186549682,0.043618369963073424,14.25618979140012,20
mwu,beta_x_dim,10.0,,,16384.0,,100,0.7361813462390145,0.6565787556134112,1.3131575112268223,0.7509124139677854,0.8360088609639419,8.1,0.02099103031817787,0.0,0.054441620911044375,0.07866064785816342,0.15732129571632683,0.05201000873096064,0.02587013697440075,2.001183860145105,20
mwu,beta_x_dim,10.0,,,16384.0,,500,0.8381509438908447,0.711365937730595,1.4227318754611902,0.8413833628981042,0.6991101311007266,78.55,0.02099103031817787,0.0,0.05623440662158631,0.0961147647660806,0.19222952953216121,0.05312557859359351,0.04335291925795006,16.019145617534956,20
mwu,beta_x_dim,20.0,,,32.0,,100,1.028678519803134,0.7933387771135645,1.586677554227129,0.880045098248009,0.6184004275874673,21.7,0.4685909083126097,0.0,0.05959873808429092,0.05874417533298017,0.11748835066596033,0.02177968401877981,0.041483967634328094,3.4823615701508013,20
mwu,beta_x_dim,20.0,,,32.0,,500,1.0324077332460768,0.9910076620236448,1.98201532404729,0.9950245936601968,0.5706676322334292,112.55,0.4685909083126097,0.9,0.013057973180796321,0.002843547750229625,0.00568709550045911,0.0015732899694105656,0.03821243255357549,16.381709151881623,20
mwu,beta_x_dim,20.0,,,64.0,,100,0.9257742762531107,0.6932297904612276,1.386459580922455,0.8376129209827876,0.7337306613366996,14.55,0.33225016350453335,0.0,0.04132418763504042,0.0684190128875199,0.1368380257750398,0.026242796194558746,0.04054392311774128,3.15767652754863,20
mwu,beta_x_dim,20.0,,,64.0,,500,0.9937719889974408,0.7212982868939677,1.4425965737879354,0.8966677196825046,0.6874669771289688,81.15,0.33225016350453335,0.15,0.04403380385597817,0.09144729680222267,0.18289459360444535,0.02937523711128384,0.047548074555496776,18.234333578516978,20
mwu,beta_x_dim,20.0,,,128.0,,100,0.9266102760970479,0.6735911838412287,1.3471823676824575,0.8571192426376488,0.6989646964065226,16.75,0.23721008257877202,0.0,0.04270519760464137,0.07745879913045711,0.1549175982609142,0.028672357750663416,0.040772518080261444,3.2508096157564714,20
mwu,beta_x_dim,20.0,,,128.0,,500,0.9744083610374353,0.61458139429282,1.2291627885856402,0.8810519571080103,0.6655577319370101,96.55,0.23721008257877202,0.0,0.04571335417625092,0.10408987189979914,0.20817974379959828,0.03181421852954732,0.05038593504727364,17.725164240943467,20
mwu,beta_x_dim,20.0,,,256.0,,100,0.8929576542338449,0.7356396325780199,1.4712792651560398,0.8464629067526006,0.6833206565975344,17.95,0.16269360089398407,0.0,0.036544785578117606,0.06438602505031252,0.12877205010062506,0.028081398812749573,0.03929068186694447,3.2244746614146718,20
mwu,beta_x_dim,20.0,,,256.0,,500,0.9648452620982617,0.7390561405401823,1.4781122810803649,0.9065661854213435,0.6372869399736987,99.1,0.16269360089398407,0.0,0.039443478576345704,0.09486636901928647,0.18973273803857293,0.03153912772370789,0.04535241908385225,17.937156378516868,20
mwu,beta_x_dim,20.0,,,512.0,,100,0.8464383486004469,0.6958914817623724,1.3917829635247447,0.8565007078162648,0.7045680112719876,16.95,0.12010095499453581,0.0,0.04033758471752751,0.07568592748279418,0.15137185496558836,0.030809026130202567,0.04090604164326795,3.6638166754873183,20
mwu,beta_x_dim,20.0,,,512.0,,500,0.9047292012824183,0.7033102082033968,1.4066204164067937,0.9078728526828701,0.6688873650673386,94.25,0.12010095499453581,0.0,0.044227092700680176,0.10256281699608731,0.20512563399217468,0.03395375972044241,0.04915784073574493,18.124115223413774,20
mwu,beta_x_dim,20.0,,,1024.0,,100,0.8448350517318882,0.7816044388763329,1.5632088777526658,0.8482343372790343,0.7088895051928925,14.7,0.08310998156126656,0.0,0.035067230065688425,0.056230646385185115,0.11246129277037023,0.030099642857304876,0.03300026343723711,2.838735819450549,20
mwu,beta_x_dim,20.0,,,1024.0,,500,0.9296398522864402,0.7924791570037597,1.5849583140075196,0.9171680783665005,0.6425619888618073,89.15,0.08310998156126656,0.0,0.03511372462352969,0.08736327318907286,0.17472654637814572,0.032795954744841434,0.042113958181763896,16.885414914715753,20
mwu,beta_x_dim,20.0,,,2048.0,,100,0.7644190682497143,0.6114469952129393,1.2228939904258787,0.7869875362928381,0.8011550238339634,8.55,0.05580562464231035,0.0,0.041748957136552314,0.07048095837566284,0.14096191675132566,0.03553514117073332,0.033981359592834166,2.314115722894464,20
mwu,beta_x_dim,20.0,,,2048.0,,500,0.8159377941380026,0.5526148104141625,1.1052296208283252,0.8269619760991829,0.7714413868843761,53.4,0.05580562464231035,0.0,0.046726793576313104,0.10593476784635474,0.21186953569270947,0.040040493134041004,0.04808547306165966,14.099533400267653,20
mwu,beta_x_dim,20.0,,,4096.0,,100,0.7871065156307943,0.6804391867184272,1.3608783734368544,0.8094722640403746,0.7660624241574168,10.9,0.04043502467319143,0.0,0.0378312999930588,0.06681175469341522,0.1336235093868304,0.03433112367900225,0.031973744103293476,2.4888170937848737,20
mwu,beta_x_dim,20.0,,,4096.0,,500,0.8527848441155914,0.6640997895952981,1.3281995791905963,0.8641310142504903,0.7244506648149596,65.55,0.04043502467319143,0.0,0.04280617757686777,0.09664736391195362,0.19329472782390725,0.037490132983313613,0.04547051913742502,16.594303873698095,20
mwu,beta_x_dim,20.0,,,8192.0,,100,0.6502193144089994,0.5171946323146366,1.0343892646292734,0.6798050667794143,0.8507865388579674,5.85,0.027572015708936963,0.0,0.04710243190954604,0.07013971814441869,0.14027943628883738,0.0419563057751604,0.03018583166811387,1.9361858871176818,20
mwu,beta_x_dim,20.0,,,8192.0,,500,0.723867097090138,0.463582614983991,0.927165229967982,0.7471284939542593,0.8151154751269608,41.35,0.027572015708936963,0.0,0.0569055447158603,0.10211943976191674,0.2042388795238335,0.05013432311654988,0.043618369963073424,14.258012521127606,20
mwu,beta_x_dim,20.0,,,16384.0,,100,0.7366267544847369,0.6565756328283671,1.3131512656567341,0.7514197158904927,0.8344936063772588,8.25,0.02099103031817787,0.0,0.05435676949227016,0.0786602310436202,0.15732046208724043,0.05187037140977329,0.02599336707198027,2.0050922015812906,20
mwu,beta_x_dim,20.0,,,16384.0,,500,0.8383122314215914,0.711365937730595,1.4227318754611902,0.8417195540625647,0.6989095290934993,78.65,0.02099103031817787,0.0,0.0561714044922208,0.0961147647660806,0.19222952953216121,0.05298413442450285,0.04337371851748852,16.035039756732754,20
mwu,beta_x_dim,50.0,,,32.0,,100,1.0286785198037325,0.7933387771135645,1.586677554227129,0.8800450982490592,0.6279004275874673,21.5,0.4685909083126097,0.0,0.059598738084037296,0.05874417533298017,0.11748835066596033,0.021779684018351758,0.03785193711157348,3.461441744037941,20
mwu,beta_x_dim,50.0,,,32.0,,500,1.0324077332460768,0.9910076620236448,1.98201532404729,0.9950245936601968,0.5785676322334292,112.75,0.4685909083126097,0.9,0.013057973180796321,0.002843547750229625,0.00568709550045911,0.0015732899694105656,0.034728155907730714,16.457581039879784,20
mwu,beta_x_dim,50.0,,,64.0,,100,0.9257743140585397,0.6932297904612276,1.386459580922455,0.8376129258254306,0.7337306613366996,14.6,0.33225016350453335,0.0,0.041324177572817505,0.0684190128875199,0.1368380257750398,0.02624279492461732,0.04054392311774128,3.1534442323142144,20
mwu,beta_x_dim,50.0,,,64.0,,500,0.9937720334743145,0.7212982868939677,1.4425965737879354,0.89666771986566,0.6874669771289688,81.2,0.33225016350453335,0.15,0.044033788993641014,0.09144729680222267,0.18289459360444535,0.0293752370408944,0.047548074555496776,18.225863635590986,20
mwu,beta_x_dim,50.0,,,128.0,,100,0.9266102760971542,0.6735911838412287,1.3471823676824575,0.8571192448087765,0.6989646964065226,16.8,0.23721008257877202,0.0,0.04270519760460074,0.07745879913045711,0.1549175982609142,0.028672357081563057,0.04077251808026144,3.261901286060018,20
mwu,beta_x_dim,50.0,,,128.0,,500,0.9744083610375418,0.61458139429282,1.2291627885856402,0.8810519592791384,0.6655577319370101,96.6,0.23721008257877202,0.0,0.045713354176207095,0.10408987189979914,0.20817974379959828,0.03181421784056375,0.05038593504727364,17.74533296687507,20
mwu,beta_x_dim,50.0,,,256.0,,100,0.8929576543943988,0.7356396325780199,1.4712792651560398,0.8464629072557702,0.6833206565975344,18.0,0.16269360089398407,0.0,0.03654478547743135,0.06438602505031252,0.12877205010062506,0.02808139868179376,0.03929068186694447,3.246860832120449,20
mwu,beta_x_dim,50.0,,,256.0,,500,0.9648452622588154,0.7390561405401823,1.4781122810803649,0.9065661859245131,0.6372869399736987,99.15,0.16269360089398407,0.0,0.039443478467657965,0.09486636901928647,0.18973273803857293,0.031539127556641955,0.04535241908385225,17.9493842439467,20
mwu,beta_x_dim,50.0,,,512.0,,100,0.8464383491833125,0.6958914817623724,1.3917829635247447,0.8565007089175296,0.7045680112719876,17.0,0.12010095499453581,0.0,0.04033758456135282,0.07568592748279418,0.15137185496558836,0.030809025786710905,0.04090604164326795,3.676382661487268,20
mwu,beta_x_dim,50.0,,,512.0,,500,0.9047292018523005,0.7033102082033968,1.4066204164067937,0.907872853784135,0.6688873650673386,94.3,0.12010095499453581,0.0,0.04422709251988079,0.10256281699608731,0.20512563399217468,0.033953759321068644,0.04915784073574493,18.128067798451745,20
mwu,beta_x_dim,50.0,,,1024.0,,100,0.844835051753235,0.7816044388763329,1.5632088777526658,0.8482343392506871,0.7088895051928925,14.75,0.08310998156126656,0.0,0.035067230061170886,0.056230646385185115,0.11246129277037023,0.030099642071563168,0.03300026343723711,2.8348164333032777,20
mwu,beta_x_dim,50.0,,,1024.0,,500,0.9296398523077871,0.7924791570037597,1.5849583140075196,0.9171680803381534,0.6425619888618073,89.2,0.08310998156126656,0.0,0.03511372461630467,0.08736327318907286,0.17472654637814575,0.03279595380558284,0.0421139581817639,16.88000997754756,20
mwu,beta_x_dim,50.0,,,2048.0,,100,0.7644190776139903,0.6114469952129393,1.2228939904258787,0.7869875434812721,0.8011550238339634,8.45,0.05580562464231035,0.0,0.041748954947910775,0.07048095837566284,0.14096191675132566,0.035535138781024336,0.033981359592834166,2.3186600032187377,20
mwu,beta_x_dim,50.0,,,2048.0,,500,0.8159378035022786,0.5526148104141625,1.1052296208283252,0.8269619830501085,0.7714413868843761,53.3,0.05580562464231035,0.0,0.046726791077428845,0.10593476784635474,0.21186953569270947,0.04004049067916341,0.04808547306165966,14.09462383508803,20
mwu,beta_x_dim,50.0,,,4096.0,,100,0.7871065210377627,0.6804391867184272,1.3608783734368544,0.8094722693068548,0.7660624241574168,10.85,0.04043502467319143,0.0,0.03783129853762428,0.06681175469341522,0.1336235093868304,0.034331121979376815,0.031973744103293476,2.507121435977292,20
mwu,beta_x_dim,50.0,,,4096.0,,500,0.8527848477745825,0.6640997895952981,1.3281995791905963,0.8641310185079085,0.7244506648149596,65.5,0.04043502467319143,0.0,0.042806176149984755,0.09664736391195361,0.19329472782390725,0.037490131179768585,0.04547051913742502,16.61696976619162,20
mwu,beta_x_dim,50.0,,,8192.0,,100,0.6502193548964429,0.5171946323146366,1.0343892646292734,0.6798050931239424,0.8507865388579674,5.9,0.027572015708936963,0.0,0.047102425319915674,0.07013971814441869,0.14027943628883738,0.041956302252199935,0.03018583166811387,1.938393257585424,20
mwu,beta_x_dim,50.0,,,8192.0,,500,0.7238671284538494,0.463582614983991,0.927165229967982,0.7471285096769065,0.8151154751269608,41.4,0.027572015708936963,0.0,0.056905537041288215,0.10211943976191674,0.2042388795238335,0.050134319071855685,0.043618369963073424,14.254159134497515,20
mwu,beta_x_dim,50.0,,,16384.0,,100,0.7366267746429769,0.6565756326729818,1.3131512653459638,0.7514197387943423,0.8344936063772588,8.15,0.02099103031817787,0.0,0.05435676566048974,0.07866023102288315,0.1573204620457663,0.05187036496203094,0.02599336707198027,2.0082396061699095,20
mwu,beta_x_dim,50.0,,,16384.0,,500,0.8383122386671087,0.711365937730595,1.4227318754611902,0.8417195698694337,0.6989095290934993,78.55,0.02099103031817787,0.0,0.05617140165982117,0.0961147647660806,0.19222952953216121,0.052984127754472636,0.04337371851748852,16.05934307498286,20
mwu,beta_x_dim,100.0,,,32.0,,100,1.0286785198037325,0.7933387771135645,1.586677554227129,0.8800450982490592,0.6279004275874673,21.45,0.4685909083126097,0.0,0.059598738084037296,0.05874417533298017,0.11748835066596033,0.021779684018351758,0.03785193711157348,3.446947543613197,20
