block,condition,agent,n_mdps,final_cumreward_mean,final_cumreward_sd,final_cumreward_sem,opt_frac_mean,opt_frac_sd,opt_frac_sem,gap_regret_mean,gap_regret_sd,gap_regret_sem,pre_rate_mean,pre_rate_sd,pre_rate_sem,pre_pct_opt_mean,pre_pct_opt_sd,pre_pct_opt_sem,post_rate_mean,post_rate_sd,post_rate_sem,post_pct_opt_mean,post_pct_opt_sd,post_pct_opt_sem,end_rate_mean,end_rate_sd,end_rate_sem,end_pct_opt_mean,end_pct_opt_sd,end_pct_opt_sem,model
nonstationary,action_permute,tf_legacy,50,78.48851013183594,8.79208109141205,1.2433880320958965,0.28119999999999995,0.12644585120905255,0.017882143768565253,33.81788204193115,9.353303522579116,1.322756869462343,0.5356517899036407,0.10637321131208705,0.015043443811073262,71.97799743652344,15.005244906680263,2.1220620853757035,0.5182457542419434,0.09666313867140701,0.013670232169065499,69.39927936553956,14.592634459951451,2.063710156401633,0.508381085395813,0.08860003953686527,0.012529937753982728,68.43244651794434,13.31475150553691,1.8829902158757883,residual
nonstationary,action_permute,tf_self,50,79.3203899383545,9.767404514128325,1.3813195933064468,0.29373333333333335,0.10778672146541539,0.015243344334012164,33.067954292297365,8.795551193634745,1.2438787786585122,0.5351164966821671,0.09660142908903477,0.01366150511623358,71.80855239868164,13.015554530746257,1.840677373918794,0.5267730182409287,0.11108089837018946,0.015709211299570935,70.56748050689697,16.27121822262746,2.3010977486772,0.5363893735408783,0.10429876788329955,0.01475007320793656,71.9495581817627,13.784387854685221,1.949406825310681,residual
nonstationary,action_permute,optimal,50,112.1449819946289,6.673476860468286,0.9437721484257272,1.0,0.0,0.0,0.0,0.0,0.0,0.7476444089412689,0.05865873886789663,0.008295598405868122,100.00000091552734,3.3202135820067952e-06,4.695491077649364e-07,0.7521168255805969,0.05727986972186899,0.008100596861163113,99.99999938964844,4.315837287515549e-06,6.103515625e-07,0.747207053899765,0.05633074385952495,0.007966370194470511,99.99999984741211,3.6115464402947327e-06,5.107497957005085e-07,residual
nonstationary,action_permute,epsgreedy,50,77.51251129150391,9.064594542617495,1.2819272539582804,0.27826666666666666,0.10966706986671947,0.015509265755123243,34.79263998985291,9.307965159424484,1.316345056655435,0.5419934266805648,0.0954276814565218,0.013495512134163265,73.08197456359864,14.913443580665893,2.1090794173463676,0.5068604201078415,0.11249453175624069,0.015909129250248642,67.40072078704834,14.001434656944596,1.980101878453173,0.5000058451294899,0.10534919672584053,0.014898626279479493,67.01268089294433,14.153816803252674,2.0016519682504135,residual
nonstationary,action_permute,greedy,50,75.75514266967774,9.870919266790352,1.3959587900184802,0.28026666666666666,0.11761777520036629,0.01663366528645079,36.33972096443176,10.067689635249856,1.4237863223933385,0.5173769921064377,0.08938062720165618,0.012640329520199575,69.66916961669922,13.331920943712305,1.8854183411083854,0.4955061745643616,0.1100373137650388,0.015561626149362151,66.23044357299804,15.35737355877999,2.1718605969256624,0.49293245702981947,0.11699048258075175,0.016544952713427243,66.17564052581787,16.242475336730116,2.2970328907714235,residual
nonstationary,action_permute,random,50,76.54237808227539,5.753691380488402,0.8136948383995873,0.26066666666666666,0.04005098791107483,0.0056640650290282896,36.14172002792358,6.3566911256949865,0.8989718801774547,0.5064195680618286,0.06932778970225466,0.009804430044627834,67.95104484558105,9.576246078720022,1.3542857081148023,0.5036549353599549,0.08463593605455766,0.011969328863249746,67.3134415435791,12.187876456340437,1.7236260181084382,0.5199025517702103,0.08027930561599886,0.011353208278004016,69.83912414550781,11.054543752446882,1.5633485700557146,residual
nonstationary,action_permute,optimal_frozen,50,86.22724349975586,12.092571797807917,1.7101479040430356,0.48013333333333336,0.15854491412820018,0.02242163678053784,26.060476388931274,11.87337369786706,1.6791486114647582,0.7476444089412689,0.05865873886789663,0.008295598405868122,100.00000091552734,3.3202135820067952e-06,4.695491077649364e-07,0.4866532415151596,0.11914712156089025,0.01684994752291268,65.07921131134033,16.8780370302783,2.3869148874454886,0.48133795589208606,0.13118257037909858,0.018552017017708426,64.72379684448242,18.439704888990303,2.607768074016755,residual
nonstationary,reward_resample,tf_legacy,50,75.78158905029296,10.362656465057169,1.4655009315097083,0.2648,0.14359201463405502,0.020306977454395653,34.60630706787109,9.903013012089607,1.4004975310054357,0.5356517899036407,0.10637321131208705,0.015043443811073262,71.97799743652344,15.005244906680263,2.1220620853757035,0.4814638635516167,0.09875907246988133,0.013966641969429353,66.30025657653809,14.454047704306321,2.04411102946177,0.49645647287368777,0.11001744584331305,0.01555881640092608,68.92524925231933,14.692817857528587,2.077878228359453,residual
nonstationary,reward_resample,tf_self,50,74.52317123413086,10.264194978321203,1.451576374518366,0.23973333333333333,0.1363732373449629,0.019286088179797156,36.29791205406189,10.18236078076199,1.4400032713129503,0.5351164966821671,0.09660142908903477,0.01366150511623358,71.80855239868164,13.015554530746257,1.840677373918794,0.4837135401368141,0.09815035006020956,0.013880555620681528,66.81914848327636,15.361035209089804,2.1723784324785433,0.48670349538326263,0.09224091990891792,0.013044835994096214,67.99441871643066,14.455924694292332,2.044376475931235,residual
nonstationary,reward_resample,optimal,50,110.49433898925781,5.380017601454161,0.7608493857782442,1.0,0.0,0.0,0.0,0.0,0.0,0.7476444089412689,0.05865873886789663,0.008295598405868122,100.00000091552734,3.3202135820067952e-06,4.695491077649364e-07,0.7297138559818268,0.052635642789748825,0.00744380398974884,99.99999954223632,3.5851362399288784e-06,5.070148293462702e-07,0.7207517898082734,0.05854781819328707,0.00827991185363008,99.99999938964844,4.315837287515549e-06,6.103515625e-07,residual
