block,condition,agent,n_mdps,return_mean,return_sd,return_sem,pct_opt_mean,pct_opt_sd,pct_opt_sem,opt_frac_mean,opt_frac_sd,opt_frac_sem,gap_regret_mean,gap_regret_sd,gap_regret_sem,return_regret_mean,return_regret_sd,return_regret_sem,model
reward_intervention,eval/intact,tf_legacy,50,104.85278923034667,15.421900831294083,2.1809861313189,70.28962234497071,11.018628070774898,1.5582693256434752,0.29340000000000005,0.1697760830251038,0.024009963918068238,44.85416396141052,16.940482752451775,2.39574604616648,44.76740768432617,17.226623252799698,2.4362124238001055,residual
reward_intervention,eval/intact,tf_self,50,103.51476104736328,15.916972011550051,2.2509997690647046,69.30580322265625,10.723054786469689,1.5164689509095166,0.266,0.16861077022757087,0.023845163801800438,46.39266122817993,15.64090072273436,2.2119573929822076,46.10543594360352,16.456880478083423,2.32735435664586,residual
reward_intervention,eval/intact,optimal,50,149.6201969909668,8.886187324991761,1.256696663279124,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,residual
reward_intervention,eval/intact,epsgreedy,50,108.83085906982421,11.984783857869132,1.6949043873908671,72.9236085510254,8.333136769025344,1.1784835035865555,0.30749999999999994,0.1490351622666166,0.02107675477479241,40.876470708847044,13.379476750506505,1.8921437478021805,40.789337921142575,13.780116336768337,1.9488027414536835,residual
reward_intervention,eval/intact,greedy,50,103.92619018554687,14.132421149509641,1.99862616588049,69.70511650085449,10.121381155564151,1.431379450014629,0.2895,0.15639839891659207,0.02211807368812821,45.96984545707703,16.223648584420584,2.2943703859262654,45.694006805419924,16.668104812960106,2.357225988554444,residual
reward_intervention,eval/intact,random,50,102.15942611694337,7.83867344067104,1.1085558290810757,68.38464462280274,4.965499518937769,0.7022276763638872,0.25439999999999996,0.028529254588000347,0.004034645876274494,48.21178328514099,8.066449432768199,1.1407682188017545,47.46077087402344,8.678755559580711,1.227361381687994,residual
reward_intervention,eval/zeroed,tf_legacy,50,101.63530143737793,17.16676433649602,2.4277470946735438,68.12648582458496,12.183776851649386,1.723046246452993,0.2689,0.16301774662375174,0.023054190818281053,47.97337235450745,18.92196483228394,2.6759699292562695,47.984895629882814,18.662336764294817,2.6392529757639753,residual
reward_intervention,eval/zeroed,tf_self,50,102.01086669921875,15.72104000923663,2.223290799567249,68.31673553466797,10.856429094800182,1.5353309264808281,0.24170000000000003,0.14246950980644876,0.02014823129929265,47.87287261962891,16.416434011454097,2.321634362480134,47.609330291748044,16.352081149006516,2.3125334933950437,residual
reward_intervention,eval/zeroed,optimal,50,149.6201969909668,8.886187324991761,1.256696663279124,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,residual
reward_intervention,eval/zeroed,epsgreedy,50,101.6346891784668,8.561881735204663,1.2108329269360922,68.01704177856445,5.30882413151495,0.7507811087042009,0.2501,0.035420073865720006,0.005009154884115805,48.17024428367615,8.867929298968654,1.2541145884767204,47.9855078125,8.9144283640217,1.2606905493202891,residual
reward_intervention,eval/zeroed,greedy,50,101.6346891784668,8.561881735204663,1.2108329269360922,68.01704177856445,5.30882413151495,0.7507811087042009,0.2501,0.035420073865720006,0.005009154884115805,48.17024428367615,8.867929298968654,1.2541145884767204,47.9855078125,8.9144283640217,1.2606905493202891,residual
reward_intervention,eval/zeroed,random,50,102.15942611694337,7.83867344067104,1.1085558290810757,68.38464462280274,4.965499518937769,0.7022276763638872,0.25439999999999996,0.028529254588000347,0.004034645876274494,48.21178328514099,8.066449432768199,1.1407682188017545,47.46077087402344,8.678755559580711,1.227361381687994,residual
reward_intervention,eval/constant,tf_legacy,50,101.85506912231445,14.934421839981395,2.112046191230264,68.2967268371582,10.770939701682547,1.5232409005622276,0.2615,0.15401845237980216,0.02178149842112309,47.80691963195801,16.36440548171832,2.3142764172418673,47.76512786865234,17.03302058159342,2.408832871466948,residual
reward_intervention,eval/constant,tf_self,50,103.68834487915039,15.499691057125547,2.191987330557992,69.44546676635743,10.551212325646807,1.492166757040788,0.2718,0.16261812033480305,0.022997675126509846,46.29374650001526,15.650472355411216,2.2133110262567737,45.931852111816404,16.451683926911482,2.3266194533313675,residual
reward_intervention,eval/constant,optimal,50,149.6201969909668,8.886187324991761,1.256696663279124,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,residual
reward_intervention,eval/constant,epsgreedy,50,101.52490020751954,13.747668002696754,1.9442138540416387,68.09529098510743,9.955676798159928,1.4079453150560919,0.25129999999999997,0.13360698533614268,0.018894881069015622,48.486448783874515,15.596742497523115,2.2057124768838006,48.09529678344727,16.28017348280138,2.3023642137164537,residual
reward_intervention,eval/constant,greedy,50,103.92619018554687,14.132421149509641,1.99862616588049,69.70511650085449,10.121381155564151,1.431379450014629,0.2895,0.15639839891659207,0.02211807368812821,45.96984545707703,16.223648584420584,2.2943703859262654,45.694006805419924,16.668104812960106,2.357225988554444,residual
reward_intervention,eval/constant,random,50,102.15942611694337,7.83867344067104,1.1085558290810757,68.38464462280274,4.965499518937769,0.7022276763638872,0.25439999999999996,0.028529254588000347,0.004034645876274494,48.21178328514099,8.066449432768199,1.1407682188017545,47.46077087402344,8.678755559580711,1.227361381687994,residual
reward_intervention,eval/decorrelated,tf_legacy,50,102.85251045227051,16.132528256645386,2.2814840255915088,68.95943801879883,11.497666202997856,1.6260155479918335,0.2788,0.1654417710006658,0.023396999633216536,46.690702486038205,17.393745697754046,2.4598471066232444,46.767686462402345,17.989911997584446,2.5441577532882382,residual
reward_intervention,eval/decorrelated,tf_self,50,100.27087890625,17.340633543915583,2.4523359137947245,67.17550216674805,11.80946646313499,1.670110763655573,0.2662,0.169989675556836,0.024040170463587966,49.58952341079712,17.449638945208218,2.467751605482721,49.3493180847168,18.436351866461845,2.6072938850232865,residual
reward_intervention,eval/decorrelated,optimal,50,149.6201969909668,8.886187324991761,1.256696663279124,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,residual
reward_intervention,eval/decorrelated,epsgreedy,50,101.13131362915038,14.144657525475774,2.00035665076505,67.7312060546875,9.514541001819861,1.345559292452854,0.24380000000000002,0.1402278030017367,0.019831206082683864,48.74618412971497,14.623631899301685,2.0680938563144267,48.488883361816406,15.266636520353066,2.15902844189037,residual
reward_intervention,eval/decorrelated,greedy,50,103.92619018554687,14.132421149509641,1.99862616588049,69.70511650085449,10.121381155564151,1.431379450014629,0.2895,0.15639839891659207,0.02211807368812821,45.96984545707703,16.223648584420584,2.2943703859262654,45.694006805419924,16.668104812960106,2.357225988554444,residual
reward_intervention,eval/decorrelated,random,50,102.15942611694337,7.83867344067104,1.1085558290810757,68.38464462280274,4.965499518937769,0.7022276763638872,0.25439999999999996,0.028529254588000347,0.004034645876274494,48.21178328514099,8.066449432768199,1.1407682188017545,47.46077087402344,8.678755559580711,1.227361381687994,residual
reward_intervention,eval/inverted,tf_legacy,50,99.5778173828125,16.1774913965828,2.2878427738221454,66.76336990356445,11.621662249942169,1.6435512371187633,0.2341,0.16115555294465642,0.022790836862606845,50.031345415115354,17.877693343781164,2.528287639072253,50.0423796081543,17.995757866533246,2.544984484003363,residual
reward_intervention,eval/inverted,tf_self,50,102.66746826171875,15.951748827908704,2.255917953599761,68.7719847869873,10.95224245226347,1.5488809814389364,0.25549999999999995,0.15942578722607287,0.022546211048711958,47.26088445663452,16.292738515361815,2.3041411776623164,46.952728729248044,17.033414652841724,2.408888601557337,residual
reward_intervention,eval/inverted,optimal,50,149.6201969909668,8.886187324991761,1.256696663279124,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,residual
reward_intervention,eval/inverted,epsgreedy,50,96.54546966552735,12.99281664905615,1.8374617518522158,64.73116355895996,9.320473343519586,1.3181139810142306,0.20979999999999996,0.11906078022487128,0.016837737014073536,53.496195573806766,14.933632402174142,2.111934547864897,53.074727325439454,15.308685770537338,2.1649751038801917,residual
