layer,head,query_token,BOS,ctx_0,ctx_1,ctx_2,ctx_3,QCUR,S1,A2,R,QNXT,S3,A0,S3,A1,S3,A2,S3,A3,SEL,A2,UPD
1,0,SELECT,0.0006737029762007296,1.4313796725673456e-07,5.876982413610676e-06,2.3013124064164003e-06,5.985233292449266e-05,0.0003819596313405782,0.8964812159538269,0.0005020262324251235,0.0004455669841263443,0.0005367424455471337,0.024340985342860222,0.00023738160962238908,0.027714330703020096,0.0007302411831915379,0.0023128779139369726,0.00011235206329729408,0.0434044674038887,0.0019498704932630062,0.00010819113958859816,0.0,0.0
1,0,UPDATE,0.00024393557396251708,0.8895922899246216,0.015990549698472023,0.02843763306736946,0.016541695222258568,0.0012499068398028612,2.272494867838759e-07,0.002096721436828375,0.00010356905113440007,0.00013497249165084213,6.998031039984198e-06,0.0007157542859204113,7.502810149162542e-06,3.0495451937895268e-05,1.670187702984549e-05,0.008684496395289898,4.7443423682125285e-05,0.0006764018908143044,5.18709966854658e-05,0.03491118550300598,0.0004595956124830991
1,1,SELECT,1.6943158698268235e-05,1.6848749062603474e-09,1.3775260931936373e-08,3.4340372212504633e-10,1.4547431703704206e-07,2.7107591449748725e-05,0.048645295202732086,5.584674727288075e-05,3.3939327295229305e-06,9.95792834146414e-06,0.39955711364746094,4.0619438550493214e-06,0.30262836813926697,3.150455449940637e-05,0.029618382453918457,6.814936114096781e-06,0.21937479078769684,1.765895649441518e-05,2.585599986559828e-06,0.0,0.0
1,1,UPDATE,8.583834278397262e-05,0.0032498296350240707,0.04000186547636986,0.9252069592475891,0.007247613277286291,9.515276178717613e-05,1.5129268149394193e-06,3.859385833493434e-05,0.0009546939400024712,5.016594514017925e-05,8.674161477983944e-08,0.00044938645442016423,1.0998870436651487e-07,0.016054518520832062,1.038882714965439e-06,4.466181053430773e-05,2.0901708921883255e-05,0.00021642680803779513,0.00010342247696826234,0.005060918629169464,0.0011163935996592045
1,2,SELECT,5.020818207412958e-06,2.525296736166638e-07,1.4993997865531128e-07,2.3125404879920097e-07,0.00012975180288776755,1.0934373676718678e-05,0.9994804263114929,3.5324708733242005e-05,3.528479197711931e-08,4.176408765488304e-06,7.569776789750904e-05,3.4526672152424e-06,9.126584336627275e-05,2.603390612421208e-06,9.330717875855044e-05,7.447483767464291e-06,5.7104480220004916e-05,2.574429800006328e-06,3.32066150576793e-07,0.0,0.0
1,2,UPDATE,0.0006775592919439077,0.03582422807812691,0.7234557271003723,0.05452181026339531,9.239752398571e-05,0.0011635287664830685,9.069394479865878e-08,0.00010354922414990142,0.08813165873289108,0.0013213660567998886,0.00011620822624536231,0.0028143611270934343,0.0004194416105747223,0.0027735349722206593,5.9409016103018075e-05,0.000615087163168937,0.001458509243093431,0.0677257627248764,0.014195505529642105,0.000542253430467099,0.003987956792116165
1,3,SELECT,0.0003584455116651952,3.887402272084728e-06,8.212296052079182e-06,2.0396988986703946e-07,0.00018323436961509287,0.0003487945068627596,0.20449502766132355,0.0013160924427211285,7.791995449224487e-05,0.00021936434495728463,0.3980582654476166,0.0002784456009976566,0.1492937058210373,0.00017500728426966816,0.04333050921559334,0.0005454333731904626,0.20078879594802856,0.00039272906724363565,0.00012588020763359964,0.0,0.0
1,3,UPDATE,0.0005899128154851496,0.0033147966023534536,0.00623336574062705,0.0905432254076004,0.19155922532081604,0.00010914396989392117,3.505474069243064e-06,0.0007482917862944305,0.00016468825924675912,5.546317697735503e-05,3.008971361850854e-05,0.00027169534587301314,1.0781373021018226e-05,0.01730654574930668,5.170274380361661e-05,0.00047297647688537836,0.018889356404542923,0.00019587788847275078,5.67793404115946e-06,0.6690028309822083,0.00044076121412217617
1,4,SELECT,6.38261826679809e-06,1.2795403563359287e-06,5.69344683754025e-06,9.824288099480327e-06,5.464085188577883e-05,3.440507498453371e-05,0.0007459696498699486,8.887137664714828e-05,1.8940509960430063e-07,5.188133945921436e-05,0.43675851821899414,4.887454451818485e-06,0.19538229703903198,6.861025758553296e-05,0.04224831983447075,1.3530713658838067e-05,0.32449525594711304,2.737863178481348e-05,2.094122692142264e-06,0.0,0.0
1,4,UPDATE,0.016697777435183525,0.18650589883327484,0.160612091422081,0.0881441980600357,0.028317799791693687,0.00418630987405777,0.0009129708632826805,0.012797622010111809,0.0762149915099144,0.0018418165855109692,2.6865300242207013e-05,0.10540814697742462,9.886694169836119e-05,0.008296113461256027,0.00029637166881002486,0.019685840234160423,9.253041935153306e-05,0.11076024919748306,0.009750142693519592,0.08175494521856308,0.08759846538305283
1,5,SELECT,0.0005770334391854703,3.914242552127689e-05,0.00018537305004429072,3.3118896681116894e-05,3.1420346203958616e-05,0.02739872597157955,0.2814464867115021,0.6344857215881348,0.0016258896794170141,0.0008446571882814169,0.001520890393294394,0.006429267581552267,0.0022237966768443584,0.012546999379992485,0.0008232942782342434,0.01764899119734764,0.0006269091391004622,0.0036061203572899103,0.007906210608780384,0.0,0.0
1,5,UPDATE,0.0017163651064038277,0.00036456534871831536,4.94411688123364e-05,0.002026004483923316,0.008528337813913822,0.005850441753864288,2.700299592106603e-05,0.0011799426283687353,0.003611509222537279,0.00020454678451642394,0.00010754052345873788,0.0014750513946637511,8.650193194625899e-05,0.005403028801083565,0.00011848595750052482,0.000615104625467211,0.018463386222720146,0.00025322340661659837,4.750585867441259e-05,0.9493696093559265,0.0005022171535529196
1,6,SELECT,6.305443093879148e-06,5.28393551135764e-09,3.371209800206998e-08,8.136738505193364e-10,5.429241056731371e-09,6.057588689145632e-05,0.008179297670722008,0.9914016127586365,3.183852903543283e-10,5.735419250640916e-08,7.39466577215353e-06,1.4886992175888736e-05,6.126343123469269e-06,0.00012260727817192674,0.00011698041635099798,8.322761277668178e-05,6.344234293464979e-08,1.7632773108289257e-07,6.275917598941305e-07,0.0,0.0
1,6,UPDATE,0.000884013541508466,0.002179184462875128,0.0007074044551700354,0.02188553474843502,0.03394165262579918,0.015188098885118961,8.116458775475621e-05,0.0011535973753780127,0.0025047885719686747,0.0009784768335521221,0.0003853720845654607,0.0019785468466579914,0.0002473486529197544,0.028355494141578674,0.000328332040226087,0.0010721555445343256,0.1298551708459854,0.0009518555016256869,6.45282634650357e-05,0.7538832426071167,0.0033739320933818817
1,7,SELECT,0.0008406587294302881,3.5536302220862126e-06,1.7672981584837544e-06,1.8138686641577806e-07,1.2062764653819613e-05,0.024992117658257484,0.03054167702794075,0.6980092525482178,0.0004073923628311604,6.218840280780569e-05,0.09260258823633194,0.0015114342095330358,0.0929051861166954,0.0012672763550654054,0.04774676263332367,0.0013071837602183223,0.004103650338947773,0.0001785957720130682,0.0035065251868218184,0.0,0.0
1,7,UPDATE,9.179506741929799e-05,0.0009591017151251435,0.0004827051016036421,0.006916697137057781,0.013036985881626606,0.00013863986532669514,7.976157576194964e-06,0.00040853838436305523,7.66469820518978e-05,4.068307680427097e-05,2.6075013010995463e-05,5.4170668590813875e-05,1.927221819642e-05,0.015814151614904404,6.727140862494707e-05,0.00029368375544436276,0.00945034809410572,0.00013263369328342378,2.2889282718097093e-06,0.9518943428993225,8.608280040789396e-05
2,0,SELECT,0.00046332943020388484,0.004479231312870979,0.03271877393126488,0.07946805655956268,0.03522982820868492,0.034412480890750885,0.03308773413300514,0.11824879050254822,0.0001130259406636469,0.1678376942873001,0.0491827167570591,0.013630478642880917,0.000908614369109273,0.17289085686206818,0.12775473296642303,0.09016335755586624,0.034194834530353546,0.004684814251959324,0.0005306745879352093,0.0,0.0
2,0,UPDATE,0.21794165670871735,0.00477215088903904,0.002565069356933236,0.004467451013624668,0.0074713462963700294,0.003948012366890907,0.00275191362015903,0.005706444848328829,0.33943286538124084,0.00866776891052723,0.002220438327640295,0.0041451179422438145,0.08236829936504364,0.006614214740693569,0.016342194750905037,0.00622900715097785,0.006660450249910355,0.1139940544962883,0.12925094366073608,0.027051372453570366,0.0073991939425468445
2,1,SELECT,2.4644002678542165e-06,1.2868963672474365e-09,3.1116099280525944e-11,4.356963574647654e-12,5.7022902025249955e-12,1.0518769015532836e-11,8.708315318850524e-12,2.8486375584779733e-12,0.00018016702961176634,4.4253367788814335e-13,2.7318719508784284e-10,2.5896337851882834e-10,0.9816263914108276,8.98147008154826e-13,3.4118302801033895e-13,8.520832650571464e-11,1.2862024813264927e-12,3.2660433385567345e-11,0.018190959468483925,0.0,0.0
2,1,UPDATE,0.007042479235678911,3.4382283047307283e-06,1.2092260703866486e-07,3.602292792947992e-07,6.179424758556706e-07,1.9777110082941363e-07,5.57640582599106e-08,1.6917694267704064e-07,0.3924280107021332,2.0796521482679964e-07,6.223734771992895e-07,1.1962654298258713e-06,0.3688102662563324,4.5760419453699797e-08,4.1983733467532147e-07,1.8764974640816945e-07,2.5119962288044917e-07,2.455428329994902e-05,0.23168589174747467,4.7750853582329e-07,3.6143745774097624e-07
2,2,SELECT,0.04901812970638275,0.04312180355191231,0.19289523363113403,0.025842443108558655,0.06397698074579239,0.018559753894805908,0.06704682111740112,0.09748484194278717,1.590408464835491e-05,0.005111638456583023,0.22121737897396088,0.010587938129901886,0.006206894759088755,0.009191718883812428,0.012115207500755787,0.1560579538345337,0.019311554729938507,0.0011814710451290011,0.0010563804535195231,0.0,0.0
2,2,UPDATE,0.02896793931722641,0.01556633971631527,0.008798206225037575,0.004150693770498037,0.004698419012129307,0.003595378715544939,0.004965483210980892,0.004194357898086309,0.003549914574250579,0.0011956535745412111,0.03529249504208565,0.007506667170673609,0.7477152347564697,0.0011368662817403674,0.0013080352218821645,0.009697891771793365,0.002325112000107765,0.0009629604173824191,0.10961154848337173,0.0011558678233996034,0.003605023492127657
2,3,SELECT,5.404701823863434e-07,0.005208448972553015,0.00184742477722466,0.12095284461975098,0.06464526802301407,0.2141585350036621,0.09128449857234955,0.006132330745458603,7.877784535814669e-11,0.2218671590089798,0.0015783064300194383,0.0008522456628270447,2.6372106720629063e-09,0.050031181424856186,0.08617697656154633,0.001259557786397636,0.128907710313797,0.005096974316984415,5.010998213594853e-11,0.0,0.0
2,3,UPDATE,9.205389339683734e-09,2.4745650080149062e-05,0.008960064500570297,0.004629185423254967,0.0026305413339287043,0.002815457060933113,0.014831429347395897,0.06622138619422913,6.423003462430188e-09,0.14092041552066803,0.0015139919705688953,0.001988228876143694,4.880112698495143e-13,0.400595098733902,0.09574324637651443,0.008320788852870464,0.03484533727169037,0.0006071824464015663,5.66534562318477e-11,0.1843385100364685,0.03101440891623497
