layer,head,query_token,ctx_0,ctx_1,ctx_2,ctx_3,S1,A2,R,S3,S3,A0,EVAL,S3,A1,EVAL,S3,A2,EVAL,S3,A3,EVAL,SEL,QCUR,QNXT,UPD
1,0,SELECT,2.4137671061907895e-06,3.1901785746413225e-07,4.766618530993583e-06,3.249567453167401e-05,4.013424259596832e-08,3.419596396270208e-05,8.081318810582161e-06,0.1600765436887741,0.1755223572254181,3.7454351513588335e-06,4.2614765334292315e-06,0.20291921496391296,5.732552381232381e-06,6.1296009334910195e-06,0.2234586477279663,1.5073518625285942e-05,1.4461445061897393e-05,0.2378489226102829,4.208163318253355e-06,1.3651962945004925e-05,2.4671309802215546e-05,0.0,0.0,0.0
1,0,UPDATE,4.0694714698474854e-05,4.220960909151472e-05,3.046472556889057e-05,0.00011881555838044733,6.985579238971695e-05,0.00014821071818005294,0.9691268801689148,0.00023286994837690145,0.00030779140070080757,0.00699662696570158,0.0004654699587263167,0.0003002115699928254,0.00019116088515147567,0.0005785118555650115,0.00035170852788724005,0.00030137624708004296,0.00034378765849396586,0.0002525976742617786,0.011709571816027164,0.0009676227928139269,0.00011093580542365089,0.005965346470475197,0.0012221125653013587,0.00012520578457042575
1,1,SELECT,4.881528958833314e-09,1.4851008200977844e-09,6.841152089265279e-09,1.6778642475401284e-07,2.3513010205533647e-07,1.8438321702785032e-10,1.6722417894854402e-10,0.24480323493480682,0.19995546340942383,1.5470199565825737e-09,1.7703415267078526e-07,0.18983978033065796,1.6470863561934834e-09,1.9325601385844493e-07,0.17470106482505798,4.597189573463112e-10,2.1205376299349155e-07,0.19069914519786835,4.576603629402598e-08,2.540862169553293e-07,1.3643917107231118e-09,0.0,0.0,0.0
1,1,UPDATE,0.019372954964637756,0.008721605874598026,0.015421968884766102,0.0027357295621186495,0.009245102293789387,0.6292744874954224,0.10748014599084854,3.3002295367623447e-06,3.7613676795444917e-06,0.02730768918991089,0.013390328735113144,3.6457606711337576e-06,0.018647339195013046,0.015695566311478615,4.349643859313801e-06,0.07393676042556763,0.008321325294673443,4.567081759887515e-06,0.014308852143585682,0.011621678248047829,0.012397252023220062,0.005147880408912897,0.003755581332370639,0.003198091173544526
1,2,SELECT,0.006108658853918314,0.004666061606258154,0.01562660187482834,0.011813363060355186,0.0002518307010177523,0.0011003273539245129,0.00015544015332125127,0.19341224431991577,0.187491312623024,0.002626692643389106,0.0009784330613911152,0.18822991847991943,0.0040556155145168304,0.001926914439536631,0.1861877739429474,0.0030049120541661978,0.002102601807564497,0.1838192194700241,0.0018581533804535866,0.0014138031983748078,0.003170079318806529,0.0,0.0,0.0
1,2,UPDATE,1.810116714295873e-07,0.00038698644493706524,1.6176045392057858e-07,1.4952802303014323e-06,1.1099909897893667e-05,0.9995447993278503,2.871725428121863e-06,1.0487071904208278e-06,9.69539541983977e-07,3.7359643556555966e-06,8.626171620562673e-06,8.776870572546613e-07,6.553463549607841e-08,1.3492346624843776e-05,8.92556784037879e-07,7.625830676261103e-06,4.087854904355481e-06,5.745712883253873e-07,2.1578409814537736e-06,2.1730547814513557e-06,3.1761130685481476e-06,9.719076388137182e-07,4.356292606644274e-07,1.5426263644258142e-06
1,3,SELECT,0.0003927247889805585,0.0005031278124079108,0.0010730900103226304,0.0011026756837964058,0.003561135148629546,0.0028626746498048306,0.020463434979319572,0.14259201288223267,0.14973270893096924,0.0046442728489637375,0.019184643402695656,0.1628410965204239,0.04854578524827957,0.048153333365917206,0.0928826704621315,0.015539679676294327,0.06933999806642532,0.10136660188436508,0.01026153564453125,0.06055799126625061,0.04439884424209595,0.0,0.0,0.0
1,3,UPDATE,0.024897688999772072,0.05884059891104698,0.006050312425941229,0.0009079325245693326,0.0036946104373782873,0.01063049491494894,0.013259632512927055,0.03840448707342148,0.045941319316625595,0.0008421029197052121,0.02094017155468464,0.093697689473629,0.039816975593566895,0.03632786124944687,0.05994410440325737,0.02004372328519821,0.07700566947460175,0.0746648907661438,0.021235927939414978,0.05860258638858795,0.04509832337498665,0.0936068743467331,0.11106202751398087,0.04448402673006058
1,4,SELECT,0.009438899345695972,0.006356716621667147,0.0038754427805542946,0.015250788070261478,0.0374428853392601,0.0027477028779685497,0.0006599324406124651,0.20344001054763794,0.17401568591594696,0.002849358832463622,0.0007903326186351478,0.16691875457763672,0.00524860480800271,0.0020689975935965776,0.16559220850467682,0.0035947102587670088,0.002923708176240325,0.18577177822589874,0.007636683061718941,0.0013729686615988612,0.0020038015209138393,0.0,0.0,0.0
1,4,UPDATE,0.0630764439702034,0.06752081960439682,0.08310027420520782,0.01308873575180769,0.0033397958613932133,0.1561686247587204,0.2590586543083191,0.0035128199961036444,0.0028144048992544413,0.02386917918920517,0.019850824028253555,0.0038680103607475758,0.023112071678042412,0.013569002971053123,0.004704735707491636,0.02416309155523777,0.025901392102241516,0.004380782134830952,0.05146660655736923,0.04686092957854271,0.018742332234978676,0.03273065760731697,0.03500635176897049,0.020093390718102455
1,5,SELECT,4.23185065301368e-06,5.193619472265709e-07,8.635884114482906e-07,1.3077407174932887e-06,0.006266745273023844,1.4262472802784032e-07,2.5838355668383883e-06,0.20204651355743408,0.19010911881923676,5.142058512319636e-07,2.092484692184371e-07,0.21122480928897858,4.882500661551603e-07,2.8027548637510336e-07,0.21002502739429474,2.561402538958646e-07,2.7659021384351945e-07,0.18031108379364014,3.7497479752346408e-06,2.92240599719662e-07,9.901769999487442e-07,0.0,0.0,0.0
1,5,UPDATE,0.009986183606088161,0.012152181938290596,0.006347538437694311,0.0014644981129094958,0.017720552161335945,0.007530808914452791,0.23122622072696686,8.409772999584675e-05,9.833032527239993e-05,0.003544874954968691,0.07548838108778,0.00010513770394027233,0.01582237333059311,0.15059545636177063,9.869909263215959e-05,0.023746710270643234,0.0783630982041359,0.00011356415052432567,0.11575433611869812,0.1989993453025818,0.025664454326033592,0.0022213554475456476,0.0014395200414583087,0.021432219073176384
1,6,SELECT,1.3797771316603757e-06,2.6722101864606884e-08,6.452890829677926e-06,2.2083622752688825e-06,0.9821330904960632,5.497211077454267e-07,7.624126219241134e-09,0.003158875973895192,0.003081885166466236,3.4326191666878e-08,1.1769420105167683e-08,0.0037428836803883314,4.339907988537561e-08,6.413613107270066e-08,0.004104796797037125,3.428536032856755e-08,5.2702834096862716e-08,0.003766902955248952,5.698668132936291e-07,5.20528757874672e-08,1.3609263760372414e-07,0.0,0.0,0.0
1,6,UPDATE,0.0007109201396815479,0.0004853027348872274,0.000536518928129226,0.0001449885021429509,4.3457734477669874e-07,0.6680582761764526,0.11262769997119904,1.5463573390661622e-06,1.6084201206467696e-06,0.026583662256598473,0.03910268098115921,8.467546877000132e-07,0.014187012799084187,0.0438615158200264,1.3422305755739217e-06,0.015174680389463902,0.01665402017533779,1.20309653084405e-06,0.012865251861512661,0.04736630246043205,0.0005264598876237869,0.00048180605517700315,0.00021591194672510028,0.00040997902397066355
1,7,SELECT,1.1330031135514673e-08,6.667575291885441e-08,3.694713086588308e-07,6.053047627574415e-07,3.074833790361886e-11,1.115038159582582e-07,1.7091406334657222e-07,0.2172391265630722,0.20356294512748718,7.955636505130315e-08,6.567010046865107e-08,0.2016577571630478,7.07668519339677e-08,6.112795603030463e-08,0.18318264186382294,2.056147785367557e-08,1.1956555567849136e-07,0.19435545802116394,2.9875973694970526e-08,1.7375413108311477e-07,1.2592717268944398e-07,0.0,0.0,0.0
