checkpoint,data,alpha,group,rule,n,follow_teacher,follow_teacher_sem,follow_rule,follow_rule_sem,chance,clean_n,clean_follow_teacher,clean_follow_rule,acc_teacher,acc_q_g0.9,acc_q_g0.5,acc_q_g0
coconut_transformer_qlv3-residual.pt,qlv3_dataset.pt:val,0.2,ALL,q_g0.5,19540,0.7841351074718526,0.00294322983783102,0.17871033776867964,0.002740695181697659,0.3500213237802797,5059,0.47440205574224154,0.44020557422415496,0.9504732974439171,0.9504732974439171,0.9098547106349041,0.8118849461991156
coconut_transformer_qlv3-residual.pt,qlv3_dataset.pt:val,0.2,ALL,q_g0,49947,0.8858590105511842,0.0014228149373744984,0.08697219052195328,0.001260890878907588,0.35033969340834614,7569,0.5394371779627428,0.3552648962874884,0.9504732974439171,0.9504732974439171,0.9098547106349041,0.8118849461991156
coconut_transformer_qlv3-residual.pt,qlv3_dataset.pt:val,0.2,ALL,most_tried,51441,0.8475146284092455,0.0015850135943746486,0.1100095254757878,0.0013795998028253524,0.36253345256377856,12978,0.6103405763599938,0.29026044074587765,0.9504732974439171,0.9504732974439171,0.9098547106349041,0.8118849461991156
coconut_transformer_qlv3-residual.pt,qlv3_dataset.pt:val,0.2,ALL,last_astar,27867,0.7024796354110596,0.002738609493652852,0.23877704812143397,0.002553918992781578,0.3597534718484229,0,nan,nan,0.9504732974439171,0.9504732974439171,0.9098547106349041,0.8118849461991156
coconut_transformer_qlv3-residual.pt,qlv3_dataset.pt:val,0.2,task=goal,q_g0.5,9266,0.8223613209583424,0.00397058006047216,0.14245629181955535,0.0036309711829098927,0.3452046909849629,1887,0.5039745627980922,0.40381558028616854,0.9394315245478037,0.9394315245478037,0.8747354662019171,0.6951600597807343
coconut_transformer_qlv3-residual.pt,qlv3_dataset.pt:val,0.2,task=goal,q_g0,27416,0.9151590312226437,0.001682864111081307,0.060840385176539245,0.0014436557210176096,0.34719993191323795,3062,0.5744611365120836,0.30568256041802744,0.9394315245478037,0.9394315245478037,0.8747354662019171,0.6951600597807343
coconut_transformer_qlv3-residual.pt,qlv3_dataset.pt:val,0.2,task=goal,most_tried,22251,0.8520515931868231,0.0023801993154746494,0.10956810929845849,0.00209395656962253,0.362676583823948,5593,0.6220275344180225,0.2875022349365278,0.9394315245478037,0.9394315245478037,0.8747354662019171,0.6951600597807343
coconut_transformer_qlv3-residual.pt,qlv3_dataset.pt:val,0.2,task=goal,last_astar,10908,0.6935276861019435,0.0044142300262456115,0.25760909424275763,0.004187206237677001,0.36085136291406916,0,nan,nan,0.9394315245478037,0.9394315245478037,0.8747354662019171,0.6951600597807343
coconut_transformer_qlv3-residual.pt,qlv3_dataset.pt:val,0.2,task=orig,q_g0.5,4524,0.8211759504862953,0.0056973090121508006,0.15716180371352786,0.005411084408459424,0.34878794577070443,977,0.4554759467758444,0.49027635619242577,0.9711098808718296,0.9711098808718296,0.9405331089815936,0.877237378101469
coconut_transformer_qlv3-residual.pt,qlv3_dataset.pt:val,0.2,task=orig,q_g0,11108,0.9026827511703277,0.0028121892763962376,0.07886208138278718,0.002557281354850961,0.3487351458408354,1427,0.5192711983181499,0.40574632095304836,0.9711098808718296,0.9711098808718296,0.9405331089815936,0.877237378101469
coconut_transformer_qlv3-residual.pt,qlv3_dataset.pt:val,0.2,task=orig,most_tried,9461,0.8427227565796428,0.003742887587985433,0.13148715780572878,0.003474251629965868,0.35050029947503786,1974,0.5258358662613982,0.40678824721377915,0.9711098808718296,0.9711098808718296,0.9405331089815936,0.877237378101469
coconut_transformer_qlv3-residual.pt,qlv3_dataset.pt:val,0.2,task=orig,last_astar,6002,0.7257580806397868,0.0057585728368466,0.25841386204598465,0.0056505498334472265,0.3511746084638454,0,nan,nan,0.9711098808718296,0.9711098808718296,0.9405331089815936,0.877237378101469
coconut_transformer_qlv3-residual.pt,qlv3_dataset.pt:val,0.2,task=shifted,q_g0.5,5750,0.693391304347826,0.006080615006118556,0.2540869565217391,0.0057411826542175535,0.3587536231884058,2195,0.4574031890660592,0.44920273348519363,0.9405028286751668,0.9405028286751668,0.9140360528097495,0.8629647308406259
coconut_transformer_qlv3-residual.pt,qlv3_dataset.pt:val,0.2,task=shifted,q_g0,11423,0.7991770988356824,0.0037483319530669823,0.15757681869911583,0.0034089547009832303,0.3594356415419183,3080,0.513961038961039,0.38116883116883116,0.9405028286751668,0.9405028286751668,0.9140360528097495,0.8629647308406259
coconut_transformer_qlv3-residual.pt,qlv3_dataset.pt:val,0.2,task=shifted,most_tried,19729,0.8446956257286229,0.0025786323707775276,0.10020781590551979,0.0021378113085076937,0.3681424975078987,5411,0.6290888929957494,0.2506006283496581,0.9405028286751668,0.9405028286751668,0.9140360528097495,0.8629647308406259
coconut_transformer_qlv3-residual.pt,qlv3_dataset.pt:val,0.2,task=shifted,last_astar,10957,0.6986401387241034,0.0043835265317114505,0.20927261111618142,0.0038861875552751775,0.3633598004319917,0,nan,nan,0.9405028286751668,0.9405028286751668,0.9140360528097495,0.8629647308406259
coconut_transformer_qlv3-discrete.pt,qlv3_dataset.pt:val,0.2,ALL,q_g0.5,19540,0.49396110542476973,0.0035766467297873483,0.2939611054247697,0.003259094620324501,0.3500213237802797,5059,0.31093101403439416,0.4465309349673849,0.5767793631243167,0.5767793631243167,0.5635736329276327,0.5307518194797507
coconut_transformer_qlv3-discrete.pt,qlv3_dataset.pt:val,0.2,ALL,q_g0,49947,0.5315434360422048,0.0022327975144822566,0.26221795102808976,0.0019680700295858977,0.35033969340834614,7569,0.3144404809089708,0.43057207028669575,0.5767793631243167,0.5767793631243167,0.5635736329276327,0.5307518194797507
coconut_transformer_qlv3-discrete.pt,qlv3_dataset.pt:val,0.2,ALL,most_tried,51441,0.48745164363056703,0.0022038320307339837,0.30574833304173715,0.0020313549337942723,0.36253345256377856,12978,0.3313299429804284,0.4292649098474341,0.5767793631243167,0.5767793631243167,0.5635736329276327,0.5307518194797507
coconut_transformer_qlv3-discrete.pt,qlv3_dataset.pt:val,0.2,ALL,last_astar,27867,0.3521369361610507,0.002861226851569255,0.431083360246887,0.002966605783542313,0.3597534718484229,0,nan,nan,0.5767793631243167,0.5767793631243167,0.5635736329276327,0.5307518194797507
coconut_transformer_qlv3-discrete.pt,qlv3_dataset.pt:val,0.2,task=goal,q_g0.5,9266,0.4936326354413987,0.005193840852849129,0.2827541549751781,0.004678346347100981,0.3452046909849629,1887,0.3280339162692104,0.42077371489136195,0.5644341085271318,0.5644341085271318,0.5447010249387941,0.48502868848175745
coconut_transformer_qlv3-discrete.pt,qlv3_dataset.pt:val,0.2,task=goal,q_g0,27416,0.5320250948351327,0.003013528448437463,0.2513131018383426,0.002619724586935119,0.34719993191323795,3062,0.32593076420640105,0.4033311561071195,0.5644341085271318,0.5644341085271318,0.5447010249387941,0.48502868848175745
coconut_transformer_qlv3-discrete.pt,qlv3_dataset.pt:val,0.2,task=goal,most_tried,22251,0.4874837085973664,0.0033508819167155078,0.30587389330816595,0.003088983781697394,0.362676583823948,5593,0.33345252994814945,0.4344716610048275,0.5644341085271318,0.5644341085271318,0.5447010249387941,0.48502868848175745
coconut_transformer_qlv3-discrete.pt,qlv3_dataset.pt:val,0.2,task=goal,last_astar,10908,0.3426842684268427,0.004544242848844069,0.4438943894389439,0.004757139660230229,0.36085136291406916,0,nan,nan,0.5644341085271318,0.5644341085271318,0.5447010249387941,0.48502868848175745
coconut_transformer_qlv3-discrete.pt,qlv3_dataset.pt:val,0.2,task=orig,q_g0.5,4524,0.5453138815207781,0.0074031717720126,0.25751547303271444,0.0065010584423793325,0.34878794577070443,977,0.33572159672466734,0.43705220061412486,0.59335465748088,0.59335465748088,0.5801715470010055,0.5575649096819323
coconut_transformer_qlv3-discrete.pt,qlv3_dataset.pt:val,0.2,task=orig,q_g0,11108,0.5648181490817429,0.00470404831386929,0.24567879006121715,0.004084548492301528,0.3487351458408354,1427,0.3391730903994394,0.42186405045550107,0.59335465748088,0.59335465748088,0.5801715470010055,0.5575649096819323
coconut_transformer_qlv3-discrete.pt,qlv3_dataset.pt:val,0.2,task=orig,most_tried,9461,0.49497938907092276,0.005140194917599964,0.29457774019659655,0.004686579859192009,0.35050029947503786,1974,0.3302938196555218,0.4275582573454914,0.59335465748088,0.59335465748088,0.5801715470010055,0.5575649096819323
coconut_transformer_qlv3-discrete.pt,qlv3_dataset.pt:val,0.2,task=orig,last_astar,6002,0.3808730423192269,0.006268043171826907,0.40436521159613464,0.006334741896046605,0.3511746084638454,0,nan,nan,0.59335465748088,0.59335465748088,0.5801715470010055,0.5575649096819323
coconut_transformer_qlv3-discrete.pt,qlv3_dataset.pt:val,0.2,task=shifted,q_g0.5,5750,0.45408695652173914,0.006565946303380844,0.34069565217391307,0.006250177385499518,0.3587536231884058,2195,0.28519362186788155,0.47289293849658315,0.5723212023980411,0.5723212023980411,0.5657053994583615,0.5495094139485548
coconut_transformer_qlv3-discrete.pt,qlv3_dataset.pt:val,0.2,task=shifted,q_g0,11423,0.49803028976626107,0.004678175885890673,0.30447343079751377,0.004305677270425732,0.3594356415419183,3080,0.2915584415584416,0.4616883116883117,0.5723212023980411,0.5723212023980411,0.5657053994583615,0.5495094139485548
coconut_transformer_qlv3-discrete.pt,qlv3_dataset.pt:val,0.2,task=shifted,most_tried,19729,0.4838055654113234,0.003557865715411454,0.3109635561863247,0.0032955151090942204,0.3681424975078987,5411,0.3295139530585844,0.4245056366660506,0.5723212023980411,0.5723212023980411,0.5657053994583615,0.5495094139485548
coconut_transformer_qlv3-discrete.pt,qlv3_dataset.pt:val,0.2,task=shifted,last_astar,10957,0.3458063338505065,0.004543848141111897,0.4329652277083143,0.004733534257210721,0.3633598004319917,0,nan,nan,0.5723212023980411,0.5723212023980411,0.5657053994583615,0.5495094139485548
coconut_transformer_qlv3-overwrite.pt,qlv3_dataset.pt:val,0.2,ALL,q_g0.5,19540,0.7272262026612077,0.0031862056572810314,0.21023541453428865,0.0029150062194550886,0.3500213237802797,5059,0.19450484285431904,0.640640442775252,0.9113293845749318,0.9113293845749318,0.8766184680467423,0.7879722812271477
coconut_transformer_qlv3-overwrite.pt,qlv3_dataset.pt:val,0.2,ALL,q_g0,49947,0.8324223677097724,0.001671187550463182,0.12040763209001541,0.0014561731872487407,0.35033969340834614,7569,0.20280089840137402,0.5971726780288017,0.9113293845749318,0.9113293845749318,0.8766184680467423,0.7879722812271477
coconut_transformer_qlv3-overwrite.pt,qlv3_dataset.pt:val,0.2,ALL,most_tried,51441,0.763107249081472,0.0018746231413334534,0.17073929355961198,0.0016590427708362027,0.36253345256377856,12978,0.28409616273693944,0.5362151333025119,0.9113293845749318,0.9113293845749318,0.8766184680467423,0.7879722812271477
coconut_transformer_qlv3-overwrite.pt,qlv3_dataset.pt:val,0.2,ALL,last_astar,27867,0.39329673090034806,0.0029261947514443738,0.5268597265582947,0.002990868718858176,0.3597534718484229,0,nan,nan,0.9113293845749318,0.9113293845749318,0.8766184680467423,0.7879722812271477
coconut_transformer_qlv3-overwrite.pt,qlv3_dataset.pt:val,0.2,task=goal,q_g0.5,9266,0.7620332398014246,0.0044238353926400985,0.1731059788473991,0.003930382450757869,0.3452046909849629,1887,0.16322204557498676,0.6364599894011659,0.8903255813953488,0.8903255813953488,0.8342462342835802,0.671435887252699
coconut_transformer_qlv3-overwrite.pt,qlv3_dataset.pt:val,0.2,task=goal,q_g0,27416,0.8598993288590604,0.002096244167022631,0.09406915669681938,0.001763068160799619,0.34719993191323795,3062,0.1698236446766819,0.5858915741345526,0.8903255813953488,0.8903255813953488,0.8342462342835802,0.671435887252699
coconut_transformer_qlv3-overwrite.pt,qlv3_dataset.pt:val,0.2,task=goal,most_tried,22251,0.7522807963687025,0.0028939768887932104,0.18156487348883196,0.0025842425869194276,0.362676583823948,5593,0.24834614696942606,0.5771500089397461,0.8903255813953488,0.8903255813953488,0.8342462342835802,0.671435887252699
coconut_transformer_qlv3-overwrite.pt,qlv3_dataset.pt:val,0.2,task=goal,last_astar,10908,0.3383755042170884,0.004530359658179934,0.5967180051338468,0.004696955254005973,0.36085136291406916,0,nan,nan,0.8903255813953488,0.8903255813953488,0.8342462342835802,0.671435887252699
coconut_transformer_qlv3-overwrite.pt,qlv3_dataset.pt:val,0.2,task=orig,q_g0.5,4524,0.7712201591511937,0.006245062156754987,0.19385499557913352,0.005877380178312585,0.34878794577070443,977,0.15967246673490276,0.7400204708290685,0.9418096819831457,0.9418096819831457,0.9151396384380194,0.8564477636505781
coconut_transformer_qlv3-overwrite.pt,qlv3_dataset.pt:val,0.2,task=orig,q_g0,11108,0.860010803024847,0.003292162615546026,0.10866042491897732,0.002952836215482793,0.3487351458408354,1427,0.17589348283111422,0.6811492641906096,0.9418096819831457,0.9418096819831457,0.9151396384380194,0.8564477636505781
coconut_transformer_qlv3-overwrite.pt,qlv3_dataset.pt:val,0.2,task=orig,most_tried,9461,0.7788817249762181,0.004266576673563125,0.1739773808265511,0.003897389788138928,0.35050029947503786,1974,0.2006079027355623,0.6691995947315096,0.9418096819831457,0.9418096819831457,0.9151396384380194,0.8564477636505781
coconut_transformer_qlv3-overwrite.pt,qlv3_dataset.pt:val,0.2,task=orig,last_astar,6002,0.43052315894701765,0.006391286665802769,0.5263245584805065,0.006444945603250512,0.3511746084638454,0,nan,nan,0.9418096819831457,0.9418096819831457,0.9151396384380194,0.8564477636505781
coconut_transformer_qlv3-overwrite.pt,qlv3_dataset.pt:val,0.2,task=shifted,q_g0.5,5750,0.6365217391304347,0.0063432513230142476,0.28295652173913044,0.005940167301763747,0.3587536231884058,2195,0.23690205011389523,0.6,0.9013974499704467,0.9013974499704467,0.8801095971563981,0.8356404136833732
coconut_transformer_qlv3-overwrite.pt,qlv3_dataset.pt:val,0.2,task=shifted,q_g0,11423,0.7396480784382387,0.004105848041275094,0.19504508447868335,0.003707346640187927,0.3594356415419183,3080,0.24805194805194805,0.5694805194805195,0.9013974499704467,0.9013974499704467,0.8801095971563981,0.8356404136833732
coconut_transformer_qlv3-overwrite.pt,qlv3_dataset.pt:val,0.2,task=shifted,most_tried,19729,0.767753053880075,0.0030063064312631955,0.15697703887678038,0.0025899133343099652,0.3681424975078987,5411,0.35150619109221953,0.44538902236185546,0.9013974499704467,0.9013974499704467,0.8801095971563981,0.8356404136833732
coconut_transformer_qlv3-overwrite.pt,qlv3_dataset.pt:val,0.2,task=shifted,last_astar,10957,0.4275805421191932,0.004726289608515555,0.4576070092178516,0.004759458424555857,0.3633598004319917,0,nan,nan,0.9013974499704467,0.9013974499704467,0.8801095971563981,0.8356404136833732
