construction,sweep,beta,beta_max,sigma,dim,rho,T,max_pred_err_mean,w_linf_mean,w_l1_mean,max_w_linf_mean,decision_agree_mean,regret_diff_mean,max_cos_mean,diverged_mean,max_pred_err_sem,w_linf_sem,w_l1_sem,max_w_linf_sem,decision_agree_sem,regret_diff_sem,n
mwu,beta_route,1.0,,,,,100,0.4471343425472746,0.35759784027700403,0.7151956805540081,0.5376968142229545,0.9337015983525557,1.15,0.0,0.0,0.032696053962297765,0.050815385794197455,0.10163077158839491,0.025958262322672603,0.018090763563960947,0.7155233638467204,20
mwu,beta_route,1.0,,,,,500,0.5261797852262228,0.20774012932493607,0.41548025864987215,0.5878746273684221,0.9191045544759329,3.35,0.0,0.0,0.04822126250731635,0.07683296426688903,0.15366592853377808,0.039646454890736677,0.029192523343756372,1.9429697833335877,20
mwu,beta_route,2.0,,,,,100,0.42768873269059454,0.317503190582609,0.635006381165218,0.4760580533457917,0.9510488527182194,0.4,0.0,0.0,0.02345009386734735,0.04172594396571534,0.0834518879314307,0.023523940223681303,0.01627499919510768,0.5201214433086504,20
mwu,beta_route,2.0,,,,,500,0.472817695449943,0.142084324273753,0.284168648547506,0.5078070046417389,0.9585418652517597,1.85,0.0,0.0,0.038019823737831304,0.060466268449041724,0.12093253689808345,0.0348066736739909,0.022306277379810398,1.743068981332698,20
mwu,beta_route,5.0,,,,,100,0.09945112351156087,0.09722469785096648,0.19728364272565962,0.10867245450828959,0.9883832199546486,0.0,0.0,0.0,0.0073974963541562555,0.010301353255249121,0.020086953136654623,0.009416218804232046,0.002678367349053801,0.24061325159289396,20
mwu,beta_route,5.0,,,,,500,0.20764582078105676,0.09676706378873573,0.1935341275774715,0.2122526532554923,0.9856915727036402,0.6,0.0,0.0,0.036781871204180555,0.042925657672614574,0.08585131534522916,0.03725335646699027,0.010373297016258281,0.7048702754856088,20
mwu,beta_route,10.0,,,,,100,0.0007601448311961064,0.0007839591620365637,0.0015986553815483134,0.0008292667354472628,1.0,0.05,0.0,0.0,5.8871530179977136e-05,6.855946189952613e-05,0.00012903797317913835,7.066809650393343e-05,0.0,0.0881087844357011,20
mwu,beta_route,10.0,,,,,500,0.002549318813220834,0.0014642579336789086,0.0029285158673578392,0.0026143535220654436,1.0,0.05,0.0,0.0,0.00031975977019063195,0.0003754159415222604,0.0007508318830445275,0.00032786075108149064,0.0,0.0881087844357011,20
mwu,beta_route,20.0,,,,,100,3.453880676185239e-08,3.5627488408421224e-08,7.26538069079465e-08,3.7676552569476665e-08,1.0,0.05,0.0,0.0,2.675218608808348e-09,3.1114417130600804e-09,5.854116866925086e-09,3.208957555962696e-09,0.0,0.0881087844357011,20
mwu,beta_route,20.0,,,,,500,1.1600128559385858e-07,6.695242661391987e-08,1.3390485328376538e-07,1.1898184171243997e-07,1.0,0.05,0.0,0.0,1.4517979558565289e-08,1.7047533453309787e-08,3.409506691094455e-08,1.4894309446286246e-08,0.0,0.0881087844357011,20
mwu,beta_route,50.0,,,,,100,4.782285678572862e-15,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.825671843192946e-17,0.0,0.0,0.0,0.0,0.0,20
mwu,beta_route,50.0,,,,,500,5.051514762044462e-15,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.280498315426828e-16,0.0,0.0,0.0,0.0,0.0,20
mwu,beta_route,100.0,,,,,100,9.153788838034416e-15,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.977107681956368e-16,0.0,0.0,0.0,0.0,0.0,20
mwu,beta_route,100.0,,,,,500,9.772738174262941e-15,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.505164207635645e-16,0.0,0.0,0.0,0.0,0.0,20
mwu,beta_route,1000.0,,,,,100,7.528144774227031e-14,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.7057532062714278e-15,0.0,0.0,0.0,0.0,0.0,20
mwu,beta_route,1000.0,,,,,500,7.805145418871007e-14,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.7313666533947515e-15,0.0,0.0,0.0,0.0,0.0,20
mwu,beta_route,10000.0,,,,,100,1.2050332953705834e-12,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.761680565827592e-14,0.0,0.0,0.0,0.0,0.0,20
mwu,beta_route,10000.0,,,,,500,1.2512990643642753e-12,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.7185114725336194e-14,0.0,0.0,0.0,0.0,0.0,20
mwu,beta_route,1000000.0,,,,,100,7.712717964292182e-11,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.7686040333251028e-12,0.0,0.0,0.0,0.0,0.0,20
mwu,beta_route,1000000.0,,,,,500,8.010861834994998e-11,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.7410150183877067e-12,0.0,0.0,0.0,0.0,0.0,20
mwu,beta_x_dim,10.0,,,32.0,,100,1500.9984121229033,0.6009456066496266,1.216210879669418,0.6845757212551009,0.5509433797261485,24.3,0.42987845624866206,0.0,1488.690416136155,0.07516649026649454,0.14784869302099143,0.055906191506439176,0.012759045279549925,2.4334294621723513,20
mwu,beta_x_dim,10.0,,,32.0,,500,8.891220614351712e+21,0.6953166599340665,1.3906349816041017,0.8448481916662631,0.5074937549239713,140.6,0.42987845624866206,0.0,8.891220614351711e+21,0.09688807676193992,0.1937756159481667,0.056205973791905305,0.006202378476467451,10.555218215600629,20
