construction,sweep,seed,max_cos,beta,beta_max,sigma,dim,rho,T,max_err,final_err,greedy_agree,select_agree,max_pred_err,w_linf,w_l1,max_w_linf,decision_agree,regret_diff
q,beta_route,16,0.0,1.0,,,,,100,1.3182500253431093,1.294643829558511,0.3184257602862254,0.4787234042553192,,,,,,
q,beta_route,16,0.0,1.0,,,,,500,4.102131114260985,4.102131114260985,0.3305170665765461,0.5607287449392713,,,,,,
q,beta_route,17,0.0,1.0,,,,,100,1.1990411362396107,1.1975415743481723,0.8326771653543307,0.1595744680851064,,,,,,
q,beta_route,17,0.0,1.0,,,,,500,3.5241822847546187,3.5241822847546187,0.8332187070151307,0.18016194331983806,,,,,,
q,beta_route,18,0.0,1.0,,,,,100,0.7252726421763567,0.7252726421763567,0.504424778761062,0.20430107526881722,,,,,,
q,beta_route,18,0.0,1.0,,,,,500,2.9875851489192677,2.9875851489192677,0.36593591905564926,0.31237322515212984,,,,,,
q,beta_route,19,0.0,1.0,,,,,100,1.0113400404709012,1.0113400404709012,0.8400702987697716,0.0,,,,,,
q,beta_route,19,0.0,1.0,,,,,500,3.264249654426149,3.2265790690376015,0.8346244526776693,0.0,,,,,,
q,beta_route,8,0.0,1.0,,,,,100,0.8408599184144989,0.8408599184144989,0.8286219081272085,0.34782608695652173,,,,,,
q,beta_route,8,0.0,1.0,,,,,500,2.2475018403636673,2.2143781587017086,0.832434254888739,0.3780487804878049,,,,,,
q,beta_route,9,0.0,1.0,,,,,100,0.8247649817978895,0.8247649817978895,0.3975481611208406,0.1935483870967742,,,,,,
q,beta_route,9,0.0,1.0,,,,,500,2.444181329502445,2.444181329502445,0.3456748569505217,0.25963488843813387,,,,,,
q,beta_route,10,0.0,1.0,,,,,100,0.7668138533177297,0.7668138533177297,0.3520140105078809,0.6276595744680851,,,,,,
q,beta_route,10,0.0,1.0,,,,,500,2.893567557895351,2.893567557895351,0.33692359474924266,0.5870445344129555,,,,,,
q,beta_route,11,0.0,1.0,,,,,100,1.1344444340698665,1.1344444340698665,0.5,0.08602150537634409,,,,,,
q,beta_route,11,0.0,1.0,,,,,500,3.014612213420889,2.9862968616822023,0.5,0.10344827586206896,,,,,,
q,beta_route,0,0.0,2.0,,,,,100,1.1639951391756052,1.1639951391756052,0.6890034364261168,0.3829787234042553,,,,,,
q,beta_route,0,0.0,2.0,,,,,500,2.965864654894948,2.965864654894948,0.6710261569416499,0.3562753036437247,,,,,,
q,beta_route,1,0.0,2.0,,,,,100,0.9715862488965988,0.9715862488965988,0.506398537477148,0.3225806451612903,,,,,,
q,beta_route,1,0.0,2.0,,,,,500,3.71561555957267,3.7139434585889792,0.501187648456057,0.3204868154158215,,,,,,
q,beta_route,2,0.0,2.0,,,,,100,1.0021787480874955,1.0021787480874955,0.6972318339100346,0.28421052631578947,,,,,,
q,beta_route,2,0.0,2.0,,,,,500,3.1479385790613477,3.1479385790613477,0.6725990597716588,0.30505050505050507,,,,,,
q,beta_route,3,0.0,2.0,,,,,100,0.8851561801429437,0.8851561801429437,0.38312829525483305,0.23655913978494625,,,,,,
q,beta_route,3,0.0,2.0,,,,,500,2.5519488890909785,2.5519488890909785,0.34287638935668574,0.2535496957403651,,,,,,
q,beta_route,8,0.0,2.0,,,,,100,0.8408599184144989,0.8408599184144989,0.8286219081272085,0.34782608695652173,,,,,,
q,beta_route,8,0.0,2.0,,,,,500,2.2475018403636673,2.2143781587017086,0.832434254888739,0.3780487804878049,,,,,,
q,beta_route,9,0.0,2.0,,,,,100,0.8247649817978895,0.8247649817978895,0.3975481611208406,0.1935483870967742,,,,,,
q,beta_route,9,0.0,2.0,,,,,500,2.444181329502445,2.444181329502445,0.3456748569505217,0.25963488843813387,,,,,,
q,beta_route,10,0.0,2.0,,,,,100,0.7668138533177297,0.7668138533177297,0.3520140105078809,0.6276595744680851,,,,,,
q,beta_route,10,0.0,2.0,,,,,500,2.893567557895351,2.893567557895351,0.33692359474924266,0.5870445344129555,,,,,,
q,beta_route,11,0.0,2.0,,,,,100,1.1344444340698665,1.1344444340698665,0.5,0.08602150537634409,,,,,,
q,beta_route,11,0.0,2.0,,,,,500,3.014612213420889,2.9862968616822023,0.5,0.10344827586206896,,,,,,
q,beta_route,4,0.0,2.0,,,,,100,1.2324099949129392,1.2164193329977695,0.8299445471349353,0.35789473684210527,,,,,,
q,beta_route,4,0.0,2.0,,,,,500,3.135146782984994,3.135146782984994,0.8327099625977559,0.32323232323232326,,,,,,
q,beta_route,5,0.0,2.0,,,,,100,1.153142785359946,1.153142785359946,0.7954545454545454,0.0,,,,,,
q,beta_route,5,0.0,2.0,,,,,500,3.299220059025816,3.2919643459774584,0.826043068640646,0.0,,,,,,
q,beta_route,6,0.0,2.0,,,,,100,1.3977101079235026,1.3977101079235026,0.8886894075403949,0.0,,,,,,
q,beta_route,6,0.0,2.0,,,,,500,3.6372504983265443,3.628083320158467,0.8437605681433886,0.0,,,,,,
q,beta_route,7,0.0,2.0,,,,,100,1.022392818504411,1.022392818504411,0.8280701754385965,0.0,,,,,,
q,beta_route,7,0.0,2.0,,,,,500,2.9907330828340015,2.9799678836697514,0.8323232323232324,0.0,,,,,,
q,beta_route,16,0.0,2.0,,,,,100,1.3182500253431093,1.294643829558511,0.3184257602862254,0.4787234042553192,,,,,,
q,beta_route,16,0.0,2.0,,,,,500,4.102131114260985,4.102131114260985,0.3305170665765461,0.5607287449392713,,,,,,
q,beta_route,17,0.0,2.0,,,,,100,1.1990411362396107,1.1975415743481723,0.8326771653543307,0.1595744680851064,,,,,,
q,beta_route,17,0.0,2.0,,,,,500,3.5241822847546187,3.5241822847546187,0.8332187070151307,0.18016194331983806,,,,,,
q,beta_route,18,0.0,2.0,,,,,100,0.7252726421763567,0.7252726421763567,0.504424778761062,0.20430107526881722,,,,,,
q,beta_route,18,0.0,2.0,,,,,500,2.9875851489192677,2.9875851489192677,0.36593591905564926,0.31237322515212984,,,,,,
q,beta_route,19,0.0,2.0,,,,,100,1.0113400404709012,1.0113400404709012,0.8400702987697716,0.0,,,,,,
q,beta_route,19,0.0,2.0,,,,,500,3.264249654426149,3.2265790690376015,0.8346244526776693,0.0,,,,,,
q,exact,16,0.0,,,,,,100,2.7977620220553945e-14,2.6201263381153694e-14,1.0,1.0,,,,,,
q,exact,16,0.0,,,,,,500,4.884981308350689e-14,4.618527782440651e-14,1.0,1.0,,,,,,
q,exact,17,0.0,,,,,,100,8.215650382226158e-15,8.215650382226158e-15,1.0,1.0,,,,,,
q,exact,17,0.0,,,,,,500,2.886579864025407e-14,2.842170943040401e-14,1.0,1.0,,,,,,
q,exact,18,0.0,,,,,,100,1.765254609153999e-14,1.587618925213974e-14,1.0,1.0,,,,,,
q,exact,18,0.0,,,,,,500,3.3306690738754696e-14,2.2648549702353193e-14,1.0,1.0,,,,,,
q,exact,19,0.0,,,,,,100,2.55351295663786e-14,2.55351295663786e-14,1.0,1.0,,,,,,
q,exact,19,0.0,,,,,,500,3.1530333899354446e-14,1.5987211554602254e-14,1.0,1.0,,,,,,
q,exact,12,0.0,,,,,,100,1.3988810110276972e-14,1.2989609388114332e-14,1.0,1.0,,,,,,
