construction,sweep,beta,beta_max,sigma,dim,rho,T,max_err_mean,final_err_mean,greedy_agree_mean,select_agree_mean,max_cos_mean,diverged_mean,max_err_sem,final_err_sem,greedy_agree_sem,select_agree_sem,n
q,beta_route,2.0,,,,,100,0.4257584381592946,0.41823334292143255,0.9929663569509719,0.967436252929779,0.0,0.0,0.02059579118261132,0.01916394055572427,0.0041047303839190025,0.009676073918803228,20
q,beta_route,2.0,,,,,500,1.7720011575064185,1.7708963925674925,0.9973600407625666,0.9874434015557888,0.0,0.0,0.07042756509139891,0.07027509110247639,0.0012299849774579687,0.004554213309751726,20
q,beta_route,5.0,,,,,100,0.08885033509006894,0.08611020174887099,0.9988711749832012,0.9973459042252164,0.0,0.0,0.005562153978543187,0.00524200858538185,0.0007940193413890845,0.0013021196029337897,20
q,beta_route,5.0,,,,,500,0.6932076178583368,0.6872061332671143,0.9992942991628005,0.999393120668876,0.0,0.0,0.03183955322341254,0.030853082026821445,0.0004994981639530751,0.0002582835008292149,20
q,beta_route,10.0,,,,,100,0.000701984935651792,0.0006806160511974163,1.0,1.0,0.0,0.0,4.65666250072753e-05,4.379630264214164e-05,0.0,0.0,20
q,beta_route,10.0,,,,,500,0.006361949571429171,0.006297455987584233,1.0,1.0,0.0,0.0,0.0003142032471265274,0.00030109544963860904,0.0,0.0,20
q,beta_route,20.0,,,,,100,4.507778636299656e-06,3.2228976036233205e-06,1.0,1.0,0.0,0.0,1.8012670555835081e-06,1.4174437326047246e-06,0.0,0.0,20
q,beta_route,20.0,,,,,500,5.7510532967871425e-06,1.4784326179739792e-06,1.0,1.0,0.0,0.0,2.035917351153367e-06,5.788585611543106e-07,0.0,0.0,20
q,beta_route,50.0,,,,,100,4.52079225250028e-06,3.231372520438869e-06,1.0,1.0,0.0,0.0,1.7989899128600759e-06,1.4148997877150148e-06,0.0,0.0,20
q,beta_route,50.0,,,,,500,5.852025472804015e-06,1.529464103988687e-06,1.0,1.0,0.0,0.0,2.019888489793365e-06,5.549945918386052e-07,0.0,0.0,20
q,beta_route,100.0,,,,,100,4.52079225250028e-06,3.231372520438869e-06,1.0,1.0,0.0,0.0,1.7989899128600759e-06,1.4148997877150148e-06,0.0,0.0,20
q,beta_route,100.0,,,,,500,5.852025472804015e-06,1.529464103988687e-06,1.0,1.0,0.0,0.0,2.019888489793365e-06,5.549945918386052e-07,0.0,0.0,20
q,beta_route,1000.0,,,,,100,4.52079225250028e-06,3.231372520438869e-06,1.0,1.0,0.0,0.0,1.798989912860075e-06,1.4148997877150148e-06,0.0,0.0,20
q,beta_route,1000.0,,,,,500,5.852025472804015e-06,1.529464103988687e-06,1.0,1.0,0.0,0.0,2.019888489793365e-06,5.549945918386052e-07,0.0,0.0,20
q,beta_route,10000.0,,,,,100,4.52079225250028e-06,3.231372520438869e-06,1.0,1.0,0.0,0.0,1.7989899128600754e-06,1.414899787715015e-06,0.0,0.0,20
q,beta_route,10000.0,,,,,500,5.852025472804015e-06,1.529464103988687e-06,1.0,1.0,0.0,0.0,2.019888489793365e-06,5.549945918386052e-07,0.0,0.0,20
q,beta_route,1000000.0,,,,,100,4.52079225250028e-06,3.231372520438869e-06,1.0,1.0,0.0,0.0,1.7989899128600759e-06,1.414899787715015e-06,0.0,0.0,20
q,beta_route,1000000.0,,,,,500,5.852025472804015e-06,1.529464103988687e-06,1.0,1.0,0.0,0.0,2.0198884897933645e-06,5.549945918386052e-07,0.0,0.0,20
q,beta_x_dim,10.0,,,32.0,,100,6.263996839760959,4.941124430042952,0.6345395699007873,0.6155309372099342,0.45181358479635786,0.95,,,0.03208801557025651,0.03887282044456651,20
q,beta_x_dim,10.0,,,32.0,,500,,,0.6853397230314271,0.6752196623240532,0.45181358479635786,1.0,,,0.03901343372326003,0.040392499449740264,20
q,beta_x_dim,10.0,,,64.0,,100,1.257406682053302e+89,1.257406682053302e+89,0.6335909998642567,0.6214495475955264,0.3383318772022451,0.6,7.952538120807201e+88,7.952538120807201e+88,0.02986109166231614,0.03949444378895727,20
q,beta_x_dim,10.0,,,64.0,,500,186148923198910.53,186148923198909.94,0.6594507393921781,0.644351988327947,0.3383318772022451,0.8,83248329242228.61,83248329242228.7,0.03686747326381046,0.04055163464802518,20
q,beta_x_dim,10.0,,,128.0,,100,96.0184457637769,94.89798805141598,0.7388748523565323,0.6745038222589388,0.23665230870784323,0.2,81.12750510775763,81.17981344361488,0.021364071774110732,0.02974348057493021,20
q,beta_x_dim,10.0,,,128.0,,500,587.4866683207266,583.9482458558545,0.6902530371967972,0.6290078701486875,0.23665230870784323,0.4,444.53535624976143,444.78193216753164,0.02531075069476132,0.02314988692899526,20
q,beta_x_dim,10.0,,,256.0,,100,249312208642659.0,249312208642658.94,0.8498217843455869,0.7899864773389413,0.16971422476257944,0.05,242999482529009.34,242999482529009.34,0.01835866186518973,0.024325968682865726,20
q,beta_x_dim,10.0,,,256.0,,500,3.0255550668049653,2.9266185402564733,0.7810961250287333,0.7255593548216261,0.16971422476257944,0.3,0.2622944581018951,0.2674582350145289,0.02874767787611259,0.02540119013587131,20
q,beta_x_dim,10.0,,,512.0,,100,0.8986638261091324,0.8545730363000585,0.9400916207999822,0.8583563344217426,0.11945966216356811,0.0,0.203134444203277,0.19166534095344154,0.011461923658182518,0.017315743786934328,20
q,beta_x_dim,10.0,,,512.0,,500,3.4804876570995327,3.325242438469644,0.8740795713329474,0.8101944243607242,0.11945966216356811,0.4,0.6843730131449351,0.6830771999123724,0.024102379218078177,0.029131201336042814,20
