construction,sweep,beta,beta_max,sigma,dim,rho,T,max_err_mean,final_err_mean,greedy_agree_mean,select_agree_mean,max_cos_mean,diverged_mean,max_err_sem,final_err_sem,greedy_agree_sem,select_agree_sem,n
q,beta_x_dim,20.0,,,2048.0,,500,,,0.6934354546605167,0.693237536492034,0.06342080822861114,1.0,,,0.03988101374758349,0.042383120495975285,20
q,beta_x_dim,20.0,,,4096.0,,100,9.036944115286588e+110,9.036944115286588e+110,0.6326175152371668,0.6741524725842837,0.043835166987457354,0.85,3.499993405911207e+110,3.499993405911207e+110,0.02778306144228147,0.03837799914119702,20
q,beta_x_dim,20.0,,,4096.0,,500,,,0.686509985396459,0.688382088742663,0.043835166987457354,1.0,,,0.038547471116982694,0.04255657657093645,20
q,beta_x_dim,20.0,,,8192.0,,100,8.483369287231448e+118,8.483369287231448e+118,0.679631510216975,0.7159669880589091,0.031054482512492553,0.3,7.097695972950937e+118,7.097695972950937e+118,0.021803986743410605,0.02383562502701969,20
q,beta_x_dim,20.0,,,8192.0,,500,,,0.6881943812686582,0.6952816917689446,0.031054482512492553,1.0,,,0.03513137590722854,0.03781001267822088,20
q,beta_x_dim,20.0,,,16384.0,,100,231.42414659391034,228.72049163408687,0.7632555004837444,0.7885338422523738,0.021380935793739144,0.0,70.96430559176147,69.48150878474254,0.025678611419564446,0.030717813172812934,20
q,beta_x_dim,20.0,,,16384.0,,500,,,0.6946488236886839,0.7086625359956944,0.021380935793739144,1.0,,,0.029729023570664995,0.03172451878998598,20
q,beta_x_dim,50.0,,,32.0,,100,,,0.6851929782862861,0.6938856421588722,0.45181358479635786,1.0,,,0.03736924128858786,0.04116480025232811,20
q,beta_x_dim,50.0,,,32.0,,500,,,0.6967681221317428,0.6918246219161667,0.45181358479635786,1.0,,,0.041526248098546846,0.04354058903730173,20
q,beta_x_dim,50.0,,,64.0,,100,,,0.6838115574179944,0.6997489996738436,0.3383318772022451,1.0,,,0.03612787795435034,0.04131440256286013,20
q,beta_x_dim,50.0,,,64.0,,500,,,0.6964995452735615,0.6929383986685826,0.3383318772022451,1.0,,,0.041279837463229566,0.04370797629558633,20
