construction,sweep,seed,max_cos,beta,beta_max,sigma,dim,rho,T,max_err,final_err,greedy_agree,select_agree,max_pred_err,w_linf,w_l1,max_w_linf,decision_agree,regret_diff
mwu,exact,14,0.0,,,,,,100,,,,,8.093525849517391e-14,0.0,0.0,0.0,1.0,0.0
mwu,exact,14,0.0,,,,,,500,,,,,9.015010959956271e-14,0.0,0.0,0.0,1.0,0.0
mwu,exact,15,0.0,,,,,,100,,,,,7.87148124459236e-14,0.0,0.0,0.0,1.0,0.0
mwu,exact,15,0.0,,,,,,500,,,,,7.87148124459236e-14,0.0,0.0,0.0,1.0,0.0
mwu,exact,16,0.0,,,,,,100,,,,,8.415490526658687e-14,0.0,0.0,0.0,1.0,0.0
mwu,exact,16,0.0,,,,,,500,,,,,8.415490526658687e-14,0.0,0.0,0.0,1.0,0.0
mwu,exact,17,0.0,,,,,,100,,,,,7.049916206369744e-14,0.0,0.0,0.0,1.0,0.0
mwu,exact,17,0.0,,,,,,500,,,,,7.049916206369744e-14,0.0,0.0,0.0,1.0,0.0
mwu,exact,18,0.0,,,,,,100,,,,,7.51620987671231e-14,0.0,0.0,0.0,1.0,0.0
mwu,exact,18,0.0,,,,,,500,,,,,7.51620987671231e-14,0.0,0.0,0.0,1.0,0.0
mwu,exact,19,0.0,,,,,,100,,,,,7.405187574249794e-14,0.0,0.0,0.0,1.0,0.0
mwu,exact,19,0.0,,,,,,500,,,,,7.405187574249794e-14,0.0,0.0,0.0,1.0,0.0
mwu,beta_route,0,0.0,1.0,,,,,100,,,,,0.3284841538963291,0.08137048441833372,0.16274096883666742,0.45733843763152554,0.97,-1.0
mwu,beta_route,0,0.0,1.0,,,,,500,,,,,0.3284841538963291,2.7549541237070763e-05,5.509908247405822e-05,0.45733843763152554,0.994,-1.0
mwu,beta_route,1,0.0,1.0,,,,,100,,,,,0.204231773139689,0.49832437529814033,0.9966487505962807,0.49832437529814033,0.9494949494949495,-1.0
mwu,beta_route,1,0.0,1.0,,,,,500,,,,,0.803495577105545,0.689978844724392,1.379957689448784,0.8041343370969845,0.7855711422845691,5.0
mwu,beta_route,2,0.0,1.0,,,,,100,,,,,0.31686693153550255,0.0926548580894001,0.18530971617880018,0.4469141596358309,0.98989898989899,-1.0
mwu,beta_route,2,0.0,1.0,,,,,500,,,,,0.31686693153550255,2.8925848427618917e-07,5.785169685933983e-07,0.4469141596358309,0.9979959919839679,-1.0
mwu,beta_route,3,0.0,1.0,,,,,100,,,,,0.3324217142390222,0.20353805456328833,0.4070761091265767,0.4011231490067202,0.9690721649484536,3.0
mwu,beta_route,3,0.0,1.0,,,,,500,,,,,0.3324217142390222,0.002025461024072195,0.004050922048144294,0.4011231490067202,0.993963782696177,3.0
mwu,beta_route,4,0.0,1.0,,,,,100,,,,,0.5148172466388248,0.5496490846848905,1.099298169369781,0.5613198292592474,0.94,2.0
mwu,beta_route,4,0.0,1.0,,,,,500,,,,,0.6345768954865827,0.1301097414716178,0.26021948294323544,0.6580073209942491,0.95,-1.0
mwu,beta_route,5,0.0,1.0,,,,,100,,,,,0.38008503214299666,0.4204575227001599,0.8409150454003197,0.4402913694982121,0.9292929292929293,1.0
mwu,beta_route,5,0.0,1.0,,,,,500,,,,,0.4180738109324429,0.09976550946560536,0.19953101893121092,0.45835138530669683,0.9859719438877755,1.0
mwu,beta_route,6,0.0,1.0,,,,,100,,,,,0.4772808385748728,0.3563866771980121,0.7127733543960243,0.5378032192104909,0.98,0.0
mwu,beta_route,6,0.0,1.0,,,,,500,,,,,0.4772808385748728,0.0030694212054449554,0.006138842410889932,0.5378032192104909,0.996,0.0
mwu,beta_route,7,0.0,1.0,,,,,100,,,,,0.41857169018134766,0.2436148960003438,0.4872297920006876,0.5205321985794766,0.98,0.0
mwu,beta_route,7,0.0,1.0,,,,,500,,,,,0.41857169018134766,0.01808363815299774,0.03616727630599553,0.5205321985794766,0.996,0.0
mwu,beta_route,8,0.0,1.0,,,,,100,,,,,0.3817977217812446,0.21426982627740543,0.42853965255481086,0.44286781543210685,1.0,0.0
mwu,beta_route,8,0.0,1.0,,,,,500,,,,,0.3817977217812446,0.0030184192841652413,0.006036838568330701,0.44286781543210685,1.0,0.0
mwu,beta_route,9,0.0,1.0,,,,,100,,,,,0.4112949453113721,0.3684723731234397,0.7369447462468797,0.4791662711787801,1.0,0.0
mwu,beta_route,9,0.0,1.0,,,,,500,,,,,0.4112949453113721,0.013435761168442362,0.02687152233688459,0.4791662711787801,1.0,0.0
mwu,beta_route,10,0.0,1.0,,,,,100,,,,,0.45451811474793297,0.3240823634076593,0.6481647268153186,0.5304711912203005,0.9591836734693877,-2.0
mwu,beta_route,10,0.0,1.0,,,,,500,,,,,0.45451811474793297,0.019840306357569726,0.0396806127151396,0.5304711912203005,0.9919678714859438,-2.0
mwu,beta_route,11,0.0,1.0,,,,,100,,,,,0.7015875526002692,0.6884636261385728,1.3769272522771456,0.720075883543722,0.7878787878787878,5.0
mwu,beta_route,11,0.0,1.0,,,,,500,,,,,0.9568928094443109,0.9525741528438294,1.9051483056876588,0.9569081103238116,0.5951903807615231,28.0
mwu,beta_route,12,0.0,1.0,,,,,100,,,,,0.3151141804904488,0.08358941161890887,0.16717882323781774,0.4387270570180696,1.0,0.0
mwu,beta_route,12,0.0,1.0,,,,,500,,,,,0.3151141804904488,1.5056207391950238e-09,3.0112413107397624e-09,0.4387270570180696,1.0,0.0
mwu,beta_route,13,0.0,1.0,,,,,100,,,,,0.5228335495780772,0.5105692096127701,1.0211384192255402,0.6488211664737825,0.94,2.0
mwu,beta_route,13,0.0,1.0,,,,,500,,,,,0.7965784402423662,0.742505677475638,1.4850113549512762,0.7965784669820204,0.78,16.0
mwu,beta_route,14,0.0,1.0,,,,,100,,,,,0.6355064502888097,0.7206137320697548,1.4412274641395095,0.7287557586258184,0.8367346938775511,8.0
mwu,beta_route,14,0.0,1.0,,,,,500,,,,,0.7647857260746888,0.5505113738380945,1.101022747676189,0.7796067650752357,0.7369477911646586,3.0
mwu,beta_route,15,0.0,1.0,,,,,100,,,,,0.7585744628634848,0.7587551708331687,1.5175103416663374,0.7765835731803457,0.7551020408163265,10.0
mwu,beta_route,15,0.0,1.0,,,,,500,,,,,0.924141661545179,0.916827317680345,1.83365463536069,0.9241418330096245,0.6526104417670683,23.0
mwu,beta_route,16,0.0,1.0,,,,,100,,,,,0.6552224414760428,0.6055617173026815,1.211123434605363,0.7174390634229542,0.7575757575757576,-2.0
mwu,beta_route,16,0.0,1.0,,,,,500,,,,,0.6552224414760428,0.012276849524360367,0.024553699048720793,0.7174390634229542,0.9398797595190381,-6.0
mwu,beta_route,17,0.0,1.0,,,,,100,,,,,0.4245998203391969,0.2463424373085754,0.4926848746171508,0.5110812322483854,0.98989898989899,-1.0
mwu,beta_route,17,0.0,1.0,,,,,500,,,,,0.4245998203391969,0.0007464428277416113,0.001492885655483197,0.5110812322483854,0.9979959919839679,-1.0
mwu,beta_route,18,0.0,1.0,,,,,100,,,,,0.4056081935726148,0.11049401026344863,0.2209880205268972,0.4606869851375758,0.95,-1.0
mwu,beta_route,18,0.0,1.0,,,,,500,,,,,0.4056081935726148,5.8100337408939495e-06,1.1620067481883964e-05,0.4606869851375758,0.99,-1.0
mwu,beta_route,19,0.0,1.0,,,,,100,,,,,0.3032700375474131,0.07474697463112734,0.14949394926225468,0.4356135488576036,0.98989898989899,1.0
mwu,beta_route,19,0.0,1.0,,,,,500,,,,,0.3032700375474131,1.9115322325014006e-08,3.823064454106777e-08,0.4356135488576036,0.9979959919839679,1.0
mwu,beta_route,0,0.0,2.0,,,,,100,,,,,0.3741125820657464,0.08137048441833372,0.16274096883666742,0.40766151971885134,0.98,-2.0
mwu,beta_route,0,0.0,2.0,,,,,500,,,,,0.3741125820657464,2.7549541237070763e-05,5.509908247405822e-05,0.40766151971885134,0.996,-2.0
mwu,beta_route,1,0.0,2.0,,,,,100,,,,,0.3932326224014653,0.4663246503018432,0.9326493006036863,0.4663246503018432,0.9797979797979798,0.0
mwu,beta_route,1,0.0,2.0,,,,,500,,,,,0.4786216002108912,0.310035230235608,0.620070460471216,0.49100444539244903,0.9959919839679359,0.0
mwu,beta_route,2,0.0,2.0,,,,,100,,,,,0.3168479189089771,0.0926548580894001,0.18530971617880018,0.40220095712662696,0.98989898989899,-1.0
mwu,beta_route,2,0.0,2.0,,,,,500,,,,,0.3168479189089771,2.8925848427618917e-07,5.785169685933983e-07,0.40220095712662696,0.9979959919839679,-1.0
