n_states,n_actions,agent,agreement,agreement_std,chance_agreement,return_pct_optimal,random_pct_optimal,final_return,optimal_return
2,2,overwrite,0.9879999999999999,0.013266499161421611,0.5,54.92250037193298,51.59750328063965,109.84500074386597,200.0
2,3,overwrite,0.9800000000000001,0.008944271909999166,0.3333333333333333,35.25750074386597,37.25250015258789,70.51500148773194,200.0
2,4,overwrite,0.9780000000000001,0.014000000000000012,0.25,25.377500152587892,32.02749900817871,50.755000305175784,200.0
3,2,overwrite,0.976,0.014966629547095779,0.5,61.80999937057495,52.690002822875975,123.6199987411499,200.0
3,3,overwrite,0.9579999999999999,0.018867962264113226,0.3333333333333333,30.650000762939452,38.29750137329101,61.300001525878905,200.0
3,4,overwrite,0.954,0.03231098884280702,0.25,33.26250009536743,27.27749843597412,66.52500019073486,200.0
4,2,overwrite,0.9620000000000001,0.02441311123146741,0.5,49.79250144958496,50.88500328063965,99.58500289916992,200.0
4,3,overwrite,0.944,0.01959591794226542,0.3333333333333333,41.052501392364505,36.87249946594238,82.10500278472901,200.0
4,4,overwrite,0.9259999999999999,0.020099751242241753,0.25,37.0150013923645,27.229999351501466,74.030002784729,200.0
5,2,overwrite,0.938,0.02271563338320107,0.5,52.59500102996826,52.3575023651123,105.19000205993652,200.0
5,3,overwrite,0.9260000000000002,0.0269072480941474,0.3333333333333333,47.08500208854675,36.68250007629395,94.1700041770935,200.0
5,4,overwrite,0.93,0.029999999999999975,0.25,37.442501068115234,28.084999656677248,74.88500213623047,200.0
6,2,overwrite,0.9399999999999998,0.01549193338482964,0.5,63.805002975463864,53.40250434875488,127.61000595092773,200.0
6,3,overwrite,0.9059999999999999,0.03693237062523876,0.3333333333333333,50.41000213623047,36.6350004196167,100.82000427246093,200.0
6,4,overwrite,0.9,0.028284271247461894,0.25,31.884999656677245,28.41749858856201,63.76999931335449,200.0
7,2,overwrite,0.9200000000000002,0.019999999999999976,0.5,57.34500293731689,53.35500297546387,114.69000587463378,200.0
7,3,overwrite,0.9,0.033466401061363026,0.3333333333333333,43.61750154495239,36.4450008392334,87.23500308990478,200.0
7,4,overwrite,0.868,0.0285657137141714,0.25,29.8424991607666,30.554999160766602,59.6849983215332,200.0
8,2,overwrite,0.8859999999999999,0.03800000000000002,0.5,62.23750343322754,53.4975025177002,124.47500686645508,200.0
8,3,overwrite,0.8400000000000001,0.06131883886702357,0.3333333333333333,45.85000114440918,36.58750114440918,91.70000228881835,200.0
8,4,overwrite,0.8099999999999999,0.048373546489791294,0.25,38.72500057220459,29.74749870300293,77.45000114440919,200.0
