layer,head,query_token,BOS,ctx_0,ctx_1,ctx_2,ctx_3,QCUR,S1,A2,R,QNXT,S3,A0,S3,A1,S3,A2,S3,A3,SEL,A2,UPD
1,0,SELECT,0.017259707674384117,0.0232998039573431,0.00981766264885664,0.00890394952148199,0.022316420450806618,0.0043214960023760796,0.04051874577999115,0.007474178448319435,0.0019209538586437702,0.002710165223106742,0.22419317066669464,0.0060455226339399815,0.19479745626449585,0.00452785799279809,0.19345450401306152,0.0029753041453659534,0.2247757613658905,0.005208254791796207,0.005479061510413885,0.0,0.0
1,0,UPDATE,0.001269172178581357,0.08923926949501038,0.23281200230121613,0.5627021193504333,0.0001696166000328958,0.00013851601397618651,0.0037763225845992565,0.0003292658366262913,0.0031427654903382063,0.0011776555329561234,0.025683781132102013,0.0016113683814182878,0.02291044220328331,0.002759873867034912,0.022235723212361336,0.0005213181721046567,0.02310323715209961,0.0009889984503388405,0.0030440702103078365,0.0013421489857137203,0.001042359508574009
1,1,SELECT,0.010647179558873177,0.031498901546001434,0.041999366134405136,0.014290207996964455,0.13663020730018616,0.003420983674004674,0.5201727747917175,0.03623194992542267,0.0012751478934660554,0.007414228282868862,0.054916828870773315,0.005855949595570564,0.03283388912677765,0.004592526238411665,0.023347891867160797,0.007024679332971573,0.0547642856836319,0.002236944856122136,0.010846097953617573,0.0,0.0
1,1,UPDATE,0.010742509737610817,0.012162876315414906,0.019747808575630188,0.019543975591659546,0.03882681205868721,0.018249068409204483,0.03696900233626366,0.02291661687195301,0.01955263875424862,0.02022307552397251,0.008686971850693226,0.057179730385541916,0.008457358926534653,0.12728364765644073,0.008568481542170048,0.025456763803958893,0.0675167664885521,0.05639227107167244,0.006780395284295082,0.37878847122192383,0.035954780876636505
1,2,SELECT,0.00023263336333911866,0.0004045655077788979,0.000953402544837445,0.0006902128807269037,0.001976619940251112,2.377652344875969e-05,0.01706390269100666,0.0011076139053329825,7.1114450292952824e-06,3.314917557872832e-05,0.3189677298069,8.684689964866266e-05,0.22798572480678558,0.0005174296675249934,0.11383817344903946,0.0001905066310428083,0.3158482313156128,4.295414328225888e-05,2.9485961931641214e-05,0.0,0.0
1,2,UPDATE,0.012523227371275425,0.009037054143846035,0.011827655136585236,0.010741038247942924,0.006564687937498093,0.011349846608936787,0.002171768806874752,0.009587164968252182,0.007443967740982771,0.018515000119805336,0.0007719013374298811,0.015673896297812462,0.0014474716736003757,0.032528191804885864,0.0006251843878999352,0.03708432987332344,0.011713949032127857,0.0232247281819582,0.007127063348889351,0.7478700280189514,0.02217179909348488
1,3,SELECT,0.014828202314674854,0.0011484186397865415,0.0005726699018850923,0.0036989140789955854,0.17190971970558167,0.01088882889598608,0.004875308368355036,0.029981058090925217,0.042291197925806046,0.0006943766493350267,0.25499406456947327,0.0009186661336570978,0.14629119634628296,0.0010407636873424053,0.11618152260780334,0.002190810162574053,0.19684383273124695,0.0004155747883487493,0.00023483259428758174,0.0,0.0
1,3,UPDATE,0.003592028981074691,0.5107482075691223,0.07712488621473312,0.01158192753791809,0.0024408306926488876,0.0006738809170201421,0.002762341406196356,0.005025665275752544,0.0012824463192373514,0.0018578044837340713,0.002407579217106104,0.0022170215379446745,0.0019386506173759699,0.013217698782682419,0.0013955070171505213,0.004138070158660412,0.013556916266679764,0.006880140397697687,0.010992386378347874,0.3196185827255249,0.0065474784933030605
1,4,SELECT,0.005692720413208008,0.02163337729871273,0.03446676954627037,0.01970403827726841,0.0007477892213501036,0.0010210865875706077,0.05311431363224983,0.003704336006194353,0.0013872924027964473,0.006311079952865839,0.25778475403785706,0.005483209155499935,0.19491903483867645,0.016783691942691803,0.1484941840171814,0.001767307287082076,0.22116106748580933,0.0028248748276382685,0.00299906637519598,0.0,0.0
1,4,UPDATE,0.023800034075975418,0.6428899168968201,0.0275045707821846,0.02151821367442608,0.0002981460129376501,0.0020366732496768236,0.0006861698348075151,0.0008577847038395703,0.0012472809758037329,0.003856243332847953,0.06490421295166016,0.004339790437370539,0.05534769594669342,0.009975193999707699,0.05478694662451744,0.0022275589872151613,0.06702763587236404,0.0037202874664217234,0.004029514733701944,0.0055538322776556015,0.003392368322238326
1,5,SELECT,0.0001665842137299478,0.00017364807717967778,0.00045052310451865196,0.0004646476299967617,0.0017155964160338044,0.0007954909233376384,0.0008828076533973217,0.017179254442453384,0.9737144112586975,5.237213190412149e-05,3.145825758110732e-05,0.0005392428138293326,1.4318413377623074e-05,0.0010832434054464102,4.611323674907908e-05,0.0007274552481248975,2.7994392439723015e-05,0.0008309187251143157,0.0011039971141144633,0.0,0.0
