family,condition,description,agent,final_return,final_return_std,pct_optimal,optimal,random,random_pct_optimal
eval,intact,True reward (control),continuous_overwrite transformer,98.02410659790038,12.538305539672468,64.26116782628584,152.54018859863282,105.35603561401368,69.06772345170546
eval,intact,True reward (control),"continuous_overwrite transformer, eps-greedy",99.62261581420898,10.479401821610022,65.30909442910043,152.54018859863282,105.35603561401368,69.06772345170546
eval,intact,True reward (control),eps-greedy Q,119.03316192626953,12.295372041521471,78.03396797906962,152.54018859863282,105.35603561401368,69.06772345170546
eval,intact,True reward (control),greedy Q,113.91711196899413,13.450035497937684,74.68006498191464,152.54018859863282,105.35603561401368,69.06772345170546
eval,zeroed,Reward always 0,continuous_overwrite transformer,99.68763427734375,12.724371250834194,65.35171825416062,152.54018859863282,105.35603561401368,69.06772345170546
eval,zeroed,Reward always 0,"continuous_overwrite transformer, eps-greedy",99.8344337463379,13.261113143801207,65.44795483964197,152.54018859863282,105.35603561401368,69.06772345170546
eval,zeroed,Reward always 0,eps-greedy Q,104.58690948486328,8.637978572689086,68.5635113249104,152.54018859863282,105.35603561401368,69.06772345170546
eval,zeroed,Reward always 0,greedy Q,104.58690948486328,8.637978572689086,68.5635113249104,152.54018859863282,105.35603561401368,69.06772345170546
eval,constant,Reward always 0.5,continuous_overwrite transformer,95.4041534423828,12.296061851092846,62.54361838597982,152.54018859863282,105.35603561401368,69.06772345170546
eval,constant,Reward always 0.5,"continuous_overwrite transformer, eps-greedy",98.6908966064453,11.362936177219872,64.69829198003879,152.54018859863282,105.35603561401368,69.06772345170546
eval,constant,Reward always 0.5,eps-greedy Q,110.84058837890625,14.260172911610628,72.66320397082535,152.54018859863282,105.35603561401368,69.06772345170546
eval,constant,Reward always 0.5,greedy Q,113.91711196899413,13.450035497937684,74.68006498191464,152.54018859863282,105.35603561401368,69.06772345170546
eval,decorrelated,"Reward resampled from R (marginal preserved, link broken)",continuous_overwrite transformer,94.36146850585938,12.881982139967347,61.86007069530076,152.54018859863282,105.35603561401368,69.06772345170546
