beta,beta_max,max_err,mean_err,greedy_agree,min_greedy_agree,self_vs_teacher,n
50.0,1000.0,0.0001937407282214254,3.319086602864529e-05,1.0,1.0,0.0,252
50.0,10000.0,1.2532067795945068e-05,5.225422994583049e-07,1.0,1.0,0.0,252
50.0,100000.0,1.076815255851571e-06,3.681679891393933e-08,1.0,1.0,0.0,252
1000.0,1000.0,0.00019373922928495046,3.317103964274398e-05,1.0,1.0,0.0,252
1000.0,10000.0,1.2530686779504974e-05,4.930237756557124e-07,1.0,1.0,0.0,252
1000.0,100000.0,1.0762743418712972e-06,4.379466737134183e-09,1.0,1.0,0.0,252
10000.0,1000.0,0.00019373922928495046,3.317103964274398e-05,1.0,1.0,0.0,252
10000.0,10000.0,1.2530686779504974e-05,4.930237756557124e-07,1.0,1.0,0.0,252
10000.0,100000.0,1.0762743418712972e-06,4.379466737134183e-09,1.0,1.0,0.0,252
