beta,beta_max,nA,nS,alpha,gamma,rewards,seed,max_err,greedy_agree,self_vs_teacher
1000.0,10000.0,2,2,0.1,0.9,clean,1,1.8784973576657649e-13,1.0,0.0
1000.0,10000.0,2,8,0.1,0.9,noisy_negative,0,2.677372212822604e-13,1.0,0.0
1000.0,10000.0,2,2,0.1,0.9,noisy_negative,1,5.293276148163328e-07,1.0,0.0
1000.0,10000.0,2,8,0.1,0.95,clean,0,1.9695356456850277e-13,1.0,0.0
1000.0,10000.0,2,2,0.1,0.95,clean,1,2.0605739337042905e-13,1.0,0.0
1000.0,10000.0,2,8,0.1,0.95,noisy_negative,0,1.585752732596868e-08,1.0,0.0
1000.0,10000.0,2,2,0.1,0.95,noisy_negative,1,1.6954357588000457e-07,1.0,0.0
1000.0,10000.0,2,8,0.2,0.9,clean,0,8.215650382226158e-14,1.0,0.0
1000.0,10000.0,2,2,0.2,0.9,clean,1,1.4477308241112041e-13,1.0,0.0
1000.0,10000.0,2,8,0.2,0.9,noisy_negative,0,1.307181668463997e-09,1.0,0.0
1000.0,10000.0,2,2,0.2,0.9,noisy_negative,1,7.67843387483591e-08,1.0,0.0
1000.0,10000.0,2,8,0.2,0.95,clean,0,1.176836406102666e-13,1.0,0.0
1000.0,10000.0,2,2,0.2,0.95,clean,1,2.984279490192421e-13,1.0,0.0
1000.0,10000.0,2,8,0.2,0.95,noisy_negative,0,5.81756864903582e-14,1.0,0.0
1000.0,10000.0,2,2,0.2,0.95,noisy_negative,1,3.011739191371987e-10,1.0,0.0
1000.0,10000.0,2,8,0.5,0.9,clean,0,3.0217518443009794e-07,1.0,0.0
1000.0,10000.0,2,2,0.5,0.9,clean,1,1.3677947663381929e-13,1.0,0.0
1000.0,10000.0,2,8,0.5,0.9,noisy_negative,0,4.2299497238218464e-14,1.0,0.0
1000.0,10000.0,2,2,0.5,0.9,noisy_negative,1,1.2526794371137129e-05,1.0,0.0
1000.0,10000.0,2,8,0.5,0.95,clean,0,7.105427357601002e-14,1.0,0.0
1000.0,10000.0,2,2,0.5,0.95,clean,1,1.928679438378822e-11,1.0,0.0
1000.0,10000.0,2,8,0.5,0.95,noisy_negative,0,3.552713678800501e-14,1.0,0.0
1000.0,10000.0,2,2,0.5,0.95,noisy_negative,1,5.542233338928781e-13,1.0,0.0
1000.0,10000.0,3,8,0.1,0.9,clean,0,1.5520917884259688e-13,1.0,0.0
1000.0,10000.0,3,2,0.1,0.9,clean,1,5.044853423896711e-13,1.0,0.0
1000.0,10000.0,3,8,0.1,0.9,noisy_negative,0,2.356575455719767e-06,1.0,0.0
1000.0,10000.0,3,2,0.1,0.9,noisy_negative,1,2.414528091548851e-06,1.0,0.0
1000.0,10000.0,3,8,0.1,0.95,clean,0,1.667554982986985e-13,1.0,0.0
1000.0,10000.0,3,2,0.1,0.95,clean,1,6.323830348264892e-13,1.0,0.0
1000.0,10000.0,3,8,0.1,0.95,noisy_negative,0,2.660737282611514e-06,1.0,0.0
1000.0,10000.0,3,2,0.1,0.95,noisy_negative,1,2.6166153010986903e-07,1.0,0.0
1000.0,10000.0,3,8,0.2,0.9,clean,0,1.247890679678676e-13,1.0,0.0
1000.0,10000.0,3,2,0.2,0.9,clean,1,1.092459456231154e-13,1.0,0.0
1000.0,10000.0,3,8,0.2,0.9,noisy_negative,0,1.2650373248934699e-09,1.0,0.0
1000.0,10000.0,3,2,0.2,0.9,noisy_negative,1,1.2137973959269743e-10,1.0,0.0
1000.0,10000.0,3,8,0.2,0.95,clean,0,1.3633538742396922e-13,1.0,0.0
1000.0,10000.0,3,2,0.2,0.95,clean,1,2.2737367544323206e-13,1.0,0.0
1000.0,10000.0,3,8,0.2,0.95,noisy_negative,0,4.199811332039616e-11,1.0,0.0
1000.0,10000.0,3,2,0.2,0.95,noisy_negative,1,4.39648317751562e-14,1.0,0.0
1000.0,10000.0,3,8,0.5,0.9,clean,0,7.194245199571014e-14,1.0,0.0
1000.0,10000.0,3,2,0.5,0.9,clean,1,8.704148513061227e-14,1.0,0.0
1000.0,10000.0,3,8,0.5,0.9,noisy_negative,0,4.0190073491430667e-14,1.0,0.0
1000.0,10000.0,3,2,0.5,0.9,noisy_negative,1,2.645084151708943e-11,1.0,0.0
1000.0,10000.0,3,8,0.5,0.95,clean,0,1.3868817205775485e-10,1.0,0.0
1000.0,10000.0,3,2,0.5,0.95,clean,1,1.9184653865522705e-13,1.0,0.0
1000.0,10000.0,3,8,0.5,0.95,noisy_negative,0,2.5962485272756908e-08,1.0,0.0
1000.0,10000.0,3,2,0.5,0.95,noisy_negative,1,1.3136158827364852e-12,1.0,0.0
1000.0,10000.0,4,8,0.1,0.9,clean,0,1.1324274851176597e-13,1.0,0.0
1000.0,10000.0,4,2,0.1,0.9,clean,1,5.639932965095795e-13,1.0,0.0
1000.0,10000.0,4,8,0.1,0.9,noisy_negative,0,2.4859909209390407e-06,1.0,0.0
1000.0,10000.0,4,2,0.1,0.9,noisy_negative,1,6.772360450213455e-14,1.0,0.0
1000.0,10000.0,4,8,0.1,0.95,clean,0,1.5898393712632242e-13,1.0,0.0
1000.0,10000.0,4,2,0.1,0.95,clean,1,6.110667527536862e-13,1.0,0.0
1000.0,10000.0,4,8,0.1,0.95,noisy_negative,0,1.6001356327177696e-06,1.0,0.0
1000.0,10000.0,4,2,0.1,0.95,noisy_negative,1,1.545430450278218e-13,1.0,0.0
1000.0,10000.0,4,8,0.2,0.9,clean,0,6.750155989720952e-14,1.0,0.0
1000.0,10000.0,4,2,0.2,0.9,clean,1,2.0155979330027662e-06,1.0,0.0
1000.0,10000.0,4,8,0.2,0.9,noisy_negative,0,4.851494647017951e-06,1.0,0.0
1000.0,10000.0,4,2,0.2,0.9,noisy_negative,1,1.916182629901897e-06,1.0,0.0
1000.0,10000.0,4,8,0.2,0.95,clean,0,5.595524044110789e-14,1.0,0.0
1000.0,10000.0,4,2,0.2,0.95,clean,1,1.056932319443149e-13,1.0,0.0
1000.0,10000.0,4,8,0.2,0.95,noisy_negative,0,6.804083130251826e-10,1.0,0.0
1000.0,10000.0,4,2,0.2,0.95,noisy_negative,1,5.773159728050814e-14,1.0,0.0
1000.0,10000.0,4,8,0.5,0.9,clean,0,7.904787935331115e-14,1.0,0.0
1000.0,10000.0,4,2,0.5,0.9,clean,1,1.5851293611035544e-09,1.0,0.0
1000.0,10000.0,4,8,0.5,0.9,noisy_negative,0,8.499151576968345e-09,1.0,0.0
1000.0,10000.0,4,2,0.5,0.9,noisy_negative,1,1.0953354154796813e-05,1.0,0.0
1000.0,10000.0,4,8,0.5,0.95,clean,0,1.092459456231154e-13,1.0,0.0
1000.0,10000.0,4,2,0.5,0.95,clean,1,1.893241119432787e-11,1.0,0.0
1000.0,10000.0,4,8,0.5,0.95,noisy_negative,0,4.8183679268731794e-14,1.0,0.0
1000.0,10000.0,4,2,0.5,0.95,noisy_negative,1,1.7834095533686423e-08,1.0,0.0
1000.0,100000.0,2,8,0.1,0.9,clean,0,1.7474910407599964e-13,1.0,0.0
1000.0,100000.0,2,2,0.1,0.9,clean,1,1.8784973576657649e-13,1.0,0.0
1000.0,100000.0,2,8,0.1,0.9,noisy_negative,0,4.0190073491430667e-14,1.0,0.0
1000.0,100000.0,2,2,0.1,0.9,noisy_negative,1,1.2773115898312426e-13,1.0,0.0
1000.0,100000.0,2,8,0.1,0.95,clean,0,1.9695356456850277e-13,1.0,0.0
1000.0,100000.0,2,2,0.1,0.95,clean,1,2.0605739337042905e-13,1.0,0.0
1000.0,100000.0,2,8,0.1,0.95,noisy_negative,0,5.295763827461997e-14,1.0,0.0
1000.0,100000.0,2,2,0.1,0.95,noisy_negative,1,1.2773115898312426e-13,1.0,0.0
1000.0,100000.0,2,8,0.2,0.9,clean,0,8.215650382226158e-14,1.0,0.0
1000.0,100000.0,2,2,0.2,0.9,clean,1,1.4477308241112041e-13,1.0,0.0
1000.0,100000.0,2,8,0.2,0.9,noisy_negative,0,4.6629367034256575e-14,1.0,0.0
1000.0,100000.0,2,2,0.2,0.9,noisy_negative,1,6.611378111642807e-14,1.0,0.0
1000.0,100000.0,2,8,0.2,0.95,clean,0,1.176836406102666e-13,1.0,0.0
1000.0,100000.0,2,2,0.2,0.95,clean,1,2.984279490192421e-13,1.0,0.0
1000.0,100000.0,2,8,0.2,0.95,noisy_negative,0,5.81756864903582e-14,1.0,0.0
1000.0,100000.0,2,2,0.2,0.95,noisy_negative,1,1.2140288774276087e-13,1.0,0.0
1000.0,100000.0,2,8,0.5,0.9,clean,0,5.773159728050814e-14,1.0,0.0
1000.0,100000.0,2,2,0.5,0.9,clean,1,1.3677947663381929e-13,1.0,0.0
1000.0,100000.0,2,8,0.5,0.9,noisy_negative,0,4.2299497238218464e-14,1.0,0.0
1000.0,100000.0,2,2,0.5,0.9,noisy_negative,1,1.2324319342837953e-10,1.0,0.0
1000.0,100000.0,2,8,0.5,0.95,clean,0,7.105427357601002e-14,1.0,0.0
1000.0,100000.0,2,2,0.5,0.95,clean,1,2.042810365310288e-13,1.0,0.0
1000.0,100000.0,2,8,0.5,0.95,noisy_negative,0,3.552713678800501e-14,1.0,0.0
1000.0,100000.0,2,2,0.5,0.95,noisy_negative,1,8.298917109073045e-14,1.0,0.0
1000.0,100000.0,3,8,0.1,0.9,clean,0,1.5520917884259688e-13,1.0,0.0
1000.0,100000.0,3,2,0.1,0.9,clean,1,5.044853423896711e-13,1.0,0.0
1000.0,100000.0,3,8,0.1,0.9,noisy_negative,0,8.611831803229109e-10,1.0,0.0
1000.0,100000.0,3,2,0.1,0.9,noisy_negative,1,1.3758438832667252e-13,1.0,0.0
1000.0,100000.0,3,8,0.1,0.95,clean,0,1.667554982986985e-13,1.0,0.0
1000.0,100000.0,3,2,0.1,0.95,clean,1,6.323830348264892e-13,1.0,0.0
1000.0,100000.0,3,8,0.1,0.95,noisy_negative,0,8.170053522604803e-11,1.0,0.0
1000.0,100000.0,3,2,0.1,0.95,noisy_negative,1,7.72715225139109e-14,1.0,0.0
1000.0,100000.0,3,8,0.2,0.9,clean,0,1.247890679678676e-13,1.0,0.0
1000.0,100000.0,3,2,0.2,0.9,clean,1,1.092459456231154e-13,1.0,0.0
1000.0,100000.0,3,8,0.2,0.9,noisy_negative,0,4.418687638008123e-14,1.0,0.0
1000.0,100000.0,3,2,0.2,0.9,noisy_negative,1,8.08242361927114e-14,1.0,0.0
1000.0,100000.0,3,8,0.2,0.95,clean,0,1.3633538742396922e-13,1.0,0.0
1000.0,100000.0,3,2,0.2,0.95,clean,1,2.2737367544323206e-13,1.0,0.0
1000.0,100000.0,3,8,0.2,0.95,noisy_negative,0,5.284661597215745e-14,1.0,0.0
1000.0,100000.0,3,2,0.2,0.95,noisy_negative,1,4.39648317751562e-14,1.0,0.0
1000.0,100000.0,3,8,0.5,0.9,clean,0,7.194245199571014e-14,1.0,0.0
1000.0,100000.0,3,2,0.5,0.9,clean,1,8.704148513061227e-14,1.0,0.0
1000.0,100000.0,3,8,0.5,0.9,noisy_negative,0,4.0190073491430667e-14,1.0,0.0
1000.0,100000.0,3,2,0.5,0.9,noisy_negative,1,7.593925488436071e-14,1.0,0.0
1000.0,100000.0,3,8,0.5,0.95,clean,0,8.348877145181177e-14,1.0,0.0
1000.0,100000.0,3,2,0.5,0.95,clean,1,1.9184653865522705e-13,1.0,0.0
1000.0,100000.0,3,8,0.5,0.95,noisy_negative,0,3.863576125695545e-14,1.0,0.0
1000.0,100000.0,3,2,0.5,0.95,noisy_negative,1,7.283063041541027e-14,1.0,0.0
1000.0,100000.0,4,8,0.1,0.9,clean,0,1.1324274851176597e-13,1.0,0.0
1000.0,100000.0,4,2,0.1,0.9,clean,1,5.639932965095795e-13,1.0,0.0
1000.0,100000.0,4,8,0.1,0.9,noisy_negative,0,4.995066646418245e-08,1.0,0.0
1000.0,100000.0,4,2,0.1,0.9,noisy_negative,1,6.772360450213455e-14,1.0,0.0
1000.0,100000.0,4,8,0.1,0.95,clean,0,1.5898393712632242e-13,1.0,0.0
1000.0,100000.0,4,2,0.1,0.95,clean,1,7.425171588693047e-13,1.0,0.0
1000.0,100000.0,4,8,0.1,0.95,noisy_negative,0,5.051514762044462e-14,1.0,0.0
1000.0,100000.0,4,2,0.1,0.95,noisy_negative,1,1.545430450278218e-13,1.0,0.0
1000.0,100000.0,4,8,0.2,0.9,clean,0,6.750155989720952e-14,1.0,0.0
1000.0,100000.0,4,2,0.2,0.9,clean,1,9.414691248821327e-14,1.0,0.0
1000.0,100000.0,4,8,0.2,0.9,noisy_negative,0,7.605321927783848e-10,1.0,0.0
1000.0,100000.0,4,2,0.2,0.9,noisy_negative,1,7.882583474838611e-14,1.0,0.0
1000.0,100000.0,4,8,0.2,0.95,clean,0,5.595524044110789e-14,1.0,0.0
1000.0,100000.0,4,2,0.2,0.95,clean,1,1.056932319443149e-13,1.0,0.0
1000.0,100000.0,4,8,0.2,0.95,noisy_negative,0,4.3520742565306136e-14,1.0,0.0
1000.0,100000.0,4,2,0.2,0.95,noisy_negative,1,5.773159728050814e-14,1.0,0.0
1000.0,100000.0,4,8,0.5,0.9,clean,0,7.904787935331115e-14,1.0,0.0
1000.0,100000.0,4,2,0.5,0.9,clean,1,1.0658141036401503e-13,1.0,0.0
1000.0,100000.0,4,8,0.5,0.9,noisy_negative,0,5.3290705182007514e-14,1.0,0.0
1000.0,100000.0,4,2,0.5,0.9,noisy_negative,1,3.468336728928989e-13,1.0,0.0
1000.0,100000.0,4,8,0.5,0.95,clean,0,1.092459456231154e-13,1.0,0.0
1000.0,100000.0,4,2,0.5,0.95,clean,1,1.9184653865522705e-13,1.0,0.0
1000.0,100000.0,4,8,0.5,0.95,noisy_negative,0,4.8183679268731794e-14,1.0,0.0
1000.0,100000.0,4,2,0.5,0.95,noisy_negative,1,6.217248937900877e-14,1.0,0.0
10000.0,1000.0,2,8,0.1,0.9,clean,0,4.4969572288167114e-08,1.0,0.0
10000.0,1000.0,2,2,0.1,0.9,clean,1,1.8784973576657649e-13,1.0,0.0
10000.0,1000.0,2,8,0.1,0.9,noisy_negative,0,2.1676215394568488e-05,1.0,0.0
10000.0,1000.0,2,2,0.1,0.9,noisy_negative,1,5.888013822530347e-05,1.0,0.0
10000.0,1000.0,2,8,0.1,0.95,clean,0,8.044214469538069e-08,1.0,0.0
10000.0,1000.0,2,2,0.1,0.95,clean,1,2.0605739337042905e-13,1.0,0.0
10000.0,1000.0,2,8,0.1,0.95,noisy_negative,0,2.4677046557765314e-05,1.0,0.0
10000.0,1000.0,2,2,0.1,0.95,noisy_negative,1,3.761761569646277e-05,1.0,0.0
10000.0,1000.0,2,8,0.2,0.9,clean,0,2.788521497326668e-05,1.0,0.0
10000.0,1000.0,2,2,0.2,0.9,clean,1,1.4477308241112041e-13,1.0,0.0
10000.0,1000.0,2,8,0.2,0.9,noisy_negative,0,5.041015186765807e-05,1.0,0.0
10000.0,1000.0,2,2,0.2,0.9,noisy_negative,1,9.600829941902589e-05,1.0,0.0
10000.0,1000.0,2,8,0.2,0.95,clean,0,6.912225231692215e-06,1.0,0.0
10000.0,1000.0,2,2,0.2,0.95,clean,1,2.984279490192421e-13,1.0,0.0
10000.0,1000.0,2,8,0.2,0.95,noisy_negative,0,1.5199955420125422e-05,1.0,0.0
10000.0,1000.0,2,2,0.2,0.95,noisy_negative,1,8.469707477609667e-05,1.0,0.0
10000.0,1000.0,2,8,0.5,0.9,clean,0,0.00010403841952566495,1.0,0.0
10000.0,1000.0,2,2,0.5,0.9,clean,1,5.473793280508232e-05,1.0,0.0
10000.0,1000.0,2,8,0.5,0.9,noisy_negative,0,7.348661212802643e-05,1.0,0.0
10000.0,1000.0,2,2,0.5,0.9,noisy_negative,1,3.262814437432482e-05,1.0,0.0
10000.0,1000.0,2,8,0.5,0.95,clean,0,1.8543561353112636e-08,1.0,0.0
10000.0,1000.0,2,2,0.5,0.95,clean,1,0.00013774386643472525,1.0,0.0
10000.0,1000.0,2,8,0.5,0.95,noisy_negative,0,3.821037359785784e-05,1.0,0.0
10000.0,1000.0,2,2,0.5,0.95,noisy_negative,1,0.00010813299847711733,1.0,0.0
10000.0,1000.0,3,8,0.1,0.9,clean,0,1.0266422243054851e-05,1.0,0.0
10000.0,1000.0,3,2,0.1,0.9,clean,1,1.977935968344724e-07,1.0,0.0
10000.0,1000.0,3,8,0.1,0.9,noisy_negative,0,3.4110940589582306e-05,1.0,0.0
10000.0,1000.0,3,2,0.1,0.9,noisy_negative,1,2.928093391726949e-05,1.0,0.0
10000.0,1000.0,3,8,0.1,0.95,clean,0,8.303996893277432e-06,1.0,0.0
10000.0,1000.0,3,2,0.1,0.95,clean,1,9.928574388362588e-06,1.0,0.0
10000.0,1000.0,3,8,0.1,0.95,noisy_negative,0,6.410527696543156e-05,1.0,0.0
10000.0,1000.0,3,2,0.1,0.95,noisy_negative,1,3.658590098765124e-05,1.0,0.0
10000.0,1000.0,3,8,0.2,0.9,clean,0,8.596456879672587e-13,1.0,0.0
10000.0,1000.0,3,2,0.2,0.9,clean,1,1.092459456231154e-13,1.0,0.0
10000.0,1000.0,3,8,0.2,0.9,noisy_negative,0,5.0014994092739684e-05,1.0,0.0
10000.0,1000.0,3,2,0.2,0.9,noisy_negative,1,8.39131237176105e-05,1.0,0.0
10000.0,1000.0,3,8,0.2,0.95,clean,0,1.3633538742396922e-13,1.0,0.0
10000.0,1000.0,3,2,0.2,0.95,clean,1,2.2737367544323206e-13,1.0,0.0
10000.0,1000.0,3,8,0.2,0.95,noisy_negative,0,5.129188091521075e-05,1.0,0.0
10000.0,1000.0,3,2,0.2,0.95,noisy_negative,1,3.0731784359722125e-05,1.0,0.0
10000.0,1000.0,3,8,0.5,0.9,clean,0,4.931490771298286e-10,1.0,0.0
10000.0,1000.0,3,2,0.5,0.9,clean,1,8.704148513061227e-14,1.0,0.0
10000.0,1000.0,3,8,0.5,0.9,noisy_negative,0,3.451894474371109e-05,1.0,0.0
10000.0,1000.0,3,2,0.5,0.9,noisy_negative,1,0.00011757759633201914,1.0,0.0
10000.0,1000.0,3,8,0.5,0.95,clean,0,0.00012894435333965504,1.0,0.0
10000.0,1000.0,3,2,0.5,0.95,clean,1,1.9184653865522705e-13,1.0,0.0
10000.0,1000.0,3,8,0.5,0.95,noisy_negative,0,0.00012705955727887464,1.0,0.0
10000.0,1000.0,3,2,0.5,0.95,noisy_negative,1,0.00012437407260490474,1.0,0.0
10000.0,1000.0,4,8,0.1,0.9,clean,0,4.787163870756395e-06,1.0,0.0
10000.0,1000.0,4,2,0.1,0.9,clean,1,1.793586219861476e-05,1.0,0.0
10000.0,1000.0,4,8,0.1,0.9,noisy_negative,0,2.8671911893846103e-05,1.0,0.0
10000.0,1000.0,4,2,0.1,0.9,noisy_negative,1,4.1411041575845076e-06,1.0,0.0
10000.0,1000.0,4,8,0.1,0.95,clean,0,5.039366762216169e-06,1.0,0.0
10000.0,1000.0,4,2,0.1,0.95,clean,1,2.1245810014058897e-05,1.0,0.0
10000.0,1000.0,4,8,0.1,0.95,noisy_negative,0,4.285551170771229e-05,1.0,0.0
10000.0,1000.0,4,2,0.1,0.95,noisy_negative,1,3.461528398668312e-06,1.0,0.0
10000.0,1000.0,4,8,0.2,0.9,clean,0,1.3186733246572935e-05,1.0,0.0
10000.0,1000.0,4,2,0.2,0.9,clean,1,2.6501427091041307e-05,1.0,0.0
10000.0,1000.0,4,8,0.2,0.9,noisy_negative,0,5.029347099350101e-05,1.0,0.0
10000.0,1000.0,4,2,0.2,0.9,noisy_negative,1,4.2127320985407835e-05,1.0,0.0
10000.0,1000.0,4,8,0.2,0.95,clean,0,2.6402840562766983e-06,1.0,0.0
10000.0,1000.0,4,2,0.2,0.95,clean,1,6.127891905904903e-06,1.0,0.0
10000.0,1000.0,4,8,0.2,0.95,noisy_negative,0,5.291152088884865e-05,1.0,0.0
10000.0,1000.0,4,2,0.2,0.95,noisy_negative,1,1.1750245694497341e-07,1.0,0.0
10000.0,1000.0,4,8,0.5,0.9,clean,0,2.5907055167806448e-08,1.0,0.0
10000.0,1000.0,4,2,0.5,0.9,clean,1,0.00012575149099181004,1.0,0.0
10000.0,1000.0,4,8,0.5,0.9,noisy_negative,0,0.00013136187320106352,1.0,0.0
10000.0,1000.0,4,2,0.5,0.9,noisy_negative,1,0.00027949314845823747,1.0,0.0
10000.0,1000.0,4,8,0.5,0.95,clean,0,6.882688196752085e-05,1.0,0.0
10000.0,1000.0,4,2,0.5,0.95,clean,1,0.00012273540938068095,1.0,0.0
10000.0,1000.0,4,8,0.5,0.95,noisy_negative,0,1.394652014430342e-07,1.0,0.0
10000.0,1000.0,4,2,0.5,0.95,noisy_negative,1,0.00014881104776387488,1.0,0.0
10000.0,10000.0,2,8,0.1,0.9,clean,0,1.7474910407599964e-13,1.0,0.0
10000.0,10000.0,2,2,0.1,0.9,clean,1,1.8784973576657649e-13,1.0,0.0
10000.0,10000.0,2,8,0.1,0.9,noisy_negative,0,2.677372212822604e-13,1.0,0.0
10000.0,10000.0,2,2,0.1,0.9,noisy_negative,1,5.293276148163328e-07,1.0,0.0
10000.0,10000.0,2,8,0.1,0.95,clean,0,1.9695356456850277e-13,1.0,0.0
10000.0,10000.0,2,2,0.1,0.95,clean,1,2.0605739337042905e-13,1.0,0.0
10000.0,10000.0,2,8,0.1,0.95,noisy_negative,0,1.585752732596868e-08,1.0,0.0
10000.0,10000.0,2,2,0.1,0.95,noisy_negative,1,1.6954357588000457e-07,1.0,0.0
10000.0,10000.0,2,8,0.2,0.9,clean,0,8.215650382226158e-14,1.0,0.0
10000.0,10000.0,2,2,0.2,0.9,clean,1,1.4477308241112041e-13,1.0,0.0
10000.0,10000.0,2,8,0.2,0.9,noisy_negative,0,1.307181668463997e-09,1.0,0.0
10000.0,10000.0,2,2,0.2,0.9,noisy_negative,1,7.67843387483591e-08,1.0,0.0
10000.0,10000.0,2,8,0.2,0.95,clean,0,1.176836406102666e-13,1.0,0.0
10000.0,10000.0,2,2,0.2,0.95,clean,1,2.984279490192421e-13,1.0,0.0
10000.0,10000.0,2,8,0.2,0.95,noisy_negative,0,5.81756864903582e-14,1.0,0.0
10000.0,10000.0,2,2,0.2,0.95,noisy_negative,1,3.011739191371987e-10,1.0,0.0
10000.0,10000.0,2,8,0.5,0.9,clean,0,3.0217518443009794e-07,1.0,0.0
10000.0,10000.0,2,2,0.5,0.9,clean,1,1.3677947663381929e-13,1.0,0.0
10000.0,10000.0,2,8,0.5,0.9,noisy_negative,0,4.2299497238218464e-14,1.0,0.0
10000.0,10000.0,2,2,0.5,0.9,noisy_negative,1,1.2526794371137129e-05,1.0,0.0
10000.0,10000.0,2,8,0.5,0.95,clean,0,7.105427357601002e-14,1.0,0.0
10000.0,10000.0,2,2,0.5,0.95,clean,1,1.928679438378822e-11,1.0,0.0
10000.0,10000.0,2,8,0.5,0.95,noisy_negative,0,3.552713678800501e-14,1.0,0.0
10000.0,10000.0,2,2,0.5,0.95,noisy_negative,1,5.542233338928781e-13,1.0,0.0
10000.0,10000.0,3,8,0.1,0.9,clean,0,1.5520917884259688e-13,1.0,0.0
10000.0,10000.0,3,2,0.1,0.9,clean,1,5.044853423896711e-13,1.0,0.0
10000.0,10000.0,3,8,0.1,0.9,noisy_negative,0,2.356575455719767e-06,1.0,0.0
10000.0,10000.0,3,2,0.1,0.9,noisy_negative,1,2.414528091548851e-06,1.0,0.0
10000.0,10000.0,3,8,0.1,0.95,clean,0,1.667554982986985e-13,1.0,0.0
10000.0,10000.0,3,2,0.1,0.95,clean,1,6.323830348264892e-13,1.0,0.0
10000.0,10000.0,3,8,0.1,0.95,noisy_negative,0,2.660737282611514e-06,1.0,0.0
10000.0,10000.0,3,2,0.1,0.95,noisy_negative,1,2.6166153010986903e-07,1.0,0.0
10000.0,10000.0,3,8,0.2,0.9,clean,0,1.247890679678676e-13,1.0,0.0
10000.0,10000.0,3,2,0.2,0.9,clean,1,1.092459456231154e-13,1.0,0.0
10000.0,10000.0,3,8,0.2,0.9,noisy_negative,0,1.2650373248934699e-09,1.0,0.0
10000.0,10000.0,3,2,0.2,0.9,noisy_negative,1,1.2137973959269743e-10,1.0,0.0
10000.0,10000.0,3,8,0.2,0.95,clean,0,1.3633538742396922e-13,1.0,0.0
10000.0,10000.0,3,2,0.2,0.95,clean,1,2.2737367544323206e-13,1.0,0.0
10000.0,10000.0,3,8,0.2,0.95,noisy_negative,0,4.199811332039616e-11,1.0,0.0
10000.0,10000.0,3,2,0.2,0.95,noisy_negative,1,4.39648317751562e-14,1.0,0.0
10000.0,10000.0,3,8,0.5,0.9,clean,0,7.194245199571014e-14,1.0,0.0
10000.0,10000.0,3,2,0.5,0.9,clean,1,8.704148513061227e-14,1.0,0.0
10000.0,10000.0,3,8,0.5,0.9,noisy_negative,0,4.0190073491430667e-14,1.0,0.0
10000.0,10000.0,3,2,0.5,0.9,noisy_negative,1,2.645084151708943e-11,1.0,0.0
10000.0,10000.0,3,8,0.5,0.95,clean,0,1.3868817205775485e-10,1.0,0.0
10000.0,10000.0,3,2,0.5,0.95,clean,1,1.9184653865522705e-13,1.0,0.0
10000.0,10000.0,3,8,0.5,0.95,noisy_negative,0,2.5962485272756908e-08,1.0,0.0
10000.0,10000.0,3,2,0.5,0.95,noisy_negative,1,1.3136158827364852e-12,1.0,0.0
10000.0,10000.0,4,8,0.1,0.9,clean,0,1.1324274851176597e-13,1.0,0.0
10000.0,10000.0,4,2,0.1,0.9,clean,1,5.639932965095795e-13,1.0,0.0
10000.0,10000.0,4,8,0.1,0.9,noisy_negative,0,2.4859909209390407e-06,1.0,0.0
10000.0,10000.0,4,2,0.1,0.9,noisy_negative,1,6.772360450213455e-14,1.0,0.0
10000.0,10000.0,4,8,0.1,0.95,clean,0,1.5898393712632242e-13,1.0,0.0
10000.0,10000.0,4,2,0.1,0.95,clean,1,6.110667527536862e-13,1.0,0.0
10000.0,10000.0,4,8,0.1,0.95,noisy_negative,0,1.6001356327177696e-06,1.0,0.0
10000.0,10000.0,4,2,0.1,0.95,noisy_negative,1,1.545430450278218e-13,1.0,0.0
10000.0,10000.0,4,8,0.2,0.9,clean,0,6.750155989720952e-14,1.0,0.0
10000.0,10000.0,4,2,0.2,0.9,clean,1,2.0155979330027662e-06,1.0,0.0
10000.0,10000.0,4,8,0.2,0.9,noisy_negative,0,4.851494647017951e-06,1.0,0.0
10000.0,10000.0,4,2,0.2,0.9,noisy_negative,1,1.916182629901897e-06,1.0,0.0
10000.0,10000.0,4,8,0.2,0.95,clean,0,5.595524044110789e-14,1.0,0.0
10000.0,10000.0,4,2,0.2,0.95,clean,1,1.056932319443149e-13,1.0,0.0
10000.0,10000.0,4,8,0.2,0.95,noisy_negative,0,6.804083130251826e-10,1.0,0.0
10000.0,10000.0,4,2,0.2,0.95,noisy_negative,1,5.773159728050814e-14,1.0,0.0
10000.0,10000.0,4,8,0.5,0.9,clean,0,7.904787935331115e-14,1.0,0.0
10000.0,10000.0,4,2,0.5,0.9,clean,1,1.5851293611035544e-09,1.0,0.0
10000.0,10000.0,4,8,0.5,0.9,noisy_negative,0,8.499151576968345e-09,1.0,0.0
10000.0,10000.0,4,2,0.5,0.9,noisy_negative,1,1.0953354154796813e-05,1.0,0.0
10000.0,10000.0,4,8,0.5,0.95,clean,0,1.092459456231154e-13,1.0,0.0
10000.0,10000.0,4,2,0.5,0.95,clean,1,1.893241119432787e-11,1.0,0.0
10000.0,10000.0,4,8,0.5,0.95,noisy_negative,0,4.8183679268731794e-14,1.0,0.0
10000.0,10000.0,4,2,0.5,0.95,noisy_negative,1,1.7834095533686423e-08,1.0,0.0
10000.0,100000.0,2,8,0.1,0.9,clean,0,1.7474910407599964e-13,1.0,0.0
