beta,beta_max,nA,nS,alpha,gamma,rewards,seed,max_err,greedy_agree,self_vs_teacher
50.0,1000.0,4,8,0.2,0.9,noisy_negative,0,5.0291583584577415e-05,1.0,0.0
50.0,1000.0,4,2,0.2,0.9,noisy_negative,1,4.213180382484083e-05,1.0,0.0
50.0,1000.0,4,8,0.2,0.95,clean,0,2.648998225440735e-06,1.0,0.0
50.0,1000.0,4,2,0.2,0.95,clean,1,6.131803548414805e-06,1.0,0.0
50.0,1000.0,4,8,0.2,0.95,noisy_negative,0,5.2913748780435144e-05,1.0,0.0
50.0,1000.0,4,2,0.2,0.95,noisy_negative,1,1.1910231728640142e-07,1.0,0.0
50.0,1000.0,4,8,0.5,0.9,clean,0,2.747761396193482e-08,1.0,0.0
50.0,1000.0,4,2,0.5,0.9,clean,1,0.00012575923144453327,1.0,0.0
50.0,1000.0,4,8,0.5,0.9,noisy_negative,0,0.00013136440062511134,1.0,0.0
50.0,1000.0,4,2,0.5,0.9,noisy_negative,1,0.0002794951182839289,1.0,0.0
50.0,1000.0,4,8,0.5,0.95,clean,0,6.883107839494862e-05,1.0,0.0
50.0,1000.0,4,2,0.5,0.95,clean,1,0.0001227618944543707,1.0,0.0
50.0,1000.0,4,8,0.5,0.95,noisy_negative,0,1.422049807631165e-07,1.0,0.0
50.0,1000.0,4,2,0.5,0.95,noisy_negative,1,0.00014880494791968957,1.0,0.0
50.0,10000.0,2,8,0.1,0.9,clean,0,5.5438886370495766e-08,1.0,0.0
50.0,10000.0,2,2,0.1,0.9,clean,1,9.887367635741384e-08,1.0,0.0
50.0,10000.0,2,8,0.1,0.9,noisy_negative,0,1.9543030360669178e-08,1.0,0.0
50.0,10000.0,2,2,0.1,0.9,noisy_negative,1,5.264486131473234e-07,1.0,0.0
50.0,10000.0,2,8,0.1,0.95,clean,0,6.310778766227543e-08,1.0,0.0
50.0,10000.0,2,2,0.1,0.95,clean,1,1.3942580157078055e-07,1.0,0.0
50.0,10000.0,2,8,0.1,0.95,noisy_negative,0,2.4759737038415608e-08,1.0,0.0
50.0,10000.0,2,2,0.1,0.95,noisy_negative,1,1.667022335449797e-07,1.0,0.0
50.0,10000.0,2,8,0.2,0.9,clean,0,3.1988974136254456e-08,1.0,0.0
50.0,10000.0,2,2,0.2,0.9,clean,1,5.294904692476621e-08,1.0,0.0
50.0,10000.0,2,8,0.2,0.9,noisy_negative,0,1.1328358695550378e-08,1.0,0.0
50.0,10000.0,2,2,0.2,0.9,noisy_negative,1,7.13111586725379e-08,1.0,0.0
50.0,10000.0,2,8,0.2,0.95,clean,0,4.516223572892386e-08,1.0,0.0
50.0,10000.0,2,2,0.2,0.95,clean,1,8.127280270997517e-08,1.0,0.0
50.0,10000.0,2,8,0.2,0.95,noisy_negative,0,1.5624886717802156e-08,1.0,0.0
50.0,10000.0,2,2,0.2,0.95,noisy_negative,1,1.2889911582547597e-08,1.0,0.0
50.0,10000.0,2,8,0.5,0.9,clean,0,3.069779213049628e-07,1.0,0.0
50.0,10000.0,2,2,0.5,0.9,clean,1,2.0568043268553993e-08,1.0,0.0
50.0,10000.0,2,8,0.5,0.9,noisy_negative,0,6.44758024748171e-09,1.0,0.0
50.0,10000.0,2,2,0.5,0.9,noisy_negative,1,1.2525621856829261e-05,1.0,0.0
50.0,10000.0,2,8,0.5,0.95,clean,0,1.5798575780934243e-08,1.0,0.0
50.0,10000.0,2,2,0.5,0.95,clean,1,3.715931740089218e-08,1.0,0.0
50.0,10000.0,2,8,0.5,0.95,noisy_negative,0,6.570479937906271e-09,1.0,0.0
50.0,10000.0,2,2,0.5,0.95,noisy_negative,1,1.1235273711385219e-08,1.0,0.0
50.0,10000.0,3,8,0.1,0.9,clean,0,4.841663114873995e-08,1.0,0.0
50.0,10000.0,3,2,0.1,0.9,clean,1,9.707107651024671e-08,1.0,0.0
50.0,10000.0,3,8,0.1,0.9,noisy_negative,0,2.3586419947568826e-06,1.0,0.0
50.0,10000.0,3,2,0.1,0.9,noisy_negative,1,2.4101227966977223e-06,1.0,0.0
50.0,10000.0,3,8,0.1,0.95,clean,0,5.4994734544067114e-08,1.0,0.0
50.0,10000.0,3,2,0.1,0.95,clean,1,1.4184369057090862e-07,1.0,0.0
50.0,10000.0,3,8,0.1,0.95,noisy_negative,0,2.665380192348743e-06,1.0,0.0
50.0,10000.0,3,2,0.1,0.95,noisy_negative,1,2.665505471344254e-07,1.0,0.0
50.0,10000.0,3,8,0.2,0.9,clean,0,2.9012313440546222e-08,1.0,0.0
50.0,10000.0,3,2,0.2,0.9,clean,1,5.134251246374788e-08,1.0,0.0
50.0,10000.0,3,8,0.2,0.9,noisy_negative,0,1.6270164104881246e-08,1.0,0.0
50.0,10000.0,3,2,0.2,0.9,noisy_negative,1,1.9332368816904477e-08,1.0,0.0
50.0,10000.0,3,8,0.2,0.95,clean,0,3.780333024394622e-08,1.0,0.0
50.0,10000.0,3,2,0.2,0.95,clean,1,7.774163002238765e-08,1.0,0.0
50.0,10000.0,3,8,0.2,0.95,noisy_negative,0,1.9461623201877387e-08,1.0,0.0
50.0,10000.0,3,2,0.2,0.95,noisy_negative,1,3.130759651526205e-08,1.0,0.0
50.0,10000.0,3,8,0.5,0.9,clean,0,1.2708129659699807e-08,1.0,0.0
50.0,10000.0,3,2,0.5,0.9,clean,1,2.0401455635976617e-08,1.0,0.0
50.0,10000.0,3,8,0.5,0.9,noisy_negative,0,8.552045072107717e-09,1.0,0.0
50.0,10000.0,3,2,0.5,0.9,noisy_negative,1,1.2269355975647045e-08,1.0,0.0
50.0,10000.0,3,8,0.5,0.95,clean,0,1.7560117804293895e-08,1.0,0.0
50.0,10000.0,3,2,0.5,0.95,clean,1,3.074125309865394e-08,1.0,0.0
50.0,10000.0,3,8,0.5,0.95,noisy_negative,0,2.871321366608448e-08,1.0,0.0
50.0,10000.0,3,2,0.5,0.95,noisy_negative,1,1.7099130555919828e-08,1.0,0.0
50.0,10000.0,4,8,0.1,0.9,clean,0,4.579198220611147e-08,1.0,0.0
50.0,10000.0,4,2,0.1,0.9,clean,1,8.907998871876543e-08,1.0,0.0
50.0,10000.0,4,8,0.1,0.9,noisy_negative,0,2.487781995691961e-06,1.0,0.0
50.0,10000.0,4,2,0.1,0.9,noisy_negative,1,2.979677460324126e-08,1.0,0.0
50.0,10000.0,4,8,0.1,0.95,clean,0,5.2458248855913325e-08,1.0,0.0
50.0,10000.0,4,2,0.1,0.95,clean,1,1.2063058640876534e-07,1.0,0.0
50.0,10000.0,4,8,0.1,0.95,noisy_negative,0,1.6051523628324293e-06,1.0,0.0
