layer,head,query_token,BOS,ctx_0,ctx_1,ctx_2,ctx_3,QCUR,S1,A2,R,QNXT,S3,A0,S3,A1,S3,A2,S3,A3,SEL,A2,UPD
1,0,SELECT,0.02355783060193062,0.023098303005099297,0.0911215990781784,0.03584807738661766,0.04826943203806877,0.018525345250964165,0.027377411723136902,0.01812744326889515,0.010761385783553123,0.010122070088982582,0.08986236155033112,0.036203738301992416,0.1156996637582779,0.04901376739144325,0.11228802055120468,0.022292304784059525,0.19277489185333252,0.03088855929672718,0.04416780173778534,0.0,0.0
1,0,UPDATE,0.002943208673968911,0.02345241606235504,0.02573702484369278,0.007053959183394909,0.0010922369547188282,0.0034903816413134336,0.001998438499867916,0.004866168834269047,0.020870637148618698,0.0161404088139534,0.130525603890419,0.05149899423122406,0.11113350093364716,0.07896654307842255,0.1264372020959854,0.01579824835062027,0.24008014798164368,0.04280410334467888,0.03696029260754585,0.033168502151966095,0.024981943890452385
1,1,SELECT,0.00011242405162192881,3.623593556767446e-06,1.9751883883145638e-05,3.367482349858619e-05,0.0010658473474904895,0.00021473535161931068,0.03777831047773361,0.00037692065234296024,2.7930540454690345e-05,1.234064984600991e-05,0.39494451880455017,0.000620403210632503,0.1925600916147232,0.00033930898644030094,0.1944999247789383,0.000112611181975808,0.17708812654018402,0.00014041752729099244,4.904220622847788e-05,0.0,0.0
1,1,UPDATE,0.003056681016460061,0.774806797504425,0.027826741337776184,0.0153960594907403,0.0005734139122068882,0.0015828699106350541,0.0002852485340554267,0.001103998045437038,0.017026975750923157,0.015922075137495995,0.0022005741484463215,0.0038436970207840204,0.0022779658902436495,0.013668186031281948,0.0024194568395614624,0.003016582690179348,0.009932154789566994,0.0061371224001049995,0.028994478285312653,0.06378854066133499,0.006140222307294607
1,2,SELECT,0.024121975526213646,0.004570493474602699,0.012923256494104862,0.020763132721185684,0.06443632394075394,0.039239659905433655,0.2696308195590973,0.019826142117381096,0.39839884638786316,0.012275547720491886,0.020026791840791702,0.009018251672387123,0.020284872502088547,0.011976501904428005,0.012268698774278164,0.02205033414065838,0.013471828773617744,0.01044539362192154,0.01427115686237812,0.0,0.0
1,2,UPDATE,0.001054688123986125,0.004712563473731279,0.00433761440217495,0.002711675828322768,0.0010670680785551667,0.0009628643747419119,0.011291297152638435,0.005925626493990421,0.020367560908198357,0.0075493850745260715,0.2021695226430893,0.015815582126379013,0.18940353393554688,0.03244093805551529,0.20750045776367188,0.015375102870166302,0.19437208771705627,0.015724949538707733,0.03540200740098953,0.013316082768142223,0.01849929802119732
1,3,SELECT,0.0009740986279211938,0.0009099256130866706,0.0011680317111313343,0.0036553333047777414,0.024007759988307953,0.0031691105104982853,0.9194741249084473,0.004646543879061937,0.0002227521181339398,0.00034512169077061117,0.006830511149019003,0.0006927850772626698,0.00886547937989235,0.0021550175733864307,0.007592696230858564,0.0012085959315299988,0.012989578768610954,0.0006377124809660017,0.00045473960926756263,0.0,0.0
1,3,UPDATE,0.00430886447429657,0.03505028784275055,0.03391097113490105,0.011765306815505028,0.0037725416477769613,0.002835703082382679,0.00180235190782696,0.01708749495446682,0.009689128026366234,0.00203053024597466,0.01653798297047615,0.09757734090089798,0.018524575978517532,0.041625041514635086,0.01777530647814274,0.021964309737086296,0.07371190935373306,0.02199845388531685,0.010015163570642471,0.5496823787689209,0.008334360085427761
1,4,SELECT,0.06964671611785889,0.02030595950782299,0.011757409200072289,0.3644803464412689,0.09647848457098007,0.044526055455207825,0.061589814722537994,0.09482499957084656,0.0054029664024710655,0.014833944849669933,0.020845798775553703,0.029151787981390953,0.018479986116290092,0.026063045486807823,0.018827706575393677,0.06039765104651451,0.015710579231381416,0.013241935521364212,0.013434805907309055,0.0,0.0
1,4,UPDATE,0.002721446566283703,0.12389153987169266,0.44433221220970154,0.01908508688211441,0.018106652423739433,0.004102653823792934,0.00027129947557114065,0.0022897282615303993,0.015193826518952847,0.0016361383022740483,0.0006282821414060891,0.002232993021607399,0.0003784126020036638,0.02297760173678398,0.00017404223035555333,0.0012495674891397357,0.012451729737222195,0.002049526898190379,0.0009401094866916537,0.3234714865684509,0.001815756899304688
