n_states,n_actions,agent,agreement,agreement_std,chance_agreement,return_pct_optimal,random_pct_optimal,final_return,optimal_return
2,2,residual,0.9880000000000001,0.009797958971132722,0.5,52.88000087738037,51.59750328063965,105.76000175476074,200.0
2,3,residual,0.986,0.009165151389911688,0.3333333333333333,27.84750156402588,37.25250015258789,55.69500312805176,200.0
2,4,residual,0.982,0.010770329614269018,0.25,19.72500076293945,32.02749900817871,39.4500015258789,200.0
3,2,residual,0.986,0.012806248474865708,0.5,65.51499996185302,52.690002822875975,131.02999992370604,200.0
3,3,residual,0.97,0.01341640786499875,0.3333333333333333,33.02500143051147,38.29750137329101,66.05000286102295,200.0
3,4,residual,0.97,0.010000000000000009,0.25,15.022500801086426,27.27749843597412,30.045001602172853,200.0
4,2,residual,0.9719999999999999,0.018330302779823376,0.5,40.387500858306886,50.88500328063965,80.77500171661377,200.0
4,3,residual,0.958,0.020880613017821098,0.3333333333333333,43.95000038146973,36.87249946594238,87.90000076293946,200.0
4,4,residual,0.952,0.009797958971132722,0.25,24.807499599456786,27.229999351501466,49.61499919891357,200.0
5,2,residual,0.9480000000000001,0.01833030277982334,0.5,54.54250221252441,52.3575023651123,109.08500442504882,200.0
5,3,residual,0.938,0.020880613017821077,0.3333333333333333,42.335000610351564,36.68250007629395,84.67000122070313,200.0
5,4,residual,0.9399999999999998,0.021908902300206624,0.25,33.64250106811524,28.084999656677248,67.28500213623047,200.0
6,2,residual,0.9419999999999998,0.020880613017821088,0.5,63.520002365112305,53.40250434875488,127.04000473022461,200.0
6,3,residual,0.922,0.024413111231467385,0.3333333333333333,43.04750022888184,36.6350004196167,86.09500045776367,200.0
6,4,residual,0.9119999999999999,0.029933259094191523,0.25,24.094999504089355,28.41749858856201,48.18999900817871,200.0
7,2,residual,0.9359999999999999,0.03440930106817049,0.5,60.527503204345706,53.35500297546387,121.05500640869141,200.0
7,3,residual,0.922,0.025999999999999975,0.3333333333333333,44.28250112533569,36.4450008392334,88.56500225067138,200.0
7,4,residual,0.9199999999999999,0.021908902300206624,0.25,31.742500495910644,30.554999160766602,63.48500099182129,200.0
8,2,residual,0.9339999999999999,0.025377155080899026,0.5,58.485001754760745,53.4975025177002,116.97000350952149,200.0
8,3,residual,0.9099999999999999,0.022360679774997873,0.3333333333333333,47.322501277923585,36.58750114440918,94.64500255584717,200.0
8,4,residual,0.906,0.028354893757515653,0.25,30.792500019073486,29.74749870300293,61.58500003814697,200.0
